t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.009552,-0.012395,0.002480,-0.011094,0.000784
0.026219,-0.001060,-0.020554,-0.001203,-0.019606
0.042886,0.006646,-0.023798,0.006472,-0.023136
0.059552,0.008621,-0.010948,0.007902,-0.010170
0.076219,-0.004787,0.016994,-0.004718,0.016055
0.092885,-0.016664,0.024154,-0.016383,0.023280
0.109552,-0.020100,0.009791,-0.019269,0.009492
0.126219,-0.004920,-0.012727,-0.004910,-0.011937
0.142885,0.011239,-0.019030,0.010684,-0.018624
0.159552,0.014825,-0.013476,0.014219,-0.013318
0.176219,0.004201,-0.001817,0.004301,-0.001757
0.192885,-0.005662,0.010491,-0.005331,0.010209
0.209552,-0.007761,0.014088,-0.007313,0.013377
0.226219,0.000620,0.001019,0.000774,0.000698
0.242886,0.012315,-0.018704,0.011814,-0.017876
0.259552,0.013182,-0.020666,0.012947,-0.020388
0.276219,0.007222,-0.013354,0.007118,-0.012973
0.292886,-0.001768,0.002950,-0.001604,0.002406
0.309552,-0.006711,0.008266,-0.006482,0.008125
0.326219,-0.005148,0.007748,-0.004851,0.007355
0.342886,0.003459,-0.002476,0.003441,-0.002460
0.359552,0.011451,-0.012492,0.010990,-0.012139
0.376219,0.009221,-0.013767,0.009152,-0.013494
0.392885,0.003792,-0.007294,0.003699,-0.006885
0.409552,-0.003585,0.007166,-0.003450,0.006696
0.426219,-0.006912,0.011088,-0.006540,0.010415
0.442885,-0.001406,0.000225,-0.001235,0.000199
0.459552,0.007985,-0.011950,0.007819,-0.011124
0.476219,0.013050,-0.008005,0.012573,-0.008141
0.492885,0.007359,-0.004703,0.007096,-0.004784
0.509552,-0.003883,-0.002189,-0.003392,-0.002161
0.526219,-0.004971,0.000207,-0.004750,0.000103
0.542886,0.000288,-0.000268,0.000319,-0.000599
0.559552,0.007422,-0.007026,0.007550,-0.006777
0.576219,0.016119,-0.008504,0.015542,-0.008290
0.592885,0.012577,-0.004778,0.012532,-0.004605
0.609552,0.006776,0.002632,0.006936,0.002356
0.626219,0.003867,0.004418,0.004024,0.004235
0.642885,0.004842,0.001699,0.004969,0.001738
0.659552,0.008976,-0.001145,0.008916,-0.000941
0.676219,0.012014,-0.000347,0.011841,-0.000673
0.692886,0.011222,-0.004596,0.011218,-0.004325
0.709552,0.009568,-0.002968,0.009587,-0.002610
0.726219,0.007893,0.005456,0.007898,0.005073
0.742885,0.006448,0.006388,0.006482,0.006149
0.759552,0.006050,0.001987,0.006086,0.002137
0.776219,0.006711,-0.000253,0.006785,-0.000068
0.792886,0.008712,0.000928,0.008658,0.000831
0.809552,0.009266,0.000615,0.009106,0.000544
0.826219,0.006414,-0.000897,0.006385,-0.000714
0.842885,0.003073,0.000708,0.003173,0.000590
0.859552,0.002250,0.000074,0.002430,-0.000199
0.876219,0.005424,-0.004996,0.005463,-0.004794
0.892885,0.009290,-0.005486,0.009143,-0.004886
0.909552,0.009552,0.005187,0.009394,0.004726
0.926219,0.005888,0.006793,0.005710,0.006356
0.942886,-0.000943,-0.000644,-0.000750,-0.000484
0.959552,-0.002916,-0.005500,-0.002494,-0.005083
0.976219,0.004276,-0.002118,0.004248,-0.002278
0.992885,0.011304,-0.000709,0.011005,-0.000794
1.009552,0.011801,-0.000346,0.011615,-0.000351
1.026219,0.007503,0.000115,0.007502,0.000332
1.042885,0.002668,0.004124,0.002969,0.004167
1.059552,0.003618,0.007719,0.003616,0.007256
1.076219,0.005150,0.001737,0.005004,0.001527
1.092885,0.004372,-0.007950,0.004451,-0.007505
1.109552,0.004924,-0.007950,0.005019,-0.007544
1.126219,0.006699,0.001182,0.006564,0.001068
1.142885,0.005429,0.008459,0.005164,0.008127
1.159552,-0.000659,0.008141,-0.000501,0.008038
