frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming,area_px2,quality_score,corner_sharpness
0,0,948.790317,501.043914,806.596069,647.484741,1095.644653,642.92749,1090.84375,354.748108,802.49115,359.696716,33.0562,0,83162.2301,9532.7014,41.0744
1,0,948.841892,501.020632,806.618286,647.527771,1095.67749,642.849487,1090.838867,354.746948,802.510986,359.67926,34.4724,0,83158.1684,9940.8605,42.2273
2,0,948.820116,500.965667,806.646423,647.42572,1095.667725,642.744812,1090.855225,354.648376,802.455139,359.652496,33.0557,0,83151.6651,9531.9517,38.8926
3,0,948.828029,500.832386,806.642822,647.278015,1095.654419,642.657104,1090.905273,354.497955,802.463501,359.453796,33.7398,0,83172.2605,9730.4238,37.6488
4,0,948.850295,500.676285,806.674194,647.141418,1095.680542,642.486816,1090.82605,354.417542,802.476257,359.306366,33.2277,0,83147.0726,9581.2851,38.7066
5,0,948.858963,500.674055,806.696167,647.101379,1095.648438,642.440369,1090.862915,354.410339,802.461792,359.286621,33.9433,0,83137.992,9787.0955,36.6488
6,0,948.859582,500.727311,806.694641,647.177979,1095.621338,642.464478,1090.867187,354.438721,802.429871,359.310822,34.1413,0,83146.5739,9844.6943,37.9835
7,0,948.773001,500.812942,806.603699,647.244812,1095.593018,642.651978,1090.853149,354.4729,802.404175,359.40979,34.4264,0,83174.4471,9928.567,37.7727
8,0,948.813867,500.85717,806.611816,647.344727,1095.615234,642.70105,1090.797241,354.594879,802.440735,359.427063,33.7256,0,83164.5642,9725.8786,42.4215
9,0,948.798568,500.931225,806.614075,647.386414,1095.564331,642.739502,1090.817139,354.646942,802.467163,359.542633,33.9036,0,83143.264,9775.9585,39.9959
10,0,948.785302,500.910229,806.557129,647.367737,1095.615601,642.768188,1090.819824,354.65213,802.462524,359.542603,34.101,0,83160.4745,9833.8956,40.6694
11,0,948.774907,500.853604,806.577087,647.279907,1095.68396,642.732361,1090.823975,354.580475,802.483032,359.570892,34.2952,0,83153.7557,9889.4986,38.938
12,0,948.829108,500.918353,806.637085,647.337891,1095.585083,642.717773,1090.909912,354.613342,802.491272,359.522949,33.2775,0,83150.1734,9595.824,37.5868
13,0,948.796081,501.065024,806.593323,647.532654,1095.540771,642.882385,1090.885254,354.714386,802.451721,359.634552,33.8974,0,83173.4507,9775.945,42.6942
14,0,948.810389,501.245302,806.618347,647.755066,1095.553101,643.048584,1090.881592,354.860046,802.425293,359.787598,33.7442,0,83188.1811,9732.6241,42.0496
15,0,948.764609,501.343433,806.570557,647.800415,1095.586426,643.186951,1090.865723,354.982178,802.442139,359.98233,35.0305,0,83175.849,10102.8745,42.2231
16,0,948.802257,501.38846,806.574646,647.865417,1095.549194,643.166138,1090.912231,355.032654,802.5495,360.088226,33.8242,0,83144.7999,9753.154,43.0455
