t_s,bending_avg_y_mm,torsion_diff_y_mm
0.010681323,3.108841,0.020103
0.02734799,3.017196,0.026164
0.044014656,2.840099,0.038068
0.060681323,2.583748,0.064625
0.07734799,2.265794,0.09602
0.094014656,1.921003,0.123312
0.110681323,1.519475,0.14787
0.12734799,1.079924,0.180389
0.144014656,0.609228,0.206084
0.160681323,0.122461,0.226276
0.17734799,-0.364232,0.23074
0.194014656,-0.825156,0.243288
0.210681323,-1.271605,0.232164
0.22734799,-1.682584,0.198268
0.244014656,-2.041938,0.179286
0.260681323,-2.364404,0.182428
0.27734799,-2.64298,0.130599
0.294014656,-2.850532,0.080939
0.310681323,-2.97836,0.03277
0.32734799,-3.031025,-0.000298
0.344014656,-3.025574,-0.046009
0.360681323,-2.955735,-0.08576
0.37734799,-2.815071,-0.11336
0.394014656,-2.614123,-0.138394
0.410681323,-2.361623,-0.17027
0.42734799,-2.040532,-0.17262
0.444014656,-1.677125,-0.169729
0.460681323,-1.283076,-0.184805
0.47734799,-0.854515,-0.169236
0.494014656,-0.418029,-0.163498
0.510681323,0.030901,-0.142916
0.52734799,0.48791,-0.11583
0.544014656,0.933375,-0.128984
0.560681323,1.356468,-0.11461
0.57734799,1.747274,-0.10359
0.594014656,2.091427,-0.086817
0.610681323,2.405513,-0.067397
0.62734799,2.660491,-0.065273
0.644014656,2.842231,-0.065888
0.660681323,2.962649,-0.054491
0.67734799,3.008684,-0.051887
0.694014656,2.982591,-0.032834
0.710681323,2.880612,-0.006471
0.72734799,2.710724,0.034781
0.744014656,2.476579,0.070311
0.760681323,2.18136,0.095953
0.77734799,1.825887,0.11606
0.794014656,1.43845,0.148919
0.810681323,1.014651,0.184985
0.82734799,0.614476,0.308699
0.844014656,0.117238,0.19587
0.860681323,-0.283776,0.121856
0.87734799,-0.754474,0.170765
0.894014656,-1.215106,0.17698
0.910681323,-1.615756,0.150481
0.92734799,-1.970066,0.100056
0.944014656,-2.28835,0.084253
0.960681323,-2.545533,0.065566
0.97734799,-2.743771,0.034292
0.994014656,-2.86911,0.016705
1.010681323,-2.938542,-0.031388
1.02734799,-2.933466,-0.053324
1.044014656,-2.852223,-0.065974
1.060681323,-2.727914,-0.091848
1.07734799,-2.5224,-0.091423
1.094014656,-2.255857,-0.091074
1.110681323,-1.948896,-0.092304
1.12734799,-1.585005,-0.084132
1.144014656,-1.190523,-0.097733
1.160681323,-0.795833,-0.152971
1.17734799,-0.314134,-0.081205
1.194014656,0.115316,-0.047651
1.210681323,0.561671,-0.055706
1.22734799,0.999279,-0.103336
1.244014656,1.407427,-0.107133
1.260681323,1.793206,-0.099698
1.27734799,2.131434,-0.105437
1.294014656,2.410761,-0.098578
1.310681323,2.627887,-0.098611
1.32734799,2.791845,-0.087632
1.344014656,2.875584,-0.07428
1.360681323,2.889636,-0.053862
1.37734799,2.837744,-0.018931
1.394014656,2.718049,0.015756
1.410681323,2.522287,0.04866
1.42734799,2.282508,0.097147
1.444014656,1.978603,0.106198
1.460681323,1.639159,0.119085
1.47734799,1.257424,0.120078
1.494014656,0.84179,0.143861
1.510681323,0.402827,0.163728
1.52734799,-0.035997,0.15247
1.544014656,-0.452269,0.15284
1.560681323,-0.871563,0.138656
1.57734799,-1.274371,0.117312
1.594014656,-1.644561,0.085878
1.610681323,-1.970178,0.066598
1.62734799,-2.247632,0.052483
1.644014656,-2.484836,0.016587
1.660681323,-2.651234,0.01502
1.67734799,-2.773319,-0.014876
1.694014656,-2.824403,-0.023146
1.710681323,-2.815249,-0.033289
1.72734799,-2.740281,-0.043201
1.744014656,-2.595656,-0.047454
1.760681323,-2.395487,-0.047438
1.77734799,-2.138187,-0.060269
1.794014656,-1.830938,-0.075386
1.810681323,-1.472805,-0.053746
1.82734799,-1.081354,-0.047387
1.844014656,-0.67993,-0.078256
1.860681323,-0.249661,-0.093633
1.87734799,0.199747,-0.104236
1.894014656,0.637374,-0.09348
1.910681323,1.041585,-0.118695
1.92734799,1.424688,-0.145343
1.944014656,1.782476,-0.15394
1.960681323,2.126678,-0.116845
1.97734799,2.399029,-0.086937
1.994014656,2.579053,-0.100488
2.010681323,2.713348,-0.071166
2.02734799,2.801382,-0.033647
2.044014656,2.821476,-0.004255
2.060681323,2.77113,0.032152
2.07734799,2.633372,0.052633
2.094014656,2.442596,0.070145
2.110681323,2.214366,0.104753
2.12734799,1.935788,0.134679
2.144014656,1.593456,0.142911
2.160681323,1.208097,0.120786
2.17734799,0.809406,0.110598
2.194014656,0.405292,0.128366
2.210681323,-0.010182,0.132526
2.22734799,-0.453611,0.090738
2.244014656,-0.872694,0.059922
2.260681323,-1.258512,0.057467
2.27734799,-1.618214,0.061824
2.294014656,-1.947004,0.002341
2.310681323,-2.224067,-0.045886
2.32734799,-2.467649,-0.001102
2.344014656,-2.642836,0.011268
2.360681323,-2.765685,0.008951
2.37734799,-2.821483,0.00265
2.394014656,-2.802277,-0.00213
2.410681323,-2.704545,0.009104
2.42734799,-2.547006,0.008448
2.444014656,-2.344675,-0.010977
2.460681323,-2.074011,-0.012422
2.47734799,-1.741909,-0.011182
2.494014656,-1.386782,-0.051489
2.510681323,-0.996184,-0.025432
2.52734799,-0.606594,0.00063
2.544014656,-0.13632,-0.079498
2.560681323,0.318679,-0.119434
2.57734799,0.746279,-0.126872
2.594014656,1.142306,-0.138227
2.610681323,1.51856,-0.138667
2.62734799,1.852913,-0.140042
2.644014656,2.142266,-0.109829
