frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,0.009861502,-0.00074537,-0.00338938,1.78096678,-0.01498751,0.02738682,-0.00819404,0.99947896,0.116266
1,0.026338982,-0.00073736,-0.00286543,1.78056144,-0.01389142,0.02948426,-0.00815503,0.99943544,0.150312
2,0.042808204,-0.00072563,-0.00234245,1.78069091,-0.01432737,0.02966467,-0.00815217,0.99942397,0.136142
3,0.059667859,-0.00071177,-0.00182508,1.78055196,-0.01689587,0.0302069,-0.00822924,0.99936698,0.138332
4,0.076695609,-0.000701,-0.00132725,1.78136323,-0.01463385,0.02519451,-0.00799718,0.99954346,0.137746
5,0.092969838,-0.00069038,-0.00086666,1.78204569,-0.01452695,0.02281828,-0.00818141,0.9996006,0.137762
6,0.109704084,-0.00067904,-0.00044527,1.78261681,-0.02321638,0.01463584,-0.0082982,0.99958888,0.133183
7,0.126852606,-0.00066919,-8.199e-05,1.78296547,-0.02572951,0.01279342,-0.0082266,0.99955322,0.183453
8,0.143157581,-0.00065503,0.00023122,1.78286663,-0.03354806,0.01248002,-0.00832065,0.99932454,0.107686
9,0.160033723,-0.00064405,0.00046797,1.7833811,-0.0368456,0.00583024,-0.00801996,0.99927178,0.122984
10,0.176672975,-0.00063534,0.00063277,1.78340978,-0.04189011,0.00836086,-0.00819569,0.99905362,0.084837
11,0.193354253,-0.00063128,0.00072991,1.78314788,-0.04914884,0.00747212,-0.00820533,0.99872981,0.118562
12,0.209821412,-0.00062881,0.00074367,1.78327778,-0.0521146,0.00655512,-0.00814303,0.9985864,0.107074
13,0.226799255,-0.00063436,0.0006858,1.78325356,-0.05722798,0.00543187,-0.00812774,0.99831327,0.085256
14,0.243265913,-0.00064231,0.00054817,1.7829837,-0.06115978,0.00720821,-0.00817427,0.99806849,0.100209
15,0.259779265,-0.00065002,0.00033545,1.78341467,-0.06315486,0.0047886,-0.00807103,0.99795961,0.071002
16,0.276856548,-0.00065861,5.853e-05,1.78292071,-0.06859101,0.00565386,-0.00809859,0.99759597,0.092004
17,0.29446531,-0.00066858,-0.00028567,1.78313444,-0.07033127,0.00564516,-0.00800277,0.99747561,0.123025
18,0.310533892,-0.00067729,-0.00068141,1.78307644,-0.07222528,0.00699372,-0.00793987,0.99733222,0.047014
19,0.326987686,-0.00068936,-0.00112848,1.78302142,-0.07425129,0.00403502,-0.00789849,0.99720012,0.081947
20,0.343911423,-0.00070637,-0.00160812,1.78326046,-0.07602033,0.00474903,-0.00786471,0.99706394,0.093803
21,0.35998839,-0.00071831,-0.0021225,1.78349702,-0.07522692,0.00426502,-0.00776332,0.9971271,0.183533
22,0.37711376,-0.00072671,-0.0026472,1.78320688,-0.07619666,0.00518816,-0.00790801,0.99704795,0.111449
23,0.394693035,-0.00073724,-0.00317191,1.78319643,-0.07656932,0.00465014,-0.00790259,0.9970221,0.123769
24,0.410376084,-0.00074279,-0.00368827,1.78366708,-0.07456918,0.00310296,-0.00781341,0.9971804,0.169196
25,0.42683223,-0.00074589,-0.00418283,1.78349515,-0.07282602,0.00671502,-0.00801666,0.99728983,0.09619
26,0.443622236,-0.00074803,-0.00464851,1.78346493,-0.0722659,0.00479099,-0.00813438,0.99734072,0.071823
27,0.460144007,-0.00075087,-0.00507302,1.7832767,-0.07066556,0.00542731,-0.00807359,0.99745263,0.131872
28,0.477480593,-0.0007518,-0.00543683,1.78315023,-0.06680884,0.00908046,-0.00826372,0.99769025,0.072368
29,0.49387143,-0.00075424,-0.00574743,1.78333737,-0.06362562,0.00570496,-0.00821437,0.99792372,0.108788
30,0.510727623,-0.00075581,-0.00597878,1.78330776,-0.0610283,0.00613619,-0.00822956,0.99808325,0.09402
31,0.527330053,-0.0007554,-0.00613376,1.78330683,-0.05743087,0.00531471,-0.00828007,0.998301,0.125831
32,0.543764616,-0.0007563,-0.00621256,1.78342008,-0.050832,0.00783414,-0.00820293,0.9986428,0.095514
33,0.560925259,-0.0007556,-0.00621278,1.78376315,-0.047681,0.00704122,-0.00825804,0.99880366,0.125062
34,0.577170453,-0.00075302,-0.00612711,1.78344486,-0.04103334,0.00707765,-0.00823911,0.99909874,0.151784
35,0.593982044,-0.00075214,-0.00596278,1.78329829,-0.03860947,0.00926112,-0.00825498,0.99917736,0.118522
36,0.610709842,-0.00075329,-0.00572111,1.78294813,-0.03288094,0.01367701,-0.00830275,0.9993312,0.127152
37,0.627118477,-0.00075556,-0.00540698,1.78321137,-0.02296665,0.01162084,-0.00824668,0.99963467,0.169234
38,0.643986722,-0.00075571,-0.00503779,1.78260525,-0.02001796,0.01843195,-0.00819154,0.99959614,0.12097
39,0.660453203,-0.0007543,-0.00460763,1.78174671,-0.01835875,0.02322718,-0.00821383,0.99952788,0.151872
40,0.677150452,-0.00075194,-0.00414323,1.78164816,-0.01367382,0.02334952,-0.00831581,0.99959926,0.179746
41,0.694163119,-0.00074724,-0.00364211,1.78093441,-0.01593182,0.02768655,-0.00818151,0.9994562,0.117977
42,0.717840384,-0.0007359,-0.00311729,1.78032816,-0.01669023,0.03021337,-0.00814111,0.99937096,0.140146
43,0.729659521,-0.00072916,-0.00258469,1.78016281,-0.01328197,0.0305524,-0.00817383,0.99941149,0.120089
44,0.744035833,-0.00072045,-0.00205795,1.78050378,-0.0182033,0.02969108,-0.00824852,0.99935932,0.135279
45,0.761142548,-0.00071172,-0.00154703,1.78142051,-0.01369328,0.02552656,-0.0082173,0.99954658,0.134915
46,0.777152324,-0.00069907,-0.00106489,1.78144056,-0.01576211,0.02405716,-0.00818311,0.99955282,0.081912
47,0.794104654,-0.00068522,-0.00061586,1.78221254,-0.01531045,0.01759806,-0.00804611,0.99969553,0.159449
48,0.811215941,-0.00067226,-0.00021974,1.78255922,-0.02422014,0.01839342,-0.00826224,0.99950328,0.139194
49,0.827387208,-0.000658,0.00012167,1.78300561,-0.02860414,0.01393674,-0.00821462,0.9994599,0.143956
50,0.844037686,-0.00064645,0.00040265,1.78335696,-0.03402331,0.00593628,-0.00806855,0.99937084,0.120619
51,0.860532884,-0.00063999,0.00061447,1.78292149,-0.03889682,0.01371635,-0.00826743,0.99911488,0.108658
52,0.877556821,-0.00063714,0.00074675,1.78344911,-0.04450049,0.00699477,-0.00811965,0.99895188,0.121136
