t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.003787,1.295474,-0.374130,1.295091,-0.367666
0.020454,1.272850,-0.274094,1.271745,-0.275149
0.037121,1.206428,-0.163242,1.205550,-0.162132
0.053787,1.098147,-0.012655,1.098500,-0.013647
0.070454,0.974038,0.124875,0.973506,0.125522
0.087121,0.825556,0.266010,0.826047,0.263192
0.103787,0.678348,0.342930,0.678695,0.343270
0.120454,0.535556,0.413651,0.535615,0.414578
0.137121,0.395729,0.492359,0.395513,0.493578
0.153787,0.256590,0.583834,0.256571,0.583148
0.170454,0.124198,0.648494,0.124624,0.648216
0.187121,0.009042,0.686486,0.008480,0.687040
0.203787,-0.103836,0.706826,-0.103719,0.705672
0.220454,-0.199628,0.675712,-0.199059,0.675806
0.237121,-0.268484,0.615997,-0.268457,0.614790
0.253787,-0.320318,0.509963,-0.320190,0.510598
0.270454,-0.355862,0.399878,-0.355699,0.399538
0.287121,-0.378652,0.279424,-0.378578,0.279554
0.303787,-0.395610,0.167966,-0.395610,0.168441
0.320454,-0.413630,0.080066,-0.414236,0.081159
0.337121,-0.447706,0.031251,-0.447795,0.030428
0.353787,-0.490557,-0.011937,-0.490437,-0.011342
0.370454,-0.538070,-0.025613,-0.538729,-0.025570
0.387121,-0.601304,-0.022474,-0.601554,-0.022150
0.403787,-0.667245,-0.002133,-0.667275,-0.002207
0.420454,-0.724059,0.022175,-0.723563,0.021983
0.437121,-0.754360,0.042089,-0.754370,0.042085
0.453787,-0.760988,0.055226,-0.760623,0.055288
0.470454,-0.733435,0.058051,-0.733352,0.057465
0.487121,-0.674779,0.035253,-0.674937,0.035861
0.503787,-0.588559,0.004911,-0.588214,0.004722
0.520454,-0.465678,-0.050338,-0.466008,-0.050597
0.537121,-0.318650,-0.133586,-0.318073,-0.134574
0.553787,-0.133482,-0.255504,-0.132925,-0.256124
0.570454,0.083704,-0.401274,0.084218,-0.400984
0.587121,0.322060,-0.541964,0.321702,-0.541985
0.603787,0.552846,-0.669012,0.552960,-0.668724
0.620454,0.771014,-0.764806,0.770310,-0.763704
0.637121,0.951050,-0.807646,0.950500,-0.807005
0.653787,1.088506,-0.804790,1.088878,-0.805111
0.670454,1.196247,-0.776058,1.195441,-0.777192
0.687121,1.252279,-0.737780,1.252724,-0.737211
0.703787,1.279294,-0.659507,1.279208,-0.658565
0.720454,1.269326,-0.535543,1.268635,-0.535754
0.737121,1.214441,-0.390065,1.214882,-0.390711
0.753787,1.139216,-0.236338,1.138789,-0.235026
0.770454,1.033742,-0.046230,1.034075,-0.046540
0.787121,0.917431,0.141894,0.917300,0.142544
0.803787,0.787354,0.333835,0.787704,0.332161
0.820454,0.657212,0.477511,0.656490,0.478546
0.837121,0.512453,0.613979,0.513733,0.612438
0.853787,0.391998,0.694162,0.391679,0.694359
0.870454,0.267796,0.750028,0.268324,0.749883
0.887121,0.152693,0.778866,0.152400,0.779286
0.903787,0.028247,0.794681,0.028253,0.794542
0.920454,-0.103558,0.790044,-0.104087,0.790451
0.937121,-0.253549,0.775164,-0.253932,0.775643
0.953787,-0.417846,0.750930,-0.417137,0.748947
0.970454,-0.574208,0.675186,-0.574777,0.675721
0.987121,-0.742936,0.599089,-0.742151,0.598710
1.003787,-0.896932,0.514408,-0.898974,0.516563
1.020454,-1.081479,0.471188,-1.080160,0.470450
1.037121,-1.228976,0.417160,-1.229168,0.417288
1.053787,-1.358118,0.363782,-1.358240,0.363969
1.070454,-1.460566,0.308334,-1.459910,0.306995
1.087121,-1.517261,0.222595,-1.517496,0.223179
1.103787,-1.539950,0.141569,-1.540144,0.142548
1.120454,-1.524876,0.073025,-1.524025,0.071641
1.137121,-1.451772,-0.024702,-1.452001,-0.024509
1.153787,-1.341288,-0.121287,-1.339989,-0.121714
1.170454,-1.171730,-0.223488,-1.172396,-0.222346
1.187121,-0.986936,-0.299731,-0.986854,-0.299710
