t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.003787355,-0.000523631,0.002633634,1.738861559,-0.048466658,-0.063593098,-0.008922701,0.996758389
0.020454022,-0.000502273,0.002711047,1.738894884,-0.037565236,-0.045988312,-0.00867031,0.998197753
0.037120688,-0.000510771,0.002755477,1.73916413,0.039003486,0.050566261,-0.008883151,0.997919271
0.053787355,-0.000491924,0.002797783,1.740273081,-0.045990022,-0.05746172,-0.00902556,0.997247014
0.070454022,-0.000492733,0.002811203,1.741307603,-0.030047098,-0.035990598,-0.009025411,0.998859545
0.087120688,-0.000502209,0.002803857,1.741384341,0.044779553,0.053283707,-0.009022739,0.997534074
0.103787355,-0.000511813,0.002733569,1.740839196,0.028701301,0.033926912,-0.008747763,0.998973812
0.120454022,-0.000521667,0.002661498,1.740787458,-0.053110076,-0.057746962,-0.008842248,0.996878339
0.137120688,-0.00054121,0.002600379,1.740348899,-0.052481614,-0.061570636,-0.009095977,0.996680491
0.153787355,-0.000571337,0.002552714,1.741630175,-0.050112421,-0.060015244,-0.009449079,0.996893992
0.170454022,-0.000587912,0.002484984,1.743081351,-0.04660403,-0.056815177,-0.009871711,0.997247537
0.187120688,-0.00061017,0.00240782,1.742680855,-0.033728626,-0.041719885,-0.009664218,0.998513112
0.203787355,-0.000637028,0.00231528,1.743566634,0.026968052,0.034691297,-0.010343091,0.99898061
0.220454022,-0.000631129,0.002188376,1.742522338,-0.049280324,-0.05489643,-0.010046098,0.997224602
0.237120688,-0.000633044,0.002059804,1.74295812,-0.050804251,-0.05361968,-0.010172247,0.997216317
0.253787355,-0.00062623,0.001901936,1.742511683,-0.053955419,-0.054732752,-0.009661478,0.996995383
0.270454022,-0.000625459,0.001756308,1.743476276,-0.050567081,-0.052830093,-0.009739618,0.997274832
0.287120688,-0.000614761,0.001613063,1.743189237,-0.049122588,-0.054924083,-0.00948422,0.997236364
0.303787355,-0.000605411,0.001484647,1.742249571,-0.050374487,-0.058128639,-0.009063701,0.996996149
0.320454022,-0.000592012,0.001378727,1.742831698,-0.048364859,-0.057686334,-0.009284697,0.997119312
0.337120688,-0.000580733,0.001295835,1.742664583,-0.048088217,-0.057782017,-0.009294946,0.997127056
0.353787355,-0.000571799,0.001209797,1.741575863,-0.050167563,-0.060021895,-0.009012832,0.996894857
0.370454022,-0.000554218,0.001148609,1.740772064,-0.052689567,-0.060845311,-0.008648393,0.996718046
0.387120688,-0.000548466,0.001088513,1.740535697,-0.052584168,-0.060972547,-0.008525801,0.996716893
0.403787355,-0.000541733,0.001042913,1.740780118,-0.051081245,-0.060151024,-0.008600558,0.996844316
0.420454022,-0.000544746,0.001010407,1.740870934,-0.051156284,-0.060156317,-0.008508836,0.996840936
0.437120688,-0.000555712,0.00100002,1.740661855,-0.049729823,-0.062048708,-0.008776999,0.996794797
0.453787355,-0.000573457,0.001006529,1.740893648,-0.048010716,-0.062026948,-0.008920902,0.996879153
0.470454022,-0.000595762,0.001036907,1.740950064,-0.046210656,-0.06229734,-0.009004137,0.99694661
0.487120688,-0.000619314,0.001072765,1.740853983,-0.045072863,-0.061320123,-0.009127727,0.997058155
0.503787355,-0.000648506,0.001128643,1.740880767,-0.043854308,-0.058603054,-0.009760935,0.997269876
0.520454022,-0.000654282,0.001196274,1.739819023,-0.046972346,-0.059436633,-0.009815901,0.997077998
0.537120688,-0.000663214,0.001260055,1.741112358,-0.041791446,-0.055559974,-0.010426373,0.997525867
0.553787355,-0.00066347,0.001323305,1.740600791,-0.043114576,-0.056819411,-0.010404532,0.997398834
0.570454022,-0.00065298,0.001394721,1.738892128,-0.048570331,-0.06113241,-0.009805183,0.996898997
0.587120688,-0.000644137,0.001492387,1.739459781,-0.045953225,-0.06067555,-0.009865737,0.997050373
0.603787355,-0.000623313,0.001596125,1.740124264,-0.041296681,-0.061414728,-0.009879172,0.997208713
0.620454022,-0.000599723,0.001718499,1.739499005,-0.04367634,-0.064234315,-0.009503671,0.996933303
0.637120688,-0.000569107,0.001855694,1.738068582,-0.050041782,-0.067646705,-0.00909828,0.996412046
0.653787355,-0.000544284,0.001996007,1.738544631,-0.030142634,-0.041430354,-0.009104516,0.99864511
0.670454022,-0.000518508,0.00213248,1.738331126,0.027880471,0.037084202,-0.008783652,0.998884522
0.687120688,-0.00047594,0.00222679,1.736933602,-0.050163343,-0.065644363,-0.007917278,0.996549935
0.703787355,-0.000457596,0.002332078,1.738987819,-0.043737723,-0.062895399,-0.007944135,0.997029624
0.720454022,-0.000441913,0.002446074,1.740566609,-0.042438085,-0.060687133,-0.007707191,0.997224488
0.737120688,-0.000441226,0.002536667,1.739435001,-0.047288115,-0.063144333,-0.007290775,0.996856796
0.753787355,-0.000447582,0.002615169,1.740477016,-0.044965184,-0.06003046,-0.007793074,0.997152819
0.770454022,-0.000465235,0.002699804,1.73897345,-0.04700011,-0.062372972,-0.007909087,0.996914263
0.787120688,-0.000495778,0.002771616,1.739632644,-0.030968291,-0.039651889,-0.008809805,0.998694688
0.803787355,-0.000529923,0.002833479,1.741012555,0.024805127,0.034436643,-0.009605148,0.999052834
0.820454022,-0.00055396,0.002847014,1.741323863,-0.045892104,-0.060047392,-0.009816857,0.997091698
0.837120688,-0.000577755,0.002838723,1.742338207,-0.042697344,-0.058879654,-0.010080411,0.997300611
0.853787355,-0.000604456,0.00279845,1.743797265,-0.040215127,-0.054459959,-0.010293965,0.99765269
0.870454022,-0.000619185,0.002730115,1.742372724,-0.047022088,-0.056733637,-0.010054753,0.997230725
0.887120688,-0.000638868,0.00264385,1.743012241,-0.048361464,-0.053273699,-0.010469589,0.997353232
0.903787355,-0.000646677,0.002535219,1.74153282,-0.053985877,-0.055249106,-0.010290383,0.996958961
0.920454022,-0.000648161,0.002398777,1.741737384,-0.053468271,-0.054946673,-0.010281882,0.997003656
0.937120688,-0.000647967,0.002233906,1.741836276,-0.054182439,-0.054781229,-0.010126828,0.996975791
0.953787355,-0.000629332,0.002045376,1.743964282,-0.052955013,-0.051491422,-0.010051241,0.997217816
0.970454022,-0.000610547,0.00181327,1.743671585,-0.056311613,-0.053881763,-0.009477816,0.9969132
0.987120688,-0.000591668,0.001568444,1.744974059,-0.053638893,-0.052062349,-0.009260738,0.997159275
1.003787355,-0.000576408,0.001329766,1.743605219,-0.053141088,-0.055578111,-0.009017311,0.996998388
1.020454022,-0.000563927,0.001102,1.743130079,-0.056901037,-0.056234704,-0.008760722,0.996756329
1.037120688,-0.000558479,0.000900475,1.742753277,-0.053566138,-0.056737375,-0.008775121,0.996912502
1.053787355,-0.000561147,0.000717954,1.742305835,-0.05124281,-0.058117723,-0.008721478,0.996955586
1.070454022,-0.000559975,0.00056006,1.74254498,-0.050511171,-0.057245041,-0.008807788,0.997042652
1.087120688,-0.000571462,0.000417625,1.741552668,-0.050907071,-0.060194686,-0.008575526,0.996850806
1.103787355,-0.000581912,0.00031391,1.740674394,-0.051995158,-0.062032073,-0.008602097,0.996681759
1.120454022,-0.000594902,0.00026044,1.742414005,-0.044283931,-0.058492815,-0.009091649,0.997263689
1.137120688,-0.000609969,0.000235817,1.742924162,-0.03829733,-0.056771939,-0.009435564,0.997607754
1.153787355,-0.000625723,0.000249716,1.742156665,-0.038809725,-0.057323986,-0.009490394,0.997555862
1.170454022,-0.000650023,0.000317072,1.739525184,-0.046630694,-0.060915271,-0.009215112,0.997010526
1.187120688,-0.000661754,0.000425624,1.73875169,-0.044758157,-0.061402504,-0.009692355,0.997061933
1.203787355,-0.000680065,0.000559091,1.73969866,-0.039110579,-0.058462282,-0.010476169,0.997468182
1.220454022,-0.000678989,0.000705552,1.738825603,-0.042741798,-0.060177158,-0.010359144,0.9972184
1.237120688,-0.000671505,0.00083513,1.739421581,-0.041719854,-0.058685868,-0.010329351,0.997350855
1.253787355,-0.000649216,0.000955855,1.738987436,-0.045995982,-0.061370518,-0.00978192,0.997006692
1.270454022,-0.00061622,0.001076968,1.739474957,-0.04618241,-0.063810828,-0.009109876,0.996851229
1.287120688,-0.00059552,0.001198834,1.739668517,-0.04400525,-0.064867691,-0.009148697,0.996881147
1.303787355,-0.000570207,0.001333387,1.739097963,-0.042461062,-0.065783419,-0.009322686,0.996886497
