t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.004372,3.594438,-2.922724,3.610188,-2.937645
0.021039,3.793390,-3.128742,3.781587,-3.117137
0.037706,3.630996,-2.986620,3.623794,-2.980058
0.054372,3.132879,-2.534208,3.132557,-2.534650
0.071039,2.416426,-1.892004,2.408962,-1.883838
0.087706,1.398498,-0.948740,1.401890,-0.952165
0.104372,0.346038,0.019359,0.343126,0.020651
0.121039,-0.765594,1.014244,-0.763916,1.014154
0.137706,-1.764612,1.927791,-1.762412,1.925769
0.154372,-2.560842,2.649372,-2.559378,2.647794
0.171039,-3.102402,3.123494,-3.100261,3.121417
0.187706,-3.334365,3.298174,-3.331058,3.294865
0.204372,-3.219411,3.134512,-3.216135,3.131315
0.221039,-2.771414,2.647077,-2.769910,2.645640
0.237706,-2.064329,1.908352,-2.062543,1.906551
0.254372,-1.159642,0.976790,-1.158077,0.975130
0.271039,-0.145304,-0.062042,-0.145989,-0.061927
0.287706,0.848034,-1.085742,0.844299,-1.081329
0.304372,1.679980,-1.931666,1.682111,-1.933035
0.321039,2.380844,-2.630182,2.377317,-2.628024
0.337706,2.791522,-3.061994,2.788064,-3.058619
0.354372,2.877780,-3.169517,2.875325,-3.166800
0.371039,2.650048,-2.954251,2.648857,-2.952882
0.387706,2.154068,-2.460226,2.148600,-2.455028
0.404372,1.362948,-1.665869,1.366174,-1.669081
0.421039,0.500725,-0.788339,0.498066,-0.784641
0.437706,-0.458711,0.217625,-0.457082,0.214620
0.454372,-1.355954,1.149456,-1.358034,1.152684
0.471039,-2.175121,2.035551,-2.170506,2.030655
0.487706,-2.722543,2.655296,-2.721507,2.654266
0.504372,-3.006534,3.019479,-3.003496,3.016855
0.521039,-2.961095,3.065466,-2.958424,3.062532
0.537706,-2.592051,2.782646,-2.588314,2.778818
0.554372,-1.910806,2.181322,-1.908946,2.179361
0.571039,-1.010552,1.351232,-1.010329,1.351029
0.587706,0.000386,0.400082,-0.000479,0.401260
0.604372,1.016562,-0.563868,1.016199,-0.564439
0.621039,1.961032,-1.487824,1.962600,-1.488424
0.637706,2.786508,-2.292386,2.781520,-2.287601
0.654372,3.305384,-2.812062,3.304028,-2.812039
0.671039,3.533788,-3.083094,3.529837,-3.077732
0.687706,3.406372,-2.989173,3.404519,-2.988698
0.704372,2.971307,-2.625055,2.969690,-2.622150
0.721039,2.268141,-1.979488,2.266863,-1.979298
0.737706,1.359308,-1.153328,1.356654,-1.150782
0.754372,0.295794,-0.175340,0.294816,-0.172996
0.771039,-0.802302,0.864704,-0.799492,0.860941
0.787706,-1.774315,1.767821,-1.772775,1.766273
0.804372,-2.560936,2.494008,-2.558955,2.492503
0.821039,-3.091236,2.983183,-3.090063,2.982207
0.837706,-3.336764,3.202857,-3.334015,3.200094
0.854372,-3.250590,3.101246,-3.245288,3.095963
0.871039,-2.795058,2.639415,-2.798026,2.642189
0.887706,-2.153172,1.994728,-2.145563,1.987368
0.904372,-1.198412,1.046332,-1.198823,1.047135
0.921039,-0.158548,0.021607,-0.159910,0.022222
