t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.006576765,0.000132,-0.001897,0.188448,-0.0442037,-0.05926182,-0.00965201,0.99721658,-0.000589182,0.002095737,1.741952522
0.023243432,0.00183,0.000891,-0.425778,-0.045315739,-0.060756295,-0.009672438,0.997076527,-0.000589182,0.002095737,1.741952522
0.039910098,-0.000779,0.000737,-0.201448,-0.044917809,-0.060082063,-0.00966519,0.997135457,-0.000589182,0.002095737,1.741952522
0.056576765,-0.002254,0.003169,-0.010654,-0.044474074,-0.059767656,-0.00958241,0.997175041,-0.000589182,0.002095737,1.741952522
0.073243432,-0.001354,0.002207,-0.026745,-0.045188256,-0.059404171,-0.00964278,0.99716407,-0.000589182,0.002095737,1.741952522
0.089910098,-0.000632,5.8e-05,0.179333,-0.044804895,-0.059507933,-0.009738819,0.997174249,-0.000589182,0.002095737,1.741952522
0.106576765,0.000301,-0.000587,-0.10592,-0.044917538,-0.060371959,-0.009752172,0.997117113,-0.000589182,0.002095737,1.741952522
0.123243432,0.001257,-0.001823,-0.321655,-0.044798081,-0.060743404,-0.00960898,0.997101318,-0.000589182,0.002095737,1.741952522
0.139910098,0.00111,-0.000216,-0.340404,-0.045243952,-0.060810891,-0.009649283,0.997076683,-0.000589182,0.002095737,1.741952522
0.156576765,-0.0005,0.003727,-0.027555,-0.04492726,-0.05994587,-0.009580756,0.997144043,-0.000589182,0.002095737,1.741952522
0.173243432,-0.001351,0.003616,-0.09622,-0.045054493,-0.059968103,-0.009611842,0.997136667,-0.000589182,0.002095737,1.741952522
0.189910098,-0.000849,0.002651,-0.114366,-0.044856737,-0.060110764,-0.009689668,0.997136239,-0.000589182,0.002095737,1.741952522
0.206576765,0.001088,0.002203,-0.156351,-0.044824165,-0.060239486,-0.009621964,0.997130591,-0.000589182,0.002095737,1.741952522
0.223243432,0.001055,-0.000356,0.140869,-0.044830202,-0.059275954,-0.009662991,0.997187666,-0.000589182,0.002095737,1.741952522
0.239910098,0.00115,0.000754,-0.08901,-0.044886305,-0.059748706,-0.009620394,0.99715734,-0.000589182,0.002095737,1.741952522
0.256576765,-0.000376,0.000331,-0.121896,-0.04494021,-0.05973024,-0.009678058,0.99715546,-0.000589182,0.002095737,1.741952522
0.273243432,-0.001057,0.001039,-0.091577,-0.044894876,-0.060182035,-0.009653127,0.997130578,-0.000589182,0.002095737,1.741952522
0.289910098,-0.000603,0.002203,-0.334007,-0.045196123,-0.060286797,-0.009591373,0.997111237,-0.000589182,0.002095737,1.741952522
