t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.015019713,-0.000362,0.508639,0.159733,-0.04323868,0.0047148,-0.00724073,0.999027407,-0.000725168,-0.002716039,1.783371637
0.03168638,0.001782,0.592189,0.214543,-0.048563984,0.00218211,-0.007054252,0.998792779,-0.000725168,-0.002716039,1.783371637
0.048353046,0.001447,0.616466,-0.061745,-0.051436585,0.004800441,-0.007028358,0.998639993,-0.000725168,-0.002716039,1.783371637
0.065019713,0.001198,0.610765,-0.09237,-0.052539273,0.00582557,-0.00704093,0.998577044,-0.000725168,-0.002716039,1.783371637
0.08168638,0.000764,0.578492,0.178784,-0.053628486,0.003725291,-0.0071278,0.998528569,-0.000725168,-0.002716039,1.783371637
0.098353046,-0.00115,0.530393,0.031533,-0.054689656,0.006072392,-0.007282791,0.998458376,-0.000725168,-0.002716039,1.783371637
0.115019713,0.000444,0.455955,0.050211,-0.054901784,0.007817722,-0.00764428,0.998431892,-0.000725168,-0.002716039,1.783371637
0.13168638,0.000748,0.357539,-0.105889,-0.05676221,0.00827098,-0.007903337,0.998322182,-0.000725168,-0.002716039,1.783371637
0.148353046,0.002848,0.211809,-0.118013,-0.058714484,0.009781844,-0.008265345,0.998192671,-0.000725168,-0.002716039,1.783371637
0.165019713,0.005201,0.059214,0.024196,-0.059275483,0.008598111,-0.008408237,0.99816922,-0.000725168,-0.002716039,1.783371637
0.18168638,0.00313,-0.080306,-0.303825,-0.058340107,0.008508266,-0.008615929,0.998223325,-0.000725168,-0.002716039,1.783371637
0.198353046,0.001797,-0.195167,0.05813,-0.056371804,0.006346189,-0.008931284,0.998349727,-0.000725168,-0.002716039,1.783371637
0.215019713,0.001013,-0.277824,0.039505,-0.054459257,0.007209646,-0.008977706,0.998449604,-0.000725168,-0.002716039,1.783371637
0.23168638,-0.000497,-0.328048,0.017507,-0.053645651,0.007224369,-0.009035051,0.998493025,-0.000725168,-0.002716039,1.783371637
0.248353046,-0.001374,-0.36497,0.198901,-0.051786764,0.008463128,-0.008971104,0.998582008,-0.000725168,-0.002716039,1.783371637
0.265019713,-0.002013,-0.384688,0.122771,-0.051516398,0.008569576,-0.008797518,0.998596629,-0.000725168,-0.002716039,1.783371637
0.28168638,-0.002632,-0.382796,0.002894,-0.050242277,0.009478005,-0.008619181,0.998654891,-0.000725168,-0.002716039,1.783371637
0.298353046,-0.003032,-0.351413,0.227673,-0.045862976,0.007506168,-0.008315335,0.998884928,-0.000725168,-0.002716039,1.783371637
0.315019713,-0.006096,-0.279605,0.051077,-0.046341086,0.008385502,-0.008108813,0.998857565,-0.000725168,-0.002716039,1.783371637
0.33168638,-0.009285,-0.178936,-0.090133,-0.044921351,0.009451821,-0.007798968,0.998915367,-0.000725168,-0.002716039,1.783371637
0.348353046,-0.01236,-0.0937,0.1871,-0.045860305,0.007976942,-0.007672082,0.99888655,-0.000725168,-0.002716039,1.783371637
