t_s,bending_avg_y_mm,torsion_diff_y_mm
0.009552167,-0.013635,0.00248
0.026218834,0.009218,-0.020554
0.0428855,0.018546,-0.023798
0.059552167,0.014095,-0.010948
0.076218834,-0.013284,0.016994
0.0928855,-0.028741,0.024154
0.109552167,-0.024995,0.009791
0.126218834,0.001443,-0.012727
0.1428855,0.020754,-0.01903
0.159552167,0.021564,-0.013476
0.176218834,0.005109,-0.001817
0.1928855,-0.010907,0.010491
0.209552167,-0.014806,0.014088
0.226218834,0.00011,0.001019
0.2428855,0.021667,-0.018704
0.259552167,0.023514,-0.020666
0.276218834,0.013899,-0.013354
0.2928855,-0.003244,0.00295
0.309552167,-0.010844,0.008266
0.326218834,-0.009022,0.007748
0.3428855,0.004696,-0.002476
0.359552167,0.017697,-0.012492
0.376218834,0.016104,-0.013767
0.3928855,0.00744,-0.007294
0.409552167,-0.007168,0.007166
0.426218834,-0.012456,0.011088
0.4428855,-0.001518,0.000225
0.459552167,0.01396,-0.01195
0.476218834,0.017053,-0.008005
0.4928855,0.00971,-0.004703
0.509552167,-0.002788,-0.002189
0.526218834,-0.005074,0.000207
0.5428855,0.000422,-0.000268
0.559552167,0.010935,-0.007026
0.576218834,0.020372,-0.008504
0.5928855,0.014966,-0.004778
0.609552167,0.00546,0.002632
0.626218834,0.001658,0.004418
0.6428855,0.003992,0.001699
0.659552167,0.009548,-0.001145
0.676218834,0.012188,-0.000347
0.6928855,0.01352,-0.004596
0.709552167,0.011052,-0.002968
0.726218834,0.005165,0.005456
0.7428855,0.003254,0.006388
0.759552167,0.005056,0.001987
0.776218834,0.006838,-0.000253
0.7928855,0.008248,0.000928
0.809552167,0.008958,0.000615
0.826218834,0.006863,-0.000897
0.8428855,0.002719,0.000708
0.859552167,0.002213,7.4e-05
0.876218834,0.007922,-0.004996
0.8928855,0.012033,-0.005486
0.909552167,0.006958,0.005187
0.926218834,0.002491,0.006793
0.9428855,-0.000621,-0.000644
0.959552167,-0.000166,-0.0055
0.976218834,0.005336,-0.002118
0.9928855,0.011658,-0.000709
1.009552167,0.011974,-0.000346
1.026218834,0.007445,0.000115
1.0428855,0.000606,0.004124
1.059552167,-0.000242,0.007719
1.076218834,0.004281,0.001737
1.0928855,0.008346,-0.00795
1.109552167,0.008899,-0.00795
1.126218834,0.006108,0.001182
1.1428855,0.0012,0.008459
1.159552167,-0.00473,0.008141
1.176218834,-0.004918,0.003942
1.1928855,0.002445,-0.00231
1.209552167,0.012156,-0.006441
1.226218834,0.012726,-0.005326
1.2428855,0.007453,-0.005165
1.259552167,0.0012,7.4e-05
1.276218834,-0.004537,0.00616
1.2928855,-0.004218,0.005942
1.309552167,0.002564,-0.000889
1.326218834,0.006162,-0.007798
1.3428855,0.005789,-0.006604
1.359552167,-0.001926,0.003147
1.376218834,-0.006896,0.006835
1.3928855,-0.005047,0.002762
1.409552167,-0.001996,0.000611
1.426218834,0.003541,-0.005964
1.4428855,0.006898,-0.011138
1.459552167,0.006168,-0.008864
1.476218834,0.002866,-0.002151
1.4928855,-0.001586,0.002706
1.509552167,-0.002202,0.000606
1.526218834,0.001328,-0.006651
1.5428855,0.00636,-0.010058
1.559552167,0.009535,-0.009384
1.576218834,0.007296,-0.007432
1.5928855,-0.001562,0.00234
1.609552167,-0.009266,0.009642
1.626218834,-0.008907,0.008418
