t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.009552167,0.000629,-0.012516,-0.428096,0.006836953,0.007221867,-0.010009099,0.999900454,0.00559122,-0.005484769,1.3958937
0.026218834,0.001148,0.0061,-0.441737,-0.003260648,-0.002296161,-0.010005842,0.999941988,0.00559122,-0.005484769,1.3958937
0.0428855,0.001717,0.016855,-0.025448,0.00498563,0.002857929,-0.01005661,0.999932918,0.00559122,-0.005484769,1.3958937
0.059552167,-0.002296,0.013717,0.100828,0.041207298,0.032633016,-0.010106805,0.998566421,0.00559122,-0.005484769,1.3958937
0.076218834,0.003807,-0.014187,0.167485,-0.004471884,-0.00238488,-0.010068256,0.99993647,0.00559122,-0.005484769,1.3958937
0.0928855,0.009381,-0.032468,0.266804,-0.036779612,-0.027613686,-0.010017988,0.998891578,0.00559122,-0.005484769,1.3958937
0.109552167,0.008985,-0.029249,0.161225,-0.035825201,-0.028322629,-0.009990843,0.998906686,0.00559122,-0.005484769,1.3958937
0.126218834,0.003203,-0.0041,0.029374,-0.002140892,-0.001084658,-0.01003621,0.999946756,0.00559122,-0.005484769,1.3958937
0.1428855,0.00137,0.016845,0.002469,0.004666672,0.004807339,-0.010084158,0.999926708,0.00559122,-0.005484769,1.3958937
0.159552167,0.001746,0.01767,0.114097,0.004646892,0.003483402,-0.01008514,0.999932279,0.00559122,-0.005484769,1.3958937
0.176218834,-0.000865,0.006632,0.187922,0.040613284,0.03251896,-0.010096204,0.998594585,0.00559122,-0.005484769,1.3958937
0.1928855,-0.000204,-0.007905,0.026575,0.041111335,0.033050829,-0.010046277,0.998557246,0.00559122,-0.005484769,1.3958937
0.209552167,0.00382,-0.014504,-0.174475,-0.002775071,-0.00255103,-0.010019222,0.999942702,0.00559122,-0.005484769,1.3958937
0.226218834,0.001608,-0.001894,-0.188337,0.006232305,0.006013582,-0.010055182,0.99991194,0.00559122,-0.005484769,1.3958937
0.2428855,-0.003477,0.019206,-0.099048,0.039445553,0.033475531,-0.010056017,0.998610191,0.00559122,-0.005484769,1.3958937
0.259552167,0.001212,0.020065,-0.072476,-0.00243458,-0.000868084,-0.010072162,0.999945934,0.00559122,-0.005484769,1.3958937
0.276218834,0.001878,0.011862,-0.045815,0.006031655,0.00547948,-0.010130673,0.999915478,0.00559122,-0.005484769,1.3958937
0.2928855,-0.000152,4.8e-05,0.018933,0.040655269,0.032517117,-0.010104427,0.998592853,0.00559122,-0.005484769,1.3958937
0.309552167,0.00047,-0.008952,0.022945,0.04039108,0.032810922,-0.010064521,0.998594367,0.00559122,-0.005484769,1.3958937
0.326218834,0.003661,-0.009308,-0.145472,0.002914483,0.002717423,-0.010027499,0.999941784,0.00559122,-0.005484769,1.3958937
0.3428855,0.00086,0.003303,-0.124596,0.003147765,0.002813006,-0.010045265,0.999940634,0.00559122,-0.005484769,1.3958937
0.359552167,-0.005099,0.016774,0.029997,0.039383841,0.032807207,-0.010112028,0.998634241,0.00559122,-0.005484769,1.3958937
0.376218834,-0.003083,0.015671,0.079868,0.040764729,0.032677854,-0.010121763,0.998582968,0.00559122,-0.005484769,1.3958937
0.3928855,-0.000548,0.005834,0.072773,0.041470618,0.03227007,-0.010105763,0.998567326,0.00559122,-0.005484769,1.3958937
0.409552167,0.000464,-0.004849,-0.038211,0.041263317,0.032542232,-0.010095581,0.998567184,0.00559122,-0.005484769,1.3958937
0.426218834,0.005991,-0.013618,-0.062454,0.000519192,0.00020929,-0.010108505,0.999948751,0.00559122,-0.005484769,1.3958937
0.4428855,0.003624,-0.003841,-0.146242,0.003044191,0.003212126,-0.01007549,0.999939448,0.00559122,-0.005484769,1.3958937
0.459552167,-0.005749,0.013474,-0.15933,0.040144337,0.033409336,-0.01010165,0.9985841,0.00559122,-0.005484769,1.3958937
0.476218834,-0.006282,0.016535,-0.047394,0.040731828,0.032559395,-0.010168764,0.998587703,0.00559122,-0.005484769,1.3958937
0.4928855,-0.00247,0.009205,0.069776,0.040588367,0.031971118,-0.010149829,0.998612744,0.00559122,-0.005484769,1.3958937
