t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.005331897,-0.000577943,0.002003,1.741794327,-0.044305859,-0.060490861,-0.00984398,0.997136371
0.021998564,-0.000577848,0.002009402,1.742123909,-0.043346185,-0.059856154,-0.009949619,0.997215801
0.03866523,-0.000575138,0.002014092,1.74224567,-0.042435396,-0.059370036,-0.010021714,0.99728331
0.055331897,-0.000576658,0.002018145,1.742226227,-0.042060852,-0.059373306,-0.010088109,0.997298313
0.071998564,-0.00057979,0.002033092,1.742665655,-0.039836902,-0.058241343,-0.010192582,0.997455301
0.08866523,-0.000581625,0.002048135,1.74316306,-0.039107291,-0.057168534,-0.010169905,0.997546466
0.105331897,-0.000579898,0.00205082,1.74323555,-0.039330492,-0.057419278,-0.010219182,0.997522785
0.121998564,-0.000577831,0.002055151,1.742892889,-0.039824382,-0.058350568,-0.010208258,0.997449258
0.13866523,-0.000578079,0.002067976,1.742508645,-0.040469274,-0.058975458,-0.01013449,0.9973873
0.155331897,-0.000576588,0.002083035,1.742040101,-0.043333968,-0.05977177,-0.009957326,0.997221317
0.171998564,-0.000575414,0.002090712,1.741795945,-0.044665279,-0.060265891,-0.009796593,0.997134425
0.18866523,-0.000573908,0.002094821,1.741647856,-0.045188444,-0.060557582,-0.009810916,0.99709304
0.205331897,-0.000574721,0.00209996,1.741337446,-0.04597549,-0.061115534,-0.009669289,0.997024398
0.221998564,-0.000576012,0.00210894,1.740724169,-0.047672185,-0.062565764,-0.009502789,0.996856351
0.23866523,-0.0005756,0.002114428,1.740394143,-0.049351352,-0.063326821,-0.00945529,0.996727021
0.255331897,-0.000573956,0.002115587,1.740396063,-0.049306636,-0.063370523,-0.009453846,0.996726471
0.271998564,-0.000572795,0.002117532,1.740248964,-0.049061378,-0.063621993,-0.009424219,0.996722834
0.28866523,-0.0005739,0.002122643,1.740174624,-0.049209414,-0.063899763,-0.009371036,0.996698268
0.305331897,-0.000575591,0.002129524,1.739880844,-0.049657927,-0.064528491,-0.009387077,0.996635363
0.321998564,-0.000575005,0.002129689,1.740080382,-0.049898365,-0.064064311,-0.009364126,0.996653516
0.33866523,-0.000575489,0.002125781,1.740249433,-0.049351551,-0.063683442,-0.009393842,0.996704871
0.355331897,-0.000576221,0.002125484,1.740290453,-0.049029591,-0.063688078,-0.009415354,0.996720261
0.371998564,-0.000575172,0.002128349,1.740055631,-0.049566995,-0.064020586,-0.009342341,0.996673065
0.38866523,-0.000573643,0.002128215,1.739813034,-0.049982555,-0.064544802,-0.009322387,0.996618686
0.405331897,-0.000574799,0.002125335,1.739995045,-0.050031256,-0.063883806,-0.009372469,0.996658361
0.421998564,-0.000576198,0.002121198,1.740265278,-0.049445122,-0.063614356,-0.009410019,0.996704492
0.43866523,-0.000576879,0.002119324,1.740308128,-0.049311027,-0.063910938,-0.009406745,0.996692193
0.455331897,-0.000577122,0.002117181,1.740517436,-0.049061849,-0.06316819,-0.009424047,0.996751675
0.471998564,-0.000576795,0.002110714,1.740954752,-0.048129871,-0.061906564,-0.009477646,0.996875753
0.48866523,-0.000576058,0.002102869,1.741372581,-0.046315849,-0.061362005,-0.009640099,0.996993789
0.505331897,-0.000574974,0.002101818,1.741458822,-0.046204971,-0.06112851,-0.009637804,0.997013299
0.521998564,-0.000575698,0.00210067,1.741427701,-0.046670746,-0.060932076,-0.009652392,0.997003488
0.53866523,-0.000575045,0.002094462,1.741570366,-0.046544617,-0.060967026,-0.009715653,0.997006633
0.555331897,-0.000574717,0.002083058,1.742150793,-0.044458524,-0.059775338,-0.009882012,0.997172349
0.571998564,-0.000575337,0.002073742,1.742548537,-0.04240131,-0.058702377,-0.009977834,0.997324723
0.58866523,-0.000575613,0.002070305,1.742724134,-0.041303169,-0.058503132,-0.010039906,0.997381889
0.605331897,-0.000575715,0.002062784,1.742886646,-0.040675107,-0.057978901,-0.010180908,0.997436881
0.621998564,-0.000576566,0.002053601,1.74318457,-0.039591521,-0.057267531,-0.010213622,0.99752124
0.63866523,-0.000576641,0.002047587,1.743032638,-0.0401836,-0.057763601,-0.010191248,0.997469189
0.655331897,-0.000576408,0.002046089,1.742988511,-0.039803037,-0.057705618,-0.010248457,0.997487217
0.671998564,-0.000577046,0.002043699,1.742975904,-0.040519569,-0.057516901,-0.010275222,0.997468992
0.68866523,-0.000577711,0.002035914,1.742799028,-0.041545774,-0.05778529,-0.010229518,0.997411733
0.705331897,-0.000578295,0.002028799,1.742337669,-0.042363368,-0.058738489,-0.010137942,0.997322594
0.721998564,-0.000578211,0.002026736,1.742339775,-0.042304699,-0.058926055,-0.010143199,0.997313967
0.73866523,-0.000577534,0.002025523,1.742602285,-0.041859734,-0.058260106,-0.010174343,0.997371548
0.755331897,-0.000577563,0.002022565,1.742691137,-0.042328332,-0.058099485,-0.010135409,0.997361537
0.771998564,-0.000576532,0.002022486,1.742287596,-0.042631411,-0.05896509,-0.010062323,0.997298566
