t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.002827483,0.00555791,-0.0069377,1.38980893,0.02654688,0.05891884,-0.01451205,0.997804206
0.01949415,0.005558872,-0.006335386,1.388540636,0.021413785,0.061582378,-0.012126353,0.997798583
0.036160816,0.005554524,-0.005706866,1.387973808,0.021672485,0.063778313,-0.009933726,0.997679283
0.052827483,0.005554595,-0.005085755,1.388703732,0.015634595,0.053466987,-0.007720732,0.998417363
0.06949415,0.005574149,-0.004517504,1.390185649,-0.019991397,-0.052722581,-0.005751281,0.998392506
0.086160816,0.005579216,-0.004082291,1.392064039,-0.025415911,-0.045812673,-0.004266582,0.998617558
0.102827483,0.005581644,-0.003785125,1.393948386,-0.029537059,-0.038692546,-0.00333027,0.99880897
0.11949415,0.005586571,-0.003668857,1.39530476,-0.037028094,-0.032532893,-0.002857475,0.998780439
0.136160816,0.005594661,-0.003750001,1.397314506,-0.04579375,-0.01918219,-0.003413229,0.998760895
0.152827483,0.005598945,-0.004004035,1.39749235,-0.05486438,-0.015476916,-0.004321272,0.998364508
0.16949415,0.005610472,-0.004423767,1.397508949,-0.047486186,-0.014235729,-0.006076126,0.998751965
0.186160816,0.005612866,-0.004912862,1.397447283,0.066608821,0.019926882,-0.008309276,0.997545558
0.202827483,0.005616152,-0.005484332,1.397575712,0.068742444,0.019397664,-0.010625365,0.997389246
0.21949415,0.005615967,-0.006026771,1.397262121,0.058568865,0.018163153,-0.012741073,0.998036799
0.236160816,0.005622971,-0.006535842,1.397643781,-0.056729888,-0.016051706,-0.014570173,0.998154183
0.252827483,0.005614948,-0.006903327,1.397207317,-0.045921926,-0.016413018,-0.015981323,0.998682325
0.26949415,0.005604973,-0.007119134,1.396850963,0.042647616,0.020744972,-0.017048243,0.998729285
0.286160816,0.005607618,-0.007175649,1.395512301,-0.029911438,-0.025433743,-0.017260708,0.999079826
0.302827483,0.00559142,-0.007024566,1.393915548,0.033866818,0.042891938,-0.016599925,0.998367549
0.31949415,0.005581792,-0.006713735,1.391714437,0.027077191,0.051698669,-0.015359101,0.998177425
0.336160816,0.005578316,-0.006298913,1.390278248,0.024087198,0.05642263,-0.013605949,0.998023633
0.352827483,0.005573768,-0.005783049,1.389684827,0.022315663,0.0591115,-0.011410585,0.997936691
0.36949415,0.005570403,-0.005235052,1.39002451,0.021205007,0.057755921,-0.009075014,0.998064249
0.386160816,0.005565958,-0.004736159,1.390180276,0.023219164,0.057460862,-0.006902043,0.998053847
0.402827483,0.005567995,-0.004324226,1.392400008,0.028216665,0.048649461,-0.005052982,0.998404486
0.41949415,0.005568991,-0.004052935,1.393815835,0.035672364,0.043777844,-0.00379521,0.998397005
0.436160816,0.005568861,-0.003940733,1.395401883,0.038472875,0.036187382,-0.003150506,0.998599212
0.452827483,0.005573846,-0.004024007,1.396900552,0.050967297,0.026363637,-0.003125894,0.998347395
0.46949415,0.005578404,-0.004303105,1.397644574,0.050580783,0.017555199,-0.0036647,0.998558946
0.486160816,0.005586046,-0.004744396,1.397807136,-0.059617073,-0.014709413,-0.004806104,0.998101367
0.502827483,0.005593007,-0.005293582,1.397655448,-0.057747579,-0.012992641,-0.006672973,0.998224363
0.51949415,0.005595327,-0.005879003,1.397660011,0.067338687,0.017288252,-0.009027192,0.997539537
0.536160816,0.005596954,-0.006353881,1.39752885,-0.033474265,-0.006095624,-0.010563011,0.999365168
0.552827483,0.005593526,-0.007057492,1.397369606,-0.063141947,-0.015091228,-0.013110511,0.997804321
0.56949415,0.005592589,-0.007551627,1.397444623,-0.056634872,-0.016560206,-0.014907857,0.998146285
0.586160816,0.005587148,-0.007891788,1.3966319,-0.049025701,-0.022753134,-0.016367806,0.998404162
0.602827483,0.005585205,-0.008027386,1.396141168,-0.035988515,-0.025050767,-0.017090445,0.998891987
0.61949415,0.005570136,-0.007935112,1.394583303,0.030334779,0.039840069,-0.017061992,0.998599749
0.636160816,0.005561391,-0.007645285,1.391468063,0.027714211,0.051875597,-0.016389884,0.998134368
0.652827483,0.005558712,-0.007176351,1.390015554,0.023614664,0.056923192,-0.014897247,0.997988061
0.66949415,0.00555485,-0.00657209,1.387894372,0.020406692,0.063622048,-0.013030081,0.997680319
0.686160816,0.005553135,-0.00588704,1.387083138,0.020734591,0.066273157,-0.010764223,0.997527983
0.702827483,0.005553618,-0.005166983,1.387569766,0.018125017,0.065148456,-0.008484379,0.997674886
0.71949415,0.005557324,-0.004526039,1.388386785,0.021824956,0.061224954,-0.006467131,0.997864396
0.736160816,0.00557757,-0.004014156,1.39041787,-0.020570622,-0.049845684,-0.00479022,0.99853358
0.752827483,0.005587514,-0.003632959,1.393049878,-0.028933668,-0.042023202,-0.003384173,0.998691865
0.76949415,0.005581055,-0.003439792,1.394809464,0.032901624,0.038281842,-0.003072685,0.998720453
0.786160816,0.005598014,-0.003480873,1.396780313,-0.039411104,-0.024457732,-0.003154846,0.998918731
0.802827483,0.005602917,-0.003693962,1.397417338,-0.051463524,-0.017019957,-0.003851752,0.998522404
0.81949415,0.005604594,-0.004058202,1.397289992,0.056111368,0.017663957,-0.005460833,0.998253314
0.836160816,0.005610741,-0.004472981,1.397518184,0.0671367,0.020495981,-0.007060582,0.997508259
0.852827483,0.005621403,-0.005211865,1.397444883,-0.061960615,-0.013697831,-0.009515182,0.997939233
