frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming
0,0,946.66862,566.630737,805.166443,715.743652,1097.886963,710.372192,1087.890869,417.812805,795.89917,423.315979,56.3228,0
1,0,949.603385,566.702552,807.391296,715.012085,1099.924194,711.401794,1091.502197,418.719727,799.852966,422.552368,55.036,0
2,0,952.528373,566.73193,809.105957,713.895325,1102.035889,712.869568,1095.215088,420.323425,803.598022,421.158447,56.9237,0
3,0,955.16876,566.598408,811.050537,713.5495,1104.266479,713.280212,1098.434814,420.516235,806.894836,420.727051,55.9157,0
4,0,957.086539,567.271683,812.901306,713.478638,1105.03064,713.846191,1101.448975,420.88504,809.230042,420.783966,55.1302,0
5,0,958.53329,567.744644,813.583252,713.238647,1105.82666,715.422607,1103.269409,422.465363,811.56427,420.391876,55.1222,0
6,0,959.02441,567.762983,813.148926,713.951477,1106.242676,715.720581,1103.215698,423.262299,812.661987,420.665527,55.9858,0
7,0,958.405409,569.522406,813.856567,715.070862,1104.518921,715.358826,1103.75415,423.168518,810.659424,422.05661,54.6749,0
8,0,956.533304,568.252951,810.446716,715.462891,1104.916016,715.481079,1100.607666,423.070709,809.792969,422.654419,55.203,0
9,0,954.641578,569.340713,810.408142,716.456238,1102.500122,715.000366,1098.168457,422.945862,806.08844,422.996796,56.6142,0
10,0,951.816755,569.3861,807.802368,718.112854,1100.977051,714.387573,1094.376465,422.161621,803.119019,424.83429,55.169,0
11,0,948.678842,569.848325,805.497498,718.921448,1098.485107,714.018921,1090.985352,421.686035,799.026123,425.8255,54.8879,0
12,0,945.917027,570.479304,803.998474,720.165039,1096.142822,713.237,1087.605225,421.03653,794.863342,426.934875,55.3124,0
13,0,943.314155,570.451544,802.094849,720.844666,1094.768799,712.993408,1084.144409,420.472748,791.967346,428.011169,55.177,0
14,0,941.60615,570.710035,801.067871,721.438599,1093.405884,712.661377,1081.837402,420.31076,789.641418,428.604401,56.362,0
15,0,940.673824,570.653947,800.582153,721.69635,1093.122803,712.537292,1080.339478,420.070862,788.342102,428.87973,55.444,0
16,0,940.689458,570.541609,800.742065,721.402405,1093.175293,712.430054,1080.395874,419.940582,788.384338,428.82132,54.9457,0
17,0,941.764067,570.385101,801.589661,720.889221,1094.012695,712.508911,1081.783936,420.046906,789.634338,428.372284,56.5254,0
18,0,943.614493,569.987211,802.840698,720.289734,1095.598511,712.625427,1084.017822,420.080231,791.9776,427.674774,56.0584,0
19,0,946.157769,569.682904,804.894409,719.111694,1097.319214,713.013,1087.269287,420.414734,795.064209,426.417175,54.9914,0
20,0,949.018208,569.422566,807.034119,718.204773,1099.261719,713.255066,1091.040894,420.599915,798.821167,425.634552,55.0158,0
21,0,951.877542,568.431827,808.416565,716.502197,1101.72229,713.927917,1094.38855,421.341949,803.168091,424.038086,55.3725,0
22,0,954.671998,568.322218,810.90625,715.677124,1103.917236,714.333496,1097.694458,421.729156,806.37146,423.235168,55.6303,0
23,0,956.848317,567.531684,812.072327,713.980469,1105.061523,714.402405,1100.860474,421.85556,809.248779,421.269073,55.1114,0
24,0,958.361357,567.651463,813.853149,713.226562,1105.166138,713.956299,1103.490234,421.451111,810.699402,420.492371,55.4285,0
25,0,958.78736,566.493348,813.200439,713.250549,1106.154419,713.55304,1103.210449,420.909332,812.570435,420.58139,55.045,0
26,0,958.431344,567.109911,813.577515,713.263672,1105.073242,713.275696,1103.55603,420.682861,811.606567,420.761841,55.2785,0
27,0,956.829837,566.618202,811.3974,713.373596,1104.966187,713.39917,1101.483032,420.649139,809.531616,420.667694,55.6413,0
28,0,954.985958,567.130105,810.937317,713.374939,1102.696655,712.995544,1099.311401,420.604248,806.651978,420.64917,55.0235,0
29,0,952.351099,566.144754,808.058411,713.961304,1101.439331,711.772583,1095.158325,419.849945,803.771667,421.013916,55.9515,0
30,0,949.284191,566.16056,805.858765,714.997681,1098.949829,710.74646,1091.54834,418.528534,800.116394,422.055603,55.2197,0
31,0,946.418115,566.625146,804.226501,715.969666,1096.643799,710.054626,1088.062622,417.855255,796.049438,423.059143,55.8831,0
32,0,943.958139,566.84113,802.26825,717.15387,1095.028076,709.467468,1084.815063,417.412048,792.630859,423.971832,56.273,0
33,0,941.903855,567.114288,801.205322,718.015076,1093.7323,709.131775,1081.972778,416.888763,790.116455,425.135193,56.4377,0
34,0,940.74445,567.410902,800.500916,718.502869,1093.062744,709.134827,1080.479492,416.86676,788.483887,425.740692,55.8068,0
35,0,940.622824,567.626095,800.515076,718.762146,1093.150879,709.500427,1080.124268,417.144073,788.306824,425.949005,55.2407,0
36,0,941.352081,568.113392,801.32373,718.549194,1093.577148,710.092651,1081.363281,417.696014,788.952148,425.971039,54.8634,0
37,0,942.966219,567.909209,802.239868,718.434143,1095.302734,710.661072,1082.981689,418.144653,791.356201,425.838135,55.579,0
38,0,945.351992,568.18127,804.294739,717.974121,1096.922485,711.383362,1085.953369,418.872528,794.211853,425.385773,55.9697,0
39,0,948.20588,568.202484,806.144043,717.096985,1099.037598,712.379639,1089.723022,419.878876,797.799194,424.43161,55.4655,0
40,0,951.160057,568.219483,808.29071,716.310547,1101.1698,713.103027,1093.783569,420.38324,801.59375,423.764221,55.8375,0
41,0,953.956649,568.597521,810.680725,715.825989,1102.930908,714.051025,1097.422974,421.173401,805.233154,423.388855,55.4403,0
42,0,956.340369,568.428799,811.53125,715.296997,1104.869507,715.116943,1100.385864,422.335083,808.757507,422.675201,54.7245,0
43,0,958.235317,569.102419,813.93811,714.212524,1104.899414,715.559143,1103.490601,423.028839,810.241821,421.318176,54.6214,0
44,0,958.956196,567.695497,813.175598,713.747375,1106.450317,715.711853,1103.20105,423.18222,812.532715,420.753571,54.9651,0
45,0,958.88489,567.815047,813.236694,713.704712,1105.972412,715.633057,1103.245483,423.215118,812.394653,420.59729,56.1411,0
46,0,957.84379,568.82202,813.295288,714.144897,1104.446045,715.076233,1103.107422,422.780182,809.394531,420.725189,54.7759,0
47,0,955.664825,567.908939,810.940796,715.201721,1103.395996,713.437988,1100.009155,421.002594,807.567688,422.019379,55.4202,0
48,0,952.85106,567.833675,808.491455,715.813721,1101.470337,712.89386,1096.862427,420.210602,804.463257,422.99942,54.722,0
49,0,949.977418,568.041948,806.912048,716.326843,1099.280029,712.526917,1092.729248,420.082031,800.552856,423.438965,56.4651,0
50,0,947.29602,567.882682,804.705322,717.575378,1097.596191,711.547363,1088.530396,419.613861,797.119202,424.335907,55.6382,0
51,0,944.392456,567.934048,802.434998,718.323792,1095.650391,710.986511,1085.162476,418.802277,793.792603,425.503967,55.1921,0
52,0,942.31179,568.205233,801.320068,718.927063,1094.164185,710.67865,1082.43042,418.416748,790.807556,426.058472,55.5073,0
53,0,940.99628,568.622569,800.628906,719.616333,1093.050659,710.415344,1080.806885,418.227722,788.721436,426.624207,55.8444,0
54,0,940.559146,568.692614,800.421509,719.984985,1093.030273,710.443298,1079.961182,418.194397,788.225159,427.069427,55.2144,0
55,0,941.091604,569.063132,801.079041,719.906494,1093.363159,710.841858,1080.830688,418.514404,788.618103,427.096375,55.6409,0
56,0,942.668362,568.782941,801.95459,719.598511,1094.84314,711.251953,1082.361328,419.061462,790.840027,426.638275,55.5652,0
57,0,944.806334,569.098463,803.78595,719.00354,1096.337524,712.262634,1085.303955,419.749084,793.497864,426.144714,54.9278,0
58,0,947.366182,568.893589,805.407227,718.544983,1098.706177,712.917542,1088.437744,420.177673,797.148071,425.937286,54.7913,0
59,0,950.401943,569.177695,808.067017,717.732849,1100.875854,713.773193,1092.357788,421.018188,800.624634,425.251587,54.467,0
60,0,953.498637,569.68988,810.399109,716.497681,1102.211182,714.945679,1096.921631,422.550232,804.002747,423.668945,55.5896,0
61,0,955.796476,569.010659,811.165588,715.707886,1104.344238,715.482117,1099.86438,422.88446,807.667236,422.951874,54.7023,0
62,0,957.795199,569.815719,813.892944,715.470154,1104.803711,715.667664,1102.878296,422.966064,809.676575,422.862396,54.6944,0
63,0,958.777701,568.609758,813.231873,715.361145,1106.565063,715.745544,1103.102051,423.089966,812.393372,422.870819,55.7383,0
64,0,958.836587,568.592864,813.167725,715.315186,1106.350342,715.739807,1103.18689,423.198639,812.603394,422.723297,54.805,0
65,0,957.920244,570.046904,813.883179,715.35614,1104.188232,715.56189,1103.812866,422.865723,810.032532,422.920532,54.4174,0
66,0,956.069781,568.247603,810.323914,715.51062,1104.354614,715.243835,1100.054077,422.764496,809.332764,422.785736,55.179,0
67,0,953.809949,568.688308,809.291504,716.067261,1101.966553,714.032959,1097.493896,422.16037,805.463806,423.157715,54.7202,0
68,0,950.863842,568.564879,807.734375,716.661499,1099.880737,712.907837,1093.993896,420.467651,801.471558,423.858307,55.0553,0
69,0,947.886279,568.269069,805.11261,717.543945,1098.016235,712.027283,1089.834839,419.856873,797.763916,424.518127,55.311,0
70,0,945.039043,568.068345,803.083618,718.150513,1095.924316,710.991089,1086.063599,418.970337,794.304321,425.288208,54.897,0
71,0,942.731429,567.91209,801.762756,718.435181,1094.491577,710.348633,1083.059204,418.073334,791.216064,425.705292,55.2277,0
72,0,941.232205,568.05799,800.885132,718.651306,1093.131226,709.852539,1081.38208,417.67627,788.9729,425.927124,55.7034,0
73,0,940.49,567.623937,800.387207,718.732361,1093.093384,709.512512,1079.928467,417.232025,788.238098,426.062164,55.1281,0
74,0,940.828205,567.539111,800.732544,718.536255,1093.271729,709.271912,1080.322021,417.190643,788.443298,425.860809,54.6871,0
75,0,942.061325,567.342454,801.723755,717.983093,1094.227661,709.390503,1082.008179,417.121216,790.047852,425.437103,55.9598,0
76,0,944.058764,567.101681,803.216064,716.912476,1095.783203,709.962402,1084.626343,417.583527,792.462097,424.361267,55.5982,0
77,0,946.650948,566.910124,805.111572,715.996887,1097.790894,710.608582,1087.916992,418.111267,795.797607,423.484161,55.9331,0
78,0,949.599885,566.704863,807.414612,714.977173,1099.834595,711.235657,1091.531372,418.697205,799.7854,422.578339,55.6934,0
79,0,952.554356,566.434873,809.140198,713.670776,1102.121948,712.435669,1095.216187,419.971344,803.603027,421.035645,56.3854,0
80,0,955.192777,566.479972,811.059937,713.182495,1104.37439,713.201599,1098.533569,420.583618,806.946838,420.678589,55.1903,0
81,0,957.185017,567.008896,813.087402,713.165283,1105.047729,713.195923,1101.518188,420.613586,809.230164,420.730774,56.1999,0
82,0,958.502327,566.912216,813.630981,713.150452,1105.655884,713.319397,1103.320312,420.727844,811.447937,420.603699,54.2734,0
83,0,958.747679,566.452934,813.207275,713.239258,1106.140747,713.413513,1103.212891,420.751007,812.546387,420.680634,54.6824,0
84,0,958.178118,567.632704,813.849365,713.283997,1104.548828,713.395996,1103.74585,420.731079,810.665771,420.732513,55.6058,0
85,0,956.485947,566.16811,810.381104,713.654053,1104.862061,713.386597,1100.590088,420.701782,809.812134,420.638641,55.379,0
