frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming,area_px2,quality_score,corner_sharpness
0,0,949.54873,569.360354,806.70697,718.306213,1099.387573,713.62561,1091.652588,421.183929,800.070557,425.442352,55.2608,0,85525.156,16160.8465,36.1446
1,0,949.52199,569.335167,806.717163,718.250549,1099.362183,713.641785,1091.638306,421.137756,800.090332,425.421997,55.3647,0,85518.7035,16190.6209,36.4174
2,0,949.499672,569.401045,806.678711,718.312195,1099.334595,713.723328,1091.636719,421.202972,800.077332,425.476166,54.8468,0,85525.215,16039.779,34.7479
3,0,949.522304,569.56996,806.683533,718.353088,1099.367432,713.976135,1091.633301,421.544891,800.04895,425.522064,55.0305,0,85517.5498,16092.7803,38.3926
4,0,949.52932,569.617818,806.692688,718.452698,1099.349487,713.971924,1091.635498,421.544067,800.046082,425.588348,55.0919,0,85519.2954,16110.9002,34.814
5,0,949.544488,569.51163,806.690063,718.392029,1099.379028,713.806702,1091.632568,421.429901,800.060425,425.554077,55.8062,0,85510.8572,16318.9827,35.1364
6,0,949.491129,569.310175,806.714233,718.258423,1099.338867,713.551941,1091.62854,421.029053,800.024353,425.43512,54.5983,0,85526.8344,15967.2571,36.5165
7,0,949.538486,569.325523,806.780579,718.315979,1099.369629,713.562744,1091.620239,421.040741,800.025513,425.394592,55.0181,0,85534.6559,16090.7632,35.719
8,0,949.585742,569.543915,806.764771,718.46991,1099.350342,713.80896,1091.660767,421.395752,800.057007,425.506073,55.2891,0,85524.3268,16169.0444,35.6446
9,0,949.554383,569.671163,806.711121,718.486389,1099.382568,714.039307,1091.639526,421.645752,800.049683,425.614716,55.3319,0,85517.2615,16180.8926,37.0661
10,0,949.519543,569.591375,806.664612,718.369934,1099.354004,713.986145,1091.600342,421.619049,800.050415,425.548676,54.6469,0,85502.3729,15979.1846,35.6529
11,0,949.541859,569.543739,806.712708,718.412476,1099.34668,713.858765,1091.612305,421.46579,800.015381,425.496857,54.8427,0,85519.8143,16038.0736,34.8554
12,0,949.568514,569.557248,806.792419,718.41272,1099.359009,713.797791,1091.640747,421.435608,799.982849,425.513947,54.4176,0,85512.5192,15913.0796,34.8884
13,0,949.565322,569.558928,806.754456,718.421814,1099.384888,713.834351,1091.652344,421.450562,800.026123,425.553497,54.8075,0,85515.7768,16027.4015,35.1116
14,0,949.52551,569.610162,806.772095,718.373413,1099.359619,713.984253,1091.646362,421.506104,800.043762,425.575592,54.6955,0,85508.6495,15993.9826,37.1529
15,0,949.547228,569.597976,806.759644,718.375122,1099.407104,713.924927,1091.648071,421.536377,800.01123,425.582947,54.781,0,85508.7943,16018.998,37.0455
16,0,949.56637,569.54422,806.720703,718.351013,1099.415283,713.848145,1091.659302,421.521576,800.035278,425.546356,54.7224,0,85506.5531,16001.6525,36.6612
17,0,949.587342,569.546179,806.770325,718.380859,1099.408569,713.876709,1091.646362,421.501434,800.079468,425.517517,55.0165,0,85505.6376,16087.5657,35.7645
18,0,949.584924,569.50383,806.746582,718.421204,1099.419556,713.798157,1091.653564,421.388916,800.023804,425.4729,54.4998,0,85538.042,15939.4951,35.3636
19,0,949.583593,569.516326,806.823425,718.376404,1099.441772,713.863525,1091.65332,421.37619,800.079407,425.510101,54.7628,0,85521.181,16014.8358,35.6488
20,0,949.556438,569.557844,806.781982,718.350464,1099.454834,713.944763,1091.661621,421.462708,800.061523,425.55957,55.1061,0,85520.639,16115.1794,34.8058
