t_s,bending_avg_y_mm,torsion_diff_y_mm
0.003787355,1.108408,-0.37413
0.020454022,1.135803,-0.274094
0.037120688,1.124807,-0.163242
0.053787355,1.09182,-0.012655
0.070454022,1.036475,0.124875
0.087120688,0.958561,0.26601
0.103787355,0.849813,0.34293
0.120454022,0.742381,0.413651
0.137120688,0.641908,0.492359
0.153787355,0.548506,0.583834
0.170454022,0.448446,0.648494
0.187120688,0.352286,0.686486
0.203787355,0.249576,0.706826
0.220454022,0.138229,0.675712
0.237120688,0.039515,0.615997
0.253787355,-0.065336,0.509963
0.270454022,-0.155922,0.399878
0.287120688,-0.23894,0.279424
0.303787355,-0.311627,0.167966
0.320454022,-0.373597,0.080066
0.337120688,-0.432081,0.031251
0.353787355,-0.496526,-0.011937
0.370454022,-0.550876,-0.025613
0.387120688,-0.612541,-0.022474
0.403787355,-0.668312,-0.002133
0.420454022,-0.712972,0.022175
0.437120688,-0.733316,0.042089
0.453787355,-0.733375,0.055226
0.470454022,-0.70441,0.058051
0.487120688,-0.657152,0.035253
0.503787355,-0.586104,0.004911
0.520454022,-0.490848,-0.050338
0.537120688,-0.385443,-0.133586
0.553787355,-0.261234,-0.255504
0.570454022,-0.116933,-0.401274
0.587120688,0.051078,-0.541964
0.603787355,0.21834,-0.669012
0.620454022,0.388611,-0.764806
0.637120688,0.547226,-0.807646
0.653787355,0.686111,-0.80479
0.670454022,0.808218,-0.776058
0.687120688,0.883389,-0.73778
0.703787355,0.94954,-0.659507
0.720454022,1.001554,-0.535543
0.737120688,1.019408,-0.390065
0.753787355,1.021047,-0.236338
0.770454022,1.010628,-0.04623
0.787120688,0.988378,0.141894
0.803787355,0.954271,0.333835
0.820454022,0.895968,0.477511
0.837120688,0.819443,0.613979
0.853787355,0.739078,0.694162
0.870454022,0.64281,0.750028
0.887120688,0.542126,0.778866
0.903787355,0.425588,0.794681
0.920454022,0.291464,0.790044
0.937120688,0.134033,0.775164
0.953787355,-0.04238,0.75093
0.970454022,-0.236614,0.675186
0.987120688,-0.443392,0.599089
1.003787355,-0.639729,0.514408
1.020454022,-0.845885,0.471188
1.037120688,-1.020396,0.41716
1.053787355,-1.176228,0.363782
1.070454022,-1.306398,0.308334
1.087120688,-1.405964,0.222595
1.103787355,-1.469166,0.141569
1.120454022,-1.488364,0.073025
1.137120688,-1.464123,-0.024702
1.153787355,-1.401931,-0.121287
1.170454022,-1.283475,-0.223488
1.187120688,-1.136802,-0.299731
1.203787355,-0.968174,-0.370052
1.220454022,-0.791324,-0.43083
1.237120688,-0.620381,-0.51356
1.253787355,-0.469565,-0.573742
1.270454022,-0.30485,-0.660946
1.287120688,-0.127451,-0.772012
1.303787355,0.043583,-0.844974
1.320454022,0.216986,-0.874539
1.337120688,0.400776,-0.872072
1.353787355,0.585898,-0.825711
1.370454022,0.762561,-0.775983
1.387120688,0.936979,-0.732228
1.403787355,1.1089,-0.660563
1.420454022,1.273615,-0.600098
1.437120688,1.42779,-0.506814
1.453787355,1.549858,-0.420579
1.470454022,1.659865,-0.287686
1.487120688,1.751685,-0.142736
1.503787355,1.802029,-0.003944
1.520454022,1.809891,0.128917
1.537120688,1.770344,0.237939
1.553787355,1.684036,0.326549
1.570454022,1.553486,0.399414
1.587120688,1.390028,0.479252
1.603787355,1.210925,0.565378
1.620454022,1.001839,0.626042
1.637120688,0.774664,0.68512
1.653787355,0.532071,0.719938
1.670454022,0.290451,0.763444
1.687120688,0.029328,0.785878
1.703787355,-0.194624,0.773005
1.720454022,-0.435696,0.769561
1.737120688,-0.643722,0.723024
1.753787355,-0.818798,0.656674
1.770454022,-0.961615,0.589636
1.787120688,-1.077814,0.486574
1.803787355,-1.15782,0.367326
1.820454022,-1.200836,0.25107
1.837120688,-1.206311,0.119736
1.853787355,-1.182355,-0.034104
1.870454022,-1.123338,-0.208523
1.887120688,-1.03136,-0.38265
1.903787355,-0.914392,-0.516844
1.920454022,-0.761805,-0.658048
1.937120688,-0.594981,-0.750676
1.953787355,-0.420637,-0.808996
1.970454022,-0.244465,-0.820344
1.987120688,-0.070631,-0.791715
2.003787355,0.098433,-0.738602
2.020454022,0.229894,-0.72534
2.037120688,0.415402,-0.595692
2.053787355,0.557161,-0.521764
2.070454022,0.694156,-0.441184
2.087120688,0.819082,-0.355075
2.103787355,0.940057,-0.262089
2.120454022,1.046281,-0.175688
2.137120688,1.131753,-0.093808
2.153787355,1.194965,-0.039788
2.170454022,1.236764,-0.026146
2.187120688,1.257524,-0.00337
2.203787355,1.26848,0.00408
2.220454022,1.258239,0.033429
2.237120688,1.221031,0.097906
2.253787355,1.160781,0.168455
2.270454022,1.063548,0.25459
2.287120688,0.942824,0.348302
2.303787355,0.785089,0.415323
2.320454022,0.608039,0.45049
2.337120688,0.408476,0.450997
2.353787355,0.211428,0.450804
2.370454022,0.034489,0.477227
2.387120688,-0.120043,0.484266
2.403787355,-0.257445,0.498832
2.420454022,-0.388159,0.493552
2.437120688,-0.490485,0.482552
2.453787355,-0.587308,0.47975
2.470454022,-0.677566,0.455776
2.487120688,-0.759851,0.407478
2.503787355,-0.830529,0.326215
2.520454022,-0.882438,0.244358
2.537120688,-0.913041,0.145405
2.553787355,-0.925305,0.037643
2.570454022,-0.922968,-0.030835
2.587120688,-0.905352,-0.085681
2.603787355,-0.888634,-0.130154
2.620454022,-0.863792,-0.179003
2.637120688,-0.83871,-0.239437
2.653787355,-0.794476,-0.325048
2.670454022,-0.728236,-0.398451
2.687120688,-0.633206,-0.417627
2.703787355,-0.515616,-0.407039
2.720454022,-0.375232,-0.359259
2.737120688,-0.234326,-0.291223
2.753787355,-0.105185,-0.21815
2.770454022,0.00339,-0.177684
2.787120688,0.098397,-0.16604
2.803787355,0.169757,-0.135302
2.820454022,0.214938,-0.094373
2.837120688,0.249897,-0.017199
2.853787355,0.250897,0.103815
2.870454022,0.226334,0.252633
2.887120688,0.160814,0.362114
2.903787355,0.037288,0.449148
2.920454022,-0.115109,0.49562
2.937120688,-0.287342,0.495706
2.953787355,-0.471731,0.46804
2.970454022,-0.637922,0.450218
2.987120688,-0.780708,0.434535
3.003787355,-0.899177,0.428808
3.020454022,-1.008493,0.408941
3.037120688,-1.092378,0.358776
3.053787355,-1.146114,0.234741
3.070454022,-1.16587,0.06719
3.087120688,-1.142937,-0.099952
3.103787355,-1.079258,-0.231167
3.120454022,-0.98509,-0.305025
3.137120688,-0.863254,-0.368771
3.153787355,-0.736046,-0.39518
3.170454022,-0.625542,-0.412243
3.187120688,-0.527447,-0.471456
3.203787355,-0.433387,-0.518824
3.220454022,-0.34735,-0.569674
3.237120688,-0.251437,-0.590775
3.253787355,-0.146339,-0.569672
3.270454022,-0.037403,-0.51591
3.287120688,0.074423,-0.428014
3.303787355,0.184375,-0.333658
3.320454022,0.274647,-0.252205
3.337120688,0.350869,-0.183892
3.353787355,0.415741,-0.128078
3.370454022,0.46983,-0.088001
3.387120688,0.519407,-0.05165
3.403787355,0.562244,-0.007358
3.420454022,0.592515,0.029138
3.437120688,0.611215,0.064532
3.453787355,0.616462,0.073978
3.470454022,0.604994,0.049079
3.487120688,0.58132,0.000292
3.503787355,0.566617,-0.032099
3.520454022,0.55131,-0.039879
3.537120688,0.528854,-0.008935
3.553787355,0.495832,0.047213
3.570454022,0.450013,0.11561
3.587120688,0.379734,0.184191
3.603787355,0.290375,0.233724
3.620454022,0.200087,0.259252
3.637120688,0.099166,0.281222
3.653787355,0.012823,0.326766
3.670454022,-0.064774,0.389482
3.687120688,-0.145469,0.491485
3.703787355,-0.231173,0.566788
3.720454022,-0.342896,0.606405
3.737120688,-0.468214,0.601931
3.753787355,-0.598521,0.544466
3.770454022,-0.719872,0.448703
3.787120688,-0.82284,0.361119
3.803787355,-0.902589,0.294503
3.820454022,-0.977589,0.24307
3.837120688,-1.045662,0.181407
3.853787355,-1.094457,0.113037
3.870454022,-1.14336,0.000483
3.887120688,-1.169875,-0.137649
3.903787355,-1.164208,-0.25689
3.920454022,-1.121316,-0.364303
3.937120688,-1.045685,-0.438929
3.953787355,-0.939484,-0.468099
3.970454022,-0.807106,-0.486519
3.987120688,-0.66212,-0.497509
4.003787355,-0.512088,-0.515347
4.020454022,-0.354468,-0.554096
4.037120688,-0.175197,-0.612278
4.053787355,0.009158,-0.631802
4.070454022,0.198522,-0.63723
4.087120688,0.398949,-0.568826
4.103787355,0.560966,-0.531192
4.120454022,0.707866,-0.497392
4.137120688,0.82443,-0.465222
4.153787355,0.91457,-0.41594
4.170454022,0.965401,-0.392032
4.187120688,1.010196,-0.360235
4.203787355,1.034716,-0.292248
4.220454022,1.025784,-0.181251
4.237120688,1.002363,-0.03935
4.253787355,0.939585,0.103602
4.270454022,0.851293,0.219541
4.287120688,0.732924,0.299314
4.303787355,0.606147,0.338588
4.320454022,0.486385,0.379938
4.337120688,0.36029,0.415496
4.353787355,0.267276,0.429558
4.370454022,0.191528,0.433519
4.387120688,0.128799,0.413748
4.403787355,0.076585,0.341822
4.420454022,0.029092,0.274565
4.437120688,-0.006741,0.192166
4.453787355,-0.047067,0.120073
4.470454022,-0.083,0.043782
4.487120688,-0.119764,-0.011964
4.503787355,-0.160051,-0.039282
4.520454022,-0.201764,-0.019535
4.537120688,-0.251894,0.013469
4.553787355,-0.328839,0.046365
4.570454022,-0.407949,0.055185
4.587120688,-0.491652,0.054319
4.603787355,-0.562692,0.057555
4.620454022,-0.619008,0.045453
4.637120688,-0.644434,0.061221
4.653787355,-0.645223,0.072022
4.670454022,-0.619262,0.077453
4.687120688,-0.571305,0.050681
4.703787355,-0.511407,-0.022598
4.720454022,-0.444502,-0.112904
4.737120688,-0.352629,-0.221383
4.753787355,-0.245547,-0.320578
4.770454022,-0.132884,-0.414123
4.787120688,-0.01047,-0.48392
4.803787355,0.09535,-0.496941
4.820454022,0.207126,-0.484259
4.837120688,0.306586,-0.460598
4.853787355,0.376133,-0.42208
4.870454022,0.442832,-0.352172
4.887120688,0.485087,-0.275185
4.903787355,0.530679,-0.170708
4.920454022,0.54817,-0.061175
4.937120688,0.55207,0.077222
4.953787355,0.542116,0.229529
4.970454022,0.498574,0.364359
4.987120688,0.439869,0.455872
5.003787355,0.35795,0.518902
5.020454022,0.276461,0.539232
5.037120688,0.17778,0.558876
5.053787355,0.067784,0.567119
5.070454022,-0.061467,0.581201
5.087120688,-0.186659,0.569592
5.103787355,-0.332453,0.53028
5.120454022,-0.487682,0.459126
5.137120688,-0.632264,0.351433
5.153787355,-0.768746,0.244055
5.170454022,-0.881312,0.153658
5.187120688,-0.964195,0.081216
5.203787355,-1.019255,0.031756
5.220454022,-1.048239,-0.000715
5.237120688,-1.060073,-0.026223
5.253787355,-1.054027,-0.06455
