t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.003189472,0.010569,1.119391,-0.367703,-0.019717027,-0.020868539,-0.007189739,0.999561929,0.004981823,-0.005632783,1.396001509
0.019856139,0.003582,1.151181,0.474427,0.024116405,0.021381578,-0.006893405,0.999456706,0.004981823,-0.005632783,1.396001509
0.036522805,0.008804,1.087108,1.038958,-0.025507243,-0.013283162,-0.006871544,0.999562764,0.004981823,-0.005632783,1.396001509
0.053189472,0.001862,0.95891,0.675738,0.048805267,0.028731597,-0.007029752,0.998370234,0.004981823,-0.005632783,1.396001509
0.069856139,0.004157,0.755362,1.455084,0.050495511,0.022469016,-0.007888261,0.998440345,0.004981823,-0.005632783,1.396001509
0.086522805,0.007649,0.504394,1.40158,0.032445764,0.016275784,-0.008753403,0.999302631,0.004981823,-0.005632783,1.396001509
0.103189472,0.010802,0.223517,1.665653,-0.031042735,-0.010666889,-0.00965943,0.999414459,0.004981823,-0.005632783,1.396001509
0.119856139,0.004808,-0.037602,1.587708,0.054429435,0.022350438,-0.010483973,0.998212393,0.004981823,-0.005632783,1.396001509
0.136522805,0.00494,-0.313862,1.587384,0.036439029,0.014812305,-0.011304624,0.999162148,0.004981823,-0.005632783,1.396001509
0.153189472,0.003717,-0.559614,1.389353,-0.028935981,-0.010612548,-0.011860566,0.999454556,0.004981823,-0.005632783,1.396001509
0.169856139,-0.004577,-0.725236,0.940685,0.048053087,0.027203582,-0.012269544,0.99839888,0.004981823,-0.005632783,1.396001509
0.186522805,-0.004431,-0.837967,0.821765,0.032775601,0.020239511,-0.012611879,0.999178194,0.004981823,-0.005632783,1.396001509
0.203189472,-0.004364,-0.887421,0.063668,-0.024240426,-0.017704339,-0.012483783,0.999471417,0.004981823,-0.005632783,1.396001509
0.219856139,-0.014821,-0.853305,-0.592588,0.038256718,0.036530832,-0.012284598,0.998524417,0.004981823,-0.005632783,1.396001509
0.236522805,-0.019813,-0.759803,-0.910713,0.035437041,0.037378938,-0.011719866,0.998603863,0.004981823,-0.005632783,1.396001509
0.253189472,-0.0212,-0.624433,-1.346342,0.035677028,0.03996569,-0.010995315,0.998503378,0.004981823,-0.005632783,1.396001509
0.269856139,-0.025247,-0.468647,-1.331122,0.035318126,0.039974425,-0.010045288,0.998525797,0.004981823,-0.005632783,1.396001509
0.286522805,-0.026215,-0.317103,-1.291653,0.024083425,0.02713594,-0.009142159,0.99929978,0.004981823,-0.005632783,1.396001509
0.303189472,-0.017178,-0.193816,-1.089924,-0.021675483,-0.023714394,-0.008366771,0.999448747,0.004981823,-0.005632783,1.396001509
0.319856139,-0.031866,-0.093374,-0.704439,0.038592698,0.037131107,-0.007646022,0.998535639,0.004981823,-0.005632783,1.396001509
0.336522805,-0.030557,-0.046611,-0.480262,0.034753327,0.030331152,-0.007250155,0.998909236,0.004981823,-0.005632783,1.396001509
0.353189472,-0.020081,-0.060786,-0.154386,-0.026676179,-0.021107134,-0.007059051,0.999396338,0.004981823,-0.005632783,1.396001509
0.369856139,-0.027247,-0.104558,0.347791,0.031189536,0.022405239,-0.007440224,0.999234638,0.004981823,-0.005632783,1.396001509
0.386522805,-0.016064,-0.200657,1.135763,-0.024926675,-0.013897881,-0.007936254,0.999561167,0.004981823,-0.005632783,1.396001509
0.403189472,-0.019627,-0.303519,0.773842,0.033523061,0.020488237,-0.008388672,0.999192707,0.004981823,-0.005632783,1.396001509
0.419856139,-0.011476,-0.446911,1.021347,-0.029220063,-0.015236119,-0.009290604,0.999413695,0.004981823,-0.005632783,1.396001509
0.436522805,-0.013082,-0.576569,1.071723,0.037846087,0.021025522,-0.010055386,0.999011757,0.004981823,-0.005632783,1.396001509
0.453189472,-0.009084,-0.723494,1.272987,-0.041765189,-0.02238237,-0.010764815,0.998818711,0.004981823,-0.005632783,1.396001509
0.469856139,-0.002339,-0.867071,0.897194,-0.040858951,-0.023580363,-0.011428658,0.998821254,0.004981823,-0.005632783,1.396001509
0.486522805,-0.005642,-0.960921,0.707461,-0.027324712,-0.016923246,-0.011805771,0.999413622,0.004981823,-0.005632783,1.396001509
0.503189472,-0.015243,-0.997276,0.293626,0.041382894,0.030614461,-0.012137146,0.998600471,0.004981823,-0.005632783,1.396001509
0.519856139,-0.01389,-0.991036,-0.217198,0.030364143,0.023877522,-0.012206539,0.999179105,0.004981823,-0.005632783,1.396001509
0.536522805,-0.01246,-0.934204,-0.863564,-0.023942688,-0.02338331,-0.012067762,0.999366968,0.004981823,-0.005632783,1.396001509
0.553189472,-0.022349,-0.788053,-1.3781,0.033870244,0.039645261,-0.011720004,0.998570829,0.004981823,-0.005632783,1.396001509
0.569856139,-0.022494,-0.606736,-1.868455,0.025581112,0.030967885,-0.010899254,0.999133526,0.004981823,-0.005632783,1.396001509
0.586522805,-0.016393,-0.40403,-2.241446,-0.024987158,-0.035120836,-0.010421892,0.999016293,0.004981823,-0.005632783,1.396001509
0.603189472,-0.023685,-0.127959,-2.312098,0.032546632,0.043941406,-0.009285917,0.998460636,0.004981823,-0.005632783,1.396001509
0.619856139,-0.025494,0.114005,-1.970347,0.023753178,0.03230945,-0.008560669,0.999158947,0.004981823,-0.005632783,1.396001509
0.636522805,-0.010905,0.334038,-1.537568,-0.027601973,-0.037914051,-0.007986028,0.998867799,0.004981823,-0.005632783,1.396001509
0.653189472,-0.011982,0.530711,-1.60694,-0.021940016,-0.027670094,-0.007256973,0.999349958,0.004981823,-0.005632783,1.396001509
0.669856139,-0.020492,0.6795,-1.048998,0.025427173,0.029482466,-0.007089413,0.999216685,0.004981823,-0.005632783,1.396001509
0.686522805,-0.00442,0.771859,-0.442159,-0.023123921,-0.024899086,-0.007076033,0.999397443,0.004981823,-0.005632783,1.396001509
0.703189472,-0.006191,0.826172,0.306462,0.036151752,0.031587022,-0.007445879,0.998819238,0.004981823,-0.005632783,1.396001509
0.719856139,0.00482,0.833667,0.580438,0.028725983,0.024356177,-0.007974454,0.999258727,0.004981823,-0.005632783,1.396001509
0.736522805,0.019335,0.803763,0.881308,-0.03616705,-0.025377031,-0.008607321,0.998986419,0.004981823,-0.005632783,1.396001509
0.753189472,0.021295,0.752661,0.628319,-0.039274712,-0.025710027,-0.009271183,0.998854612,0.004981823,-0.005632783,1.396001509
0.769856139,0.027521,0.683532,0.683504,-0.039794901,-0.025534076,-0.010067917,0.998830823,0.004981823,-0.005632783,1.396001509
0.786522805,0.02944,0.60887,1.016197,-0.038624339,-0.023420872,-0.01082942,0.998920591,0.004981823,-0.005632783,1.396001509
0.803189472,0.033178,0.550005,0.686176,-0.032764256,-0.020078817,-0.011401197,0.999196356,0.004981823,-0.005632783,1.396001509
0.819856139,0.029605,0.513283,0.309424,0.038079002,0.026958185,-0.01176837,0.998841705,0.004981823,-0.005632783,1.396001509
0.836522805,0.035684,0.475435,0.441057,-0.036826275,-0.025739286,-0.012072657,0.998917197,0.004981823,-0.005632783,1.396001509
0.853189472,0.03914,0.476065,0.286416,-0.034457247,-0.027134234,-0.012074821,0.998964779,0.004981823,-0.005632783,1.396001509
0.869856139,0.032724,0.50447,-0.324673,-0.027243789,-0.023775959,-0.011743376,0.999277025,0.004981823,-0.005632783,1.396001509
0.886522805,0.020314,0.567457,-0.445177,0.038179638,0.035598371,-0.011416483,0.998571347,0.004981823,-0.005632783,1.396001509
0.903189472,0.018566,0.631606,-0.503595,0.038323638,0.035293657,-0.010549733,0.99858618,0.004981823,-0.005632783,1.396001509
0.919856139,0.010002,0.688303,-0.509936,0.039256118,0.035094048,-0.009735481,0.998565263,0.004981823,-0.005632783,1.396001509
0.936522805,0.007075,0.725269,-0.466538,0.032058065,0.030220201,-0.008873588,0.998989629,0.004981823,-0.005632783,1.396001509
0.953189472,0.008114,0.722678,0.228302,-0.027255501,-0.022261605,-0.008098406,0.999347775,0.004981823,-0.005632783,1.396001509
0.969856139,-0.007936,0.713762,-0.16176,0.044665286,0.033959912,-0.007464765,0.998396722,0.004981823,-0.005632783,1.396001509
0.986522805,-0.005425,0.627036,0.729667,0.035573656,0.023308021,-0.007295759,0.999068578,0.004981823,-0.005632783,1.396001509
1.003189472,-0.007046,0.492542,0.891783,-0.04417735,-0.024831918,-0.006980515,0.998690648,0.004981823,-0.005632783,1.396001509
1.019856139,-0.007731,0.32339,1.505962,-0.045084676,-0.020036967,-0.007201331,0.998756243,0.004981823,-0.005632783,1.396001509
1.036522805,-0.010956,0.118762,1.312016,-0.047733238,-0.021923187,-0.007275636,0.998592999,0.004981823,-0.005632783,1.396001509
1.053189472,-0.012945,-0.104426,0.94543,-0.049044445,-0.023621699,-0.007745169,0.998487191,0.004981823,-0.005632783,1.396001509
1.069856139,-0.010382,-0.352775,1.275486,-0.039116996,-0.016885027,-0.008543903,0.999055433,0.004981823,-0.005632783,1.396001509
1.086522805,-0.016489,-0.567595,1.100906,0.046714409,0.023856472,-0.009245217,0.998580572,0.004981823,-0.005632783,1.396001509
1.103189472,-0.010189,-0.789224,1.152311,-0.035775405,-0.016745056,-0.010183215,0.999167666,0.004981823,-0.005632783,1.396001509
1.119856139,-0.015872,-0.939582,0.967045,0.037812347,0.021769427,-0.010852108,0.998988764,0.004981823,-0.005632783,1.396001509
1.136522805,-0.011081,-1.039303,0.635326,-0.0326635,-0.02116434,-0.011562635,0.999175396,0.004981823,-0.005632783,1.396001509
1.153189472,-0.016538,-1.044052,0.179113,0.038135689,0.033157712,-0.011875593,0.998651694,0.004981823,-0.005632783,1.396001509
1.169856139,-0.02029,-0.979783,-0.891262,0.030452576,0.029025394,-0.012126232,0.999041101,0.004981823,-0.005632783,1.396001509
1.186522805,-0.011229,-0.840489,-1.974579,-0.022512617,-0.031510154,-0.012218156,0.999175164,0.004981823,-0.005632783,1.396001509
1.203189472,-0.019495,-0.623832,-2.203752,0.028395795,0.038826379,-0.011689385,0.998774023,0.004981823,-0.005632783,1.396001509
1.219856139,-0.011442,-0.423191,-2.954675,-0.017734135,-0.029194031,-0.011291192,0.999352649,0.004981823,-0.005632783,1.396001509
1.236522805,-0.01646,-0.076571,-3.236406,0.0303041,0.04793868,-0.010238893,0.998337974,0.004981823,-0.005632783,1.396001509
1.253189472,-0.018072,0.254826,-3.029835,0.023726731,0.037841987,-0.009405276,0.99895774,0.004981823,-0.005632783,1.396001509
1.269856139,-0.003532,0.524898,-2.918258,-0.027165537,-0.043113928,-0.008745106,0.998662478,0.004981823,-0.005632783,1.396001509
1.286522805,-0.000852,0.778716,-2.520154,-0.024057866,-0.036328339,-0.008089524,0.999017533,0.004981823,-0.005632783,1.396001509
1.303189472,-0.009838,1.004439,-1.928536,0.033243601,0.041860062,-0.007639814,0.998541051,0.004981823,-0.005632783,1.396001509
1.319856139,0.00413,1.163962,-0.369321,0.031910394,0.035495602,-0.007481097,0.998832229,0.004981823,-0.005632783,1.396001509
1.336522805,0.0065,1.262544,-0.30785,0.037283942,0.034731438,-0.007241582,0.998674719,0.004981823,-0.005632783,1.396001509
1.353189472,0.009236,1.289008,-0.069575,0.040856839,0.034791442,-0.007306394,0.998532368,0.004981823,-0.005632783,1.396001509
1.369856139,0.01557,1.262378,0.424559,0.04462684,0.030665788,-0.007796994,0.998502509,0.004981823,-0.005632783,1.396001509
1.386522805,0.020411,1.159729,1.370952,0.042414946,0.025135333,-0.008426872,0.998748304,0.004981823,-0.005632783,1.396001509
1.403189472,0.023384,1.031798,1.077847,0.040256264,0.02340675,-0.008887282,0.998875655,0.004981823,-0.005632783,1.396001509
1.419856139,0.02791,0.847153,1.079647,-0.046077413,-0.020912145,-0.009456395,0.998674187,0.004981823,-0.005632783,1.396001509
1.436522805,0.027988,0.67696,0.913434,-0.041447702,-0.020983602,-0.009931772,0.998870931,0.004981823,-0.005632783,1.396001509
1.453189472,0.024428,0.524102,1.036123,0.047585107,0.025863893,-0.010614866,0.998475859,0.004981823,-0.005632783,1.396001509
1.469856139,0.016172,0.379492,0.517418,0.046470943,0.028875705,-0.011137402,0.998440085,0.004981823,-0.005632783,1.396001509
1.486522805,0.017856,0.291693,0.334146,0.043812118,0.030342134,-0.011499388,0.998512703,0.004981823,-0.005632783,1.396001509
1.503189472,0.014454,0.262039,0.037832,0.040784105,0.032151408,-0.011609741,0.998583075,0.004981823,-0.005632783,1.396001509
1.519856139,0.010364,0.27914,-0.28096,0.039565024,0.034470574,-0.011582648,0.998555071,0.004981823,-0.005632783,1.396001509
1.536522805,0.01238,0.346013,-0.628071,0.033771015,0.030576173,-0.011010457,0.998901089,0.004981823,-0.005632783,1.396001509
1.553189472,0.014174,0.435416,-0.98646,-0.026109978,-0.027640288,-0.01033171,0.999223468,0.004981823,-0.005632783,1.396001509
1.569856139,0.003443,0.548034,-1.008038,0.036955734,0.039225818,-0.009649932,0.998500119,0.004981823,-0.005632783,1.396001509
1.586522805,0.001057,0.637532,-0.696983,0.036092678,0.036869371,-0.008912848,0.998628324,0.004981823,-0.005632783,1.396001509
1.603189472,-0.003313,0.704497,-0.677958,0.039229328,0.037019596,-0.008425296,0.9985087,0.004981823,-0.005632783,1.396001509
1.619856139,0.001566,0.742737,-0.17673,0.035919073,0.031462576,-0.008069499,0.998826717,0.004981823,-0.005632783,1.396001509
1.636522805,0.003344,0.735746,0.134708,-0.033278028,-0.02611637,-0.007745497,0.99907483,0.004981823,-0.005632783,1.396001509
1.653189472,-0.005171,0.71544,0.164566,0.041757213,0.030315021,-0.007741817,0.998637772,0.004981823,-0.005632783,1.396001509
1.669856139,0.001856,0.623354,1.134343,0.044988596,0.025654437,-0.00812628,0.998624974,0.004981823,-0.005632783,1.396001509
1.686522805,-0.005542,0.497164,0.625003,0.049822829,0.030102992,-0.008250883,0.998270213,0.004981823,-0.005632783,1.396001509
