t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.013147211,-0.00036446,0.00185873,1.73694252,-0.06217047,-0.07163471,-0.00719315,0.995465499
0.029813878,-2.5604e-05,0.00176238,1.73962956,0.053093713,0.064028767,-0.002880168,0.996530521
0.046480544,0.000253809,0.001663359,1.740312939,-0.052608161,-0.068104808,0.002167714,0.996287819
0.063147211,0.000410456,0.001585801,1.740502034,0.045306379,0.064196859,0.004365523,0.99689871
0.079813878,0.000565789,0.001475871,1.74116216,-0.052090652,-0.051047178,0.006765389,0.997313882
0.096480544,0.00051454,0.001424466,1.741743192,0.047337369,0.050905486,0.006844706,0.997557495
0.113147211,0.00039432,0.001375288,1.744804942,-0.036756714,-0.049944409,0.00516562,0.99806203
0.129813878,0.000146386,0.001358843,1.739632188,-0.049989416,-0.04563079,0.002859256,0.997702718
0.146480544,-0.000154253,0.001388748,1.744246375,-0.026002873,-0.057023999,-0.00200274,0.998032115
0.163147211,-0.000512186,0.00141102,1.743201424,-0.035308451,-0.055612548,-0.007106188,0.997802616
0.179813878,-0.000870452,0.001493415,1.743274788,-0.031393925,-0.053501038,-0.012328328,0.997998032
0.196480544,-0.001208036,0.001603557,1.742695723,-0.03307915,-0.054766605,-0.017508507,0.997797495
0.213147211,-0.00147652,0.001717945,1.74191175,-0.037169912,-0.055741367,-0.021235817,0.997527111
0.229813878,-0.001648204,0.001837374,1.740323447,-0.042336552,-0.060320675,-0.024470275,0.996980561
0.246480544,-0.001716712,0.001953126,1.738922204,-0.04625321,-0.064629559,-0.025581913,0.996508518
0.263147211,-0.001669118,0.002049449,1.738439003,-0.048878413,-0.066030951,-0.025575902,0.996291467
0.279813878,-0.001504203,0.002111381,1.738203176,-0.052166712,-0.066489147,-0.023574333,0.996143603
0.296480544,-0.001254144,0.002138788,1.737247871,-0.055349295,-0.06859557,-0.019969375,0.995907791
0.313147211,-0.000951903,0.002155429,1.737755128,0.053824268,0.065597237,-0.015601849,0.996271315
0.329813878,-0.000571516,0.002123999,1.736804754,-0.058196121,-0.069714587,-0.010349939,0.995814223
0.346480544,-0.000213823,0.002064413,1.738169721,-0.059161205,-0.06673232,-0.005486673,0.996000324
0.363147211,9.2775e-05,0.002036839,1.740301125,-0.054451754,-0.055332186,-0.001031547,0.99698159
0.379813878,0.000346346,0.001980789,1.737003519,-0.060679709,-0.050652612,0.003612343,0.996864703
0.396480544,0.000493849,0.001944568,1.739373095,0.055850197,0.052008373,0.005708639,0.997067348
0.413147211,0.000566081,0.001887766,1.741673382,-0.048701787,-0.051855419,0.00662316,0.997444377
0.429813878,0.000459869,0.001871213,1.744137878,0.039609014,0.053126046,0.005825753,0.997784952
0.446480544,0.000284779,0.001851639,1.741661614,0.046405145,0.044278308,0.003423431,0.997935005
0.463147211,2.2737e-05,0.001856893,1.745560512,-0.029022216,-0.064202702,0.001049631,0.997514222
0.479813878,-0.000297324,0.001842803,1.747299383,-0.02510991,-0.043405708,-0.004841353,0.998730193
0.496480544,-0.000654915,0.001833276,1.74384679,-0.037972056,-0.052931005,-0.00887183,0.997836521
0.513147211,-0.001015457,0.001856309,1.744493008,-0.03494577,-0.052029829,-0.014608998,0.997926985
0.529813878,-0.00131143,0.001882676,1.744382331,-0.034289328,-0.050899181,-0.01909994,0.997932216
0.546480544,-0.001550892,0.00190258,1.742211928,-0.04202329,-0.055672837,-0.022719885,0.997305563
0.563147211,-0.001690476,0.001919114,1.741035888,-0.04620923,-0.059213862,-0.025202966,0.996856678
0.579813878,-0.001705815,0.001919591,1.740098592,-0.049183668,-0.061836615,-0.025785086,0.996540179
0.596480544,-0.001611973,0.001896875,1.739597588,-0.053727561,-0.062160599,-0.024532987,0.996316989
0.613147211,-0.001409663,0.001840079,1.739819305,-0.054449269,-0.063342592,-0.022096085,0.996260386
0.629813878,-0.001127898,0.001761117,1.738426082,-0.060012381,-0.066369806,-0.018319594,0.995820243
0.646480544,-0.000792902,0.00167384,1.73939898,-0.059596785,-0.063604823,-0.013750251,0.996099182
0.663147211,-0.000426775,0.001542057,1.739789333,-0.057589698,-0.061200567,-0.007928492,0.99643116
0.679813878,-9.4958e-05,0.001431727,1.738729595,0.054385246,0.067915153,-0.003344711,0.996202083
0.696480544,0.000200983,0.00129261,1.74396974,0.050204256,0.0644476,0.00175618,0.996655886
0.713147211,0.000425951,0.001142241,1.742511768,-0.050615289,-0.065506225,0.004839393,0.996555873
0.729813878,0.000511057,0.001042046,1.738748325,0.057740162,0.051755384,0.006202608,0.9969699
0.746480544,0.000507528,0.000961701,1.739993825,0.05315973,0.053772564,0.006607303,0.997115288
0.763147211,0.000397287,0.000898716,1.744112743,-0.038054261,-0.055080108,0.005300494,0.997742432
0.779813878,0.000180321,0.000895684,1.743692698,-0.035224428,-0.049200421,0.003677684,0.998160825
0.796480544,-0.000131871,0.000950129,1.742642879,-0.037754648,-0.056678157,-0.001281239,0.997677569
0.813147211,-0.0004864,0.001015564,1.742868953,-0.034020924,-0.059080428,-0.006573582,0.997651677
0.829813878,-0.000841646,0.001123834,1.743163666,-0.030194759,-0.054655101,-0.011646233,0.997980692
0.846480544,-0.00120861,0.001280382,1.741918742,-0.033188073,-0.057050987,-0.017430549,0.997667235
0.863147211,-0.001488022,0.001436209,1.741689797,-0.033754955,-0.056885364,-0.021450881,0.997579329
0.879813878,-0.001673048,0.001587926,1.74019973,-0.039001743,-0.060743727,-0.024753918,0.997083902
0.896480544,-0.001746422,0.001733151,1.739938462,-0.041993611,-0.061899459,-0.02612763,0.996856229
0.913147211,-0.001705294,0.001842563,1.738277498,-0.048709893,-0.066377649,-0.025922021,0.996267737
0.929813878,-0.001552768,0.001932137,1.737691051,-0.05128853,-0.067006715,-0.023933013,0.996145972
0.946480544,-0.001291397,0.001981538,1.736619362,-0.056788091,-0.068241265,-0.020566546,0.995838973
0.963147211,-0.00096975,0.001998035,1.736872222,-0.058110083,-0.06798947,-0.016089487,0.995862329
0.979813878,-0.000631482,0.001991281,1.737374213,0.05304447,0.062990493,-0.011158097,0.996541007
0.996480544,-0.000231286,0.001917055,1.739010896,-0.056561519,-0.065448159,-0.005856252,0.996234429
1.013147211,8.4317e-05,0.001884162,1.741642707,-0.050497893,-0.051968967,-0.001470615,0.997370055
1.029813878,0.00035604,0.001806987,1.739012759,-0.058510754,-0.048836112,0.003542941,0.997085239
1.046480544,0.000515431,0.001734623,1.733487193,0.068169378,0.060178299,0.005583676,0.995841519
1.063147211,0.000586364,0.001644654,1.739866567,-0.055224499,-0.060656211,0.007401269,0.996602378
