frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming
0,0,949.220193,523.307965,806.210938,668.966675,1095.329712,665.381653,1091.809937,378.076538,803.341858,381.459076,35.3042,0
1,0,949.090387,520.358551,806.571716,666.178406,1095.598633,662.068054,1091.567627,374.581085,803.176941,379.224365,35.1623,0
2,0,949.310994,517.151868,807.114258,663.32312,1096.186157,658.478149,1091.322266,371.171265,802.848999,376.223145,35.0488,0
3,0,949.38946,514.038582,807.449402,660.646179,1096.484741,655.042358,1091.106934,367.660889,802.694946,373.418976,35.0617,0
4,0,949.440076,511.444533,807.895935,658.350586,1096.870728,652.219971,1090.919556,364.605591,802.487427,371.125519,35.0246,0
5,0,949.421841,509.493968,808.071533,656.656128,1097.069458,650.186707,1090.733887,362.371643,802.299622,369.30188,34.4238,0
6,0,949.454467,508.085785,808.32196,655.366089,1097.289185,648.737549,1090.609375,360.782104,802.143616,367.932434,34.6189,0
7,0,949.398319,507.225176,808.202881,654.605286,1097.261841,647.974976,1090.553589,359.886993,802.138,367.049561,34.2867,0
8,0,949.331183,506.861387,808.125061,654.12677,1097.187378,647.839294,1090.504028,359.630707,802.074219,366.454834,33.5605,0
9,0,949.285514,506.904189,807.829468,654.075806,1096.822144,648.033691,1090.753174,359.72049,802.303711,366.30542,33.1554,0
10,0,949.108532,507.306831,807.454163,654.158386,1096.434814,648.923645,1090.800537,360.41626,802.375793,366.260559,34.0763,0
11,0,948.990767,507.771153,806.920898,654.235107,1095.93457,649.764526,1091.154541,361.210388,802.704956,366.413605,34.8486,0
12,0,948.91742,507.938796,806.557495,654.175842,1095.58374,650.044556,1091.260498,361.719055,802.817322,366.381653,32.8362,0
13,0,948.804582,507.394286,806.138794,653.242493,1095.211792,649.681396,1091.345825,361.673401,802.974121,365.667694,34.4622,0
14,0,948.624517,505.838063,805.785217,651.329712,1094.758545,648.130798,1091.520752,360.288422,802.976929,364.018982,34.5216,0
15,0,948.618999,502.927031,805.54071,648.225647,1094.582153,645.121338,1091.515503,357.813019,803.113464,361.178528,33.69,0
16,0,948.497022,498.958511,805.467407,643.811279,1094.406982,641.098511,1091.528687,354.103668,802.98053,357.201813,34.0089,0
17,0,948.40976,493.748612,805.419434,638.554749,1094.357422,635.765137,1091.498779,348.842529,802.935669,352.192902,33.8047,0
18,0,948.389793,487.409936,805.501221,632.263184,1094.448608,629.142273,1091.353882,342.480133,802.80603,346.13858,34.3516,0
19,0,948.621726,480.625916,805.778625,625.792175,1094.807495,622.033508,1091.203003,335.725739,802.748352,339.520508,33.2446,0
20,0,948.590657,473.542147,806.0979,619.077148,1095.115723,614.453613,1090.803833,328.292694,802.300476,332.856567,33.6534,0
21,0,948.714662,466.473849,806.597961,612.383179,1095.649292,607.205688,1090.59375,320.808472,802.174072,326.119415,33.0547,0
22,0,948.698197,460.048074,806.938171,606.312561,1095.884155,600.441589,1090.339722,313.905853,801.759277,319.890198,34.1261,0
23,0,948.755185,454.582385,807.290894,601.271912,1096.311523,594.950378,1090.083984,308.033356,801.685181,314.677032,33.149,0
24,0,948.620491,450.511794,807.34729,597.600708,1096.401367,590.880981,1089.735352,303.587738,801.424011,310.697693,33.483,0
25,0,948.783435,448.151754,807.56311,595.6026,1096.608643,588.581482,1089.735718,300.980774,801.410339,308.15152,34.4274,0
26,0,948.649737,447.550324,807.552002,595.136658,1096.515381,588.228882,1089.677246,300.037445,801.25116,307.316132,34.0849,0
27,0,948.746352,448.748115,807.52594,596.42334,1096.4552,589.777466,1089.867554,301.176636,801.504211,308.164368,33.4092,0
28,0,948.547601,451.666933,807.206055,599.330994,1096.188843,593.138611,1089.903931,303.987427,801.474915,310.740051,34.1213,0
29,0,948.638255,456.094184,806.905762,603.639465,1095.924316,598.102661,1090.254028,308.67041,801.858765,314.574127,33.7346,0
30,0,948.39662,461.788082,806.415527,609.053467,1095.383301,604.258728,1090.37085,314.529816,801.976013,319.866119,33.5391,0
31,0,948.421715,468.310823,806.012268,615.407593,1095.030273,611.129944,1090.762207,321.285278,802.373535,326.037598,33.783,0
32,0,948.223092,475.235691,805.444641,622.005615,1094.381592,618.440063,1090.904175,328.565857,802.503479,332.461334,33.6796,0
33,0,948.394015,482.382132,805.288879,628.850159,1094.218628,625.874878,1091.363525,336.052917,802.877075,339.192139,33.6659,0
34,0,948.141564,489.556896,804.837646,635.694031,1093.884399,633.430847,1091.387207,343.479187,802.946594,346.223785,33.8792,0
35,0,948.204922,496.587166,804.895081,642.45874,1093.885742,640.649658,1091.528809,350.701294,803.155212,353.148773,33.6017,0
36,0,948.266214,503.247245,804.90918,649.313416,1093.915161,647.168579,1091.616821,357.187622,803.15979,359.862,33.8166,0
37,0,948.673025,509.208914,805.234314,655.21405,1094.221436,652.893616,1091.814575,363.506256,803.470154,365.865326,34.7509,0
38,0,948.693742,514.653565,805.435364,660.968994,1094.451538,657.922058,1091.697754,368.597931,803.353943,371.795929,34.3122,0
39,0,949.085761,519.545564,806.189819,665.797058,1095.218628,662.759399,1091.78479,373.495605,803.393921,376.763947,34.9933,0
40,0,949.233411,523.934194,806.50647,670.500977,1095.490356,666.649597,1091.7677,377.565247,803.341309,381.574799,35.0718,0
41,0,949.613258,527.756845,807.330261,674.666687,1096.29541,670.062073,1091.685181,381.064941,803.274902,385.785156,34.2185,0
42,0,949.645828,531.136879,807.565002,678.07489,1096.536499,673.230591,1091.631592,384.29718,803.179871,389.45401,34.4951,0
43,0,950.052225,533.970509,808.283264,681.147339,1097.326904,675.697754,1091.668335,386.952362,803.215576,392.664795,34.4895,0
44,0,950.070862,536.475977,808.356873,683.778564,1097.352051,677.983459,1091.626709,389.337769,803.225281,395.387024,34.8546,0
45,0,950.257351,538.712747,808.818665,686.045654,1097.749268,680.122192,1091.703613,391.371948,803.281799,397.79837,34.7276,0
46,0,950.282486,540.973326,808.832336,688.375916,1097.732056,682.31958,1091.711548,393.592712,803.247192,400.0242,34.7223,0
47,0,950.359822,543.050607,808.800049,690.409729,1097.741455,684.408875,1091.879272,395.733459,803.441345,402.136566,35.8618,0
48,0,950.270452,544.785263,808.56604,691.919189,1097.530518,686.276428,1091.890747,397.738678,803.424561,403.692047,35.8458,0
49,0,950.273424,545.8668,808.34906,692.591248,1097.399292,687.622864,1092.132568,399.209778,803.702332,404.645264,36.311,0
50,0,950.104624,546.334839,807.789734,692.665588,1096.839966,688.342896,1092.306641,400.120148,803.768433,404.713074,35.9929,0
51,0,950.067905,546.038466,807.544006,691.979797,1096.565063,688.214111,1092.47229,400.219513,804.007019,404.286224,35.7088,0
52,0,949.701363,545.042036,806.762207,690.739746,1095.670044,687.160522,1092.623779,399.361389,803.92865,403.114349,36.0717,0
53,0,949.399444,543.12239,806.46582,688.240234,1095.528931,685.695496,1092.606567,397.726868,804.098816,401.357971,36.6477,0
54,0,949.104835,540.305727,805.86322,685.041016,1094.847778,682.862793,1092.535645,395.379272,803.936584,398.310791,36.0201,0
55,0,948.97923,536.370609,805.720093,680.866272,1094.7146,678.939514,1092.464844,391.646515,803.932678,394.475555,35.9029,0
56,0,948.786492,531.305188,805.408569,675.83374,1094.450439,673.774292,1092.279785,386.660339,803.703125,389.403931,36.0688,0
57,0,948.785713,525.028631,805.500244,669.428589,1094.499146,667.299194,1092.18457,380.514404,803.72052,383.390991,35.0584,0
58,0,948.741266,518.111023,805.467773,662.626282,1094.497192,660.002441,1091.883057,373.728607,803.282776,376.509155,34.9789,0
59,0,948.781456,510.646993,805.6875,655.406433,1094.741455,652.284363,1091.680908,366.08432,803.268555,369.443481,34.1982,0
60,0,948.675745,503.126991,805.939148,648.211548,1094.917969,644.44458,1091.380981,358.07431,802.776001,362.14035,35.5408,0
61,0,948.753768,495.330377,806.2547,640.75177,1095.328491,636.364075,1091.027466,350.138977,802.634888,354.735291,34.1485,0
62,0,948.672936,487.665257,806.506165,633.333618,1095.531372,628.487793,1090.73291,342.106323,802.298462,347.306793,33.8512,0
63,0,948.866177,480.550963,807.03125,626.689697,1096.048096,621.14563,1090.53186,334.586609,802.158936,340.409729,33.899,0
64,0,948.853128,474.403235,807.18158,620.828491,1096.15564,614.853149,1090.360107,328.148071,801.905396,334.291595,34.0778,0
65,0,948.857254,469.608133,807.403137,616.365967,1096.40918,610.089966,1090.196289,322.969696,801.850281,329.645142,32.6963,0
66,0,948.781527,466.34548,807.450684,613.273315,1096.407227,606.910645,1090.105835,319.424438,801.67218,326.271973,32.8439,0
67,0,948.873902,464.362883,807.512573,611.531311,1096.492432,605.047363,1090.083618,317.352295,801.648987,324.053528,33.2837,0
68,0,948.705063,463.4755,807.285767,610.603149,1096.268555,604.389038,1090.053589,316.421478,801.649048,323.04657,33.4836,0
69,0,948.629175,463.497139,807.110352,610.52832,1096.056641,604.674011,1090.184937,316.427582,801.724915,322.821289,33.161,0
70,0,948.554238,464.23307,806.762756,611.129211,1095.73291,605.841858,1090.316895,317.366791,801.929504,323.157257,33.0298,0
71,0,948.531233,465.624858,806.389465,612.478271,1095.478149,607.541138,1090.455322,318.996338,802.115479,324.221558,33.5002,0
72,0,948.371849,467.819208,805.995667,614.342834,1094.967407,610.158386,1090.682129,321.363403,802.269409,325.958832,32.8071,0
73,0,948.334521,470.489303,805.871033,616.733643,1094.773926,613.172852,1090.856812,324.184601,802.37677,328.275055,34.1406,0
74,0,948.315297,473.310537,805.527771,619.534424,1094.555542,616.062927,1090.993408,327.1987,802.565186,331.036591,33.3227,0
75,0,948.308326,476.317943,805.483032,622.469055,1094.379761,619.077271,1091.111572,330.189392,802.636902,333.949554,33.804,0
76,0,948.388627,479.002018,805.361755,625.059875,1094.366211,621.966003,1091.22583,333.137848,802.807495,336.4263,33.8769,0
77,0,948.29639,481.612595,805.368408,627.448608,1094.356567,624.689941,1091.248779,335.751678,802.84259,339.129242,33.1534,0
78,0,948.419152,484.116286,805.456726,630.189331,1094.40332,626.913025,1091.34436,338.081268,802.857666,341.733002,33.2023,0
79,0,948.437471,486.178773,805.641418,632.100098,1094.696533,629.028748,1091.228149,340.262939,802.788452,343.924622,33.5271,0
80,0,948.650627,488.056268,805.993408,634.359497,1094.951538,630.408752,1091.212402,341.850922,802.71167,346.055969,33.7535,0
81,0,948.76989,489.58515,806.293152,636.071228,1095.37561,631.690735,1091.063232,343.287628,802.59552,347.897675,34.633,0
82,0,948.911342,491.012756,806.73053,637.86908,1095.6875,632.704529,1090.921997,344.332184,802.452576,349.62738,33.854,0
83,0,948.928757,492.244278,807.134644,639.272156,1096.046143,633.641357,1090.665039,345.276367,802.19751,351.218323,34.0431,0
84,0,948.988813,493.409508,807.304382,640.713928,1096.303589,634.594543,1090.548096,346.235199,802.162964,352.693054,34.5235,0
85,0,949.005463,494.63304,807.425476,642.059753,1096.4646,635.765503,1090.427246,347.371063,801.94812,353.885132,34.5709,0
86,0,949.022841,495.891942,807.651733,643.361633,1096.679932,637.037109,1090.343872,348.474487,801.949341,355.304626,34.7973,0
87,0,949.035203,497.517699,807.715393,645.114136,1096.706909,638.62793,1090.30481,349.973694,801.903931,356.923889,34.9411,0
88,0,949.146867,499.497346,807.735474,647.058655,1096.755249,640.787598,1090.425049,352.075043,802.046143,358.693024,33.5188,0
89,0,949.133677,501.886234,807.707581,649.286255,1096.638794,643.253662,1090.50769,354.540497,802.088806,360.9599,35.0979,0
90,0,949.178443,504.310782,807.505432,651.497742,1096.497681,646.007751,1090.827026,357.1492,802.410156,363.143738,33.1478,0
91,0,949.070675,506.545512,807.061035,653.429443,1096.098511,648.531616,1090.99353,359.751343,802.671082,365.166107,33.9694,0
92,0,949.039633,508.441966,806.814392,654.826843,1095.715088,650.616516,1091.338013,361.981812,802.857788,366.74588,33.9101,0
93,0,948.879955,509.594325,806.345703,655.620178,1095.434814,652.01886,1091.435913,363.546234,802.996399,367.822174,33.5565,0
94,0,948.86602,510.001951,806.170898,655.756592,1095.129517,652.464355,1091.62854,364.178467,803.174805,368.096954,34.5952,0
95,0,948.661096,509.568988,805.887268,654.971191,1094.908691,652.13269,1091.62854,363.969604,803.124207,367.69809,34.3123,0
96,0,948.80037,508.061737,805.744446,653.448914,1094.78894,650.556946,1091.698975,362.834442,803.255554,365.999664,34.4196,0
97,0,948.556428,505.475932,805.573975,650.591431,1094.551392,647.848206,1091.622314,360.275757,803.05542,363.585358,34.1914,0
