t_s,bending_avg_y_mm,torsion_diff_y_mm
0.003189472,1.126652,-0.711603
0.019856139,1.151831,-0.714848
0.036522805,1.08829,-0.647088
0.053189472,0.954773,-0.530562
0.069856139,0.74943,-0.344582
0.086522805,0.496974,-0.117742
0.103189472,0.251707,0.088957
0.119856139,-0.053238,0.358727
0.136522805,-0.313862,0.588864
0.153189472,-0.561686,0.802916
0.169856139,-0.716168,0.908561
0.186522805,-0.840487,0.986517
0.203189472,-0.882921,0.961307
0.219856139,-0.85075,0.8572
0.236522805,-0.758982,0.70234
0.253189472,-0.624394,0.508854
0.269856139,-0.467576,0.293839
0.286522805,-0.322308,0.09192
0.303189472,-0.188066,-0.102759
0.319856139,-0.088838,-0.26136
0.336522805,-0.045728,-0.379672
0.353189472,-0.055626,-0.458941
0.369856139,-0.10471,-0.493904
0.386522805,-0.197499,-0.46514
0.403189472,-0.307179,-0.386465
0.419856139,-0.436409,-0.261073
0.436522805,-0.56709,-0.111766
0.453189472,-0.728455,0.102326
0.469856139,-0.861152,0.304641
0.486522805,-0.957825,0.448028
0.503189472,-0.99165,0.534574
0.519856139,-0.994176,0.570402
0.536522805,-0.933766,0.538078
0.553189472,-0.78931,0.417026
0.569856139,-0.604353,0.248199
0.586522805,-0.38795,0.041049
0.603189472,-0.128284,-0.208944
0.619856139,0.110726,-0.433768
0.636522805,0.343716,-0.648944
0.653189472,0.529284,-0.812454
0.669856139,0.681051,-0.936855
0.686522805,0.776404,-0.98721
0.703189472,0.826102,-0.979532
0.719856139,0.832918,-0.90274
0.736522805,0.81003,-0.769516
0.753189472,0.763188,-0.615546
0.769856139,0.687292,-0.400605
0.786522805,0.618313,-0.183567
0.803189472,0.551816,-0.006363
0.819856139,0.509466,0.208642
0.836522805,0.479134,0.371321
0.853189472,0.4806,0.47631
0.869856139,0.507234,0.527656
0.886522805,0.565548,0.507127
0.903189472,0.62956,0.454573
0.919856139,0.686082,0.375525
0.936522805,0.719183,0.284872
0.953189472,0.726002,0.190809
0.969856139,0.707715,0.094764
0.986522805,0.623617,-0.009434
1.003189472,0.49326,-0.053241
1.019856139,0.32107,-0.072449
1.036522805,0.115019,-0.046544
1.053189472,-0.106337,0.022706
1.069856139,-0.354249,0.110324
1.086522805,-0.577833,0.211815
1.103189472,-0.788261,0.323067
1.119856139,-0.926142,0.380048
1.136522805,-1.033361,0.444356
1.153189472,-1.043209,0.418361
1.169856139,-0.979507,0.358805
1.186522805,-0.835818,0.254867
1.203189472,-0.618167,0.107833
1.219856139,-0.385634,-0.034991
1.236522805,-0.065916,-0.247409
1.253189472,0.257131,-0.455802
1.269856139,0.533913,-0.616264
1.286522805,0.788,-0.764497
1.303189472,1.009657,-0.916453
1.319856139,1.166728,-0.987942
1.336522805,1.261352,-0.995346
1.353189472,1.286075,-0.911237
1.369856139,1.255094,-0.779114
1.386522805,1.154462,-0.568036
1.403189472,1.023214,-0.332138
1.419856139,0.847878,-0.085513
1.436522805,0.673374,0.135559
1.453189472,0.51395,0.306712
1.469856139,0.376386,0.448391
1.486522805,0.287493,0.515249
1.503189472,0.259579,0.527086
1.519856139,0.277316,0.496576
1.536522805,0.345267,0.415631
1.553189472,0.43972,0.311971
1.569856139,0.546784,0.190773
1.586522805,0.638046,0.060162
1.603189472,0.703894,-0.068157
1.619856139,0.740488,-0.180491
1.636522805,0.73797,-0.262783
1.653189472,0.708848,-0.30972
1.669856139,0.61538,-0.27734
1.686522805,0.488351,-0.209006
1.703189472,0.290256,-0.060912
1.719856139,0.056209,0.13862
1.736522805,-0.207725,0.361555
1.753189472,-0.489164,0.584544
1.769856139,-0.738836,0.772982
1.786522805,-0.945111,0.874697
1.803189472,-1.166282,0.998925
1.819856139,-1.31361,1.03982
1.836522805,-1.407725,1.041655
1.853189472,-1.465603,1.002326
1.869856139,-1.475373,0.897013
1.886522805,-1.457762,0.749555
1.903189472,-1.406738,0.552749
1.919856139,-1.330839,0.323859
1.936522805,-1.252815,0.101907
1.953189472,-1.166796,-0.112454
1.969856139,-1.09587,-0.282901
1.986522805,-1.042925,-0.407442
2.003189472,-1.00035,-0.478058
2.019856139,-0.974409,-0.504158
2.036522805,-0.945188,-0.528615
2.053189472,-0.897946,-0.547882
2.069856139,-0.82604,-0.561634
2.086522805,-0.718148,-0.563321
2.103189472,-0.559606,-0.56034
2.119856139,-0.360985,-0.562572
2.136522805,-0.113492,-0.554806
2.153189472,0.176001,-0.556944
2.169856139,0.50996,-0.610633
2.186522805,0.842982,-0.653137
2.203189472,1.164267,-0.706213
2.219856139,1.45658,-0.745842
2.236522805,1.690412,-0.742194
2.253189472,1.875049,-0.712178
2.269856139,1.977726,-0.630387
2.286522805,1.983292,-0.481021
2.303189472,1.897324,-0.296549
2.319856139,1.706076,-0.081896
