t_s,bending_avg_y_mm,torsion_diff_y_mm
3.10186972,-2.661908,2.570221
3.118536387,-3.071116,3.06072
3.135203053,-3.1554,3.2351
3.15186972,-2.908942,3.08356
3.168536387,-2.355068,2.616842
3.185203053,-1.55173,1.890438
3.20186972,-0.60443,0.995007
3.218536387,0.379123,0.022434
3.235203053,1.40702,-1.041824
3.25186972,2.21807,-1.915403
3.268536387,2.80565,-2.593065
3.285203053,3.086791,-2.981906
3.30186972,3.045355,-3.071413
3.318536387,2.696206,-2.855164
3.335203053,2.081227,-2.355806
3.35186972,1.19745,-1.570302
3.368536387,0.212784,-0.634376
3.385203053,-0.824172,0.367397
3.40186972,-1.771247,1.314644
3.418536387,-2.547416,2.149104
3.435203053,-3.128522,2.783654
3.45186972,-3.37154,3.086781
3.468536387,-3.28868,3.142252
3.485203053,-2.86901,2.833363
3.50186972,-2.1432,2.220321
3.518536387,-1.23092,1.39982
3.535203053,-0.165159,0.399655
3.55186972,0.853326,-0.593958
3.568536387,1.830132,-1.570764
3.585203053,2.598871,-2.363042
3.60186972,3.081505,-2.90422
3.618536387,3.261856,-3.15029
3.635203053,3.098287,-3.061824
3.65186972,2.626811,-2.677026
3.668536387,1.877312,-1.97638
3.685203053,1.088106,-1.209576
3.70186972,0.071194,-0.229845
3.718536387,-1.021044,0.85757
3.735203053,-2.033829,1.916085
3.75186972,-2.748196,2.68439
3.768536387,-3.215862,3.199528
3.785203053,-3.369172,3.416646
3.80186972,-3.193404,3.309792
3.818536387,-2.731897,2.893297
3.835203053,-2.027288,2.196096
3.85186972,-1.216556,1.363328
3.868536387,-0.262544,0.402677
3.885203053,0.793247,-0.713761
3.90186972,1.55337,-1.57807
3.918536387,2.062376,-2.235714
3.935203053,2.387989,-2.738494
3.95186972,2.367388,-2.890686
3.968536387,2.048315,-2.760191
3.985203053,1.528923,-2.406148
4.00186972,0.652784,-1.656888
4.018536387,-0.2686,-0.7955
4.035203053,-1.214546,0.124223
4.05186972,-2.077792,1.02042
4.068536387,-2.749204,1.810679
4.085203053,-3.220267,2.416115
4.10186972,-3.378244,2.752902
4.118536387,-3.208482,2.788838
4.135203053,-2.769644,2.558088
4.15186972,-1.982524,1.951204
4.168536387,-1.001132,1.137602
4.185203053,0.074199,0.197923
4.20186972,0.878484,-0.505928
4.218536387,1.991754,-1.55959
4.235203053,2.836476,-2.376194
4.25186972,3.379216,-2.911946
4.268536387,3.534828,-3.105615
4.285203053,3.371112,-2.989726
4.30186972,2.86437,-2.58915
4.318536387,2.115838,-1.949848
4.335203053,1.145263,-1.064613
4.35186972,0.127624,-0.130322
4.368536387,-0.898761,0.867199
4.385203053,-1.766945,1.755314
4.40186972,-2.530592,2.535338
4.418536387,-2.994476,3.059606
4.435203053,-3.142844,3.283868
4.45186972,-2.98978,3.215358
4.468536387,-2.543298,2.83933
4.485203053,-1.784994,2.118552
4.50186972,-0.82648,1.165144
4.518536387,0.154456,0.165754
4.535203053,1.120668,-0.84791
4.55186972,1.871626,-1.677169
4.568536387,2.553722,-2.459816
4.585203053,2.870988,-2.883467
4.60186972,2.86345,-3.023072
4.618536387,2.534183,-2.797543
4.635203053,1.904708,-2.289262
4.65186972,1.029456,-1.541928
4.668536387,0.043336,-0.655516
4.685203053,-1.00597,0.327316
4.70186972,-1.984374,1.281247
4.718536387,-2.779176,2.102266
4.735203053,-3.39188,2.74492
4.75186972,-3.667684,3.106594
4.768536387,-3.629468,3.176112
4.785203053,-3.254004,2.920434
4.80186972,-2.586138,2.355233
4.818536387,-1.720178,1.553859
4.835203053,-0.711228,0.584741
4.85186972,0.376828,-0.487709
4.868536387,1.31488,-1.437064
4.885203053,2.185288,-2.341272
4.90186972,2.781553,-2.99894
