frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming
0,0,951.695118,614.886692,808.552185,763.541687,1101.537231,759.291199,1094.07605,467.023041,802.073303,470.694489,52.9002,0
1,0,951.52545,613.505042,808.459473,762.039246,1101.508911,757.699585,1094.094238,465.48703,802.082458,469.830109,53.3079,0
2,0,951.463463,611.096453,808.486389,759.085388,1101.495239,755.431763,1094.042358,463.519653,802.024536,467.331482,52.6664,0
3,0,951.646774,607.591044,808.402466,755.826172,1101.433594,751.363647,1094.021851,460.255432,801.955505,463.910156,52.8468,0
4,0,951.533652,603.208611,808.2901,751.25415,1101.186279,746.756531,1093.966919,456.000519,801.706055,459.492859,53.7368,0
5,0,951.188189,598.299951,808.25293,745.846375,1101.013672,741.951294,1093.781738,451.106262,801.226746,454.51825,54.3361,0
6,0,951.080422,592.675224,808.093201,740.441223,1100.68103,735.991699,1093.535278,445.459381,800.924744,448.826996,53.7082,0
7,0,950.465881,586.444348,807.857971,734.013733,1100.411621,729.704346,1092.907837,439.046692,800.626099,443.285583,54.2363,0
8,0,950.029944,579.676247,807.546082,727.212219,1100.026489,722.99408,1092.31665,432.344421,800.335754,436.647308,55.2472,0
9,0,949.640644,572.574764,807.192322,720.082275,1099.719604,716.203613,1092.01416,425.144714,800.279907,429.63327,55.3214,0
10,0,949.719144,565.729437,806.960022,713.401184,1099.433716,709.107788,1091.803589,418.755585,800.060486,422.404633,55.8293,0
11,0,949.437498,558.88117,806.627991,706.680847,1099.203857,702.226013,1091.534546,411.818848,799.894287,415.749908,55.6745,0
12,0,949.174801,552.145707,806.434875,699.91217,1099.115601,695.644409,1091.392822,404.919525,799.7854,409.174713,56.0244,0
13,0,948.987317,545.937751,806.252136,693.654419,1099.05481,689.823059,1091.334473,398.62265,799.700378,402.800842,56.7434,0
14,0,948.931244,540.451635,806.023682,688.38916,1098.837402,684.179443,1091.23999,393.134003,799.464417,397.14505,56.0619,0
15,0,948.985355,535.588379,805.946655,683.67865,1098.724365,679.177612,1091.170532,388.381775,799.299683,392.050293,56.533,0
16,0,948.998058,531.373712,805.965637,679.535889,1098.730957,675.024109,1091.130493,384.143799,799.147827,387.610748,55.9774,0
17,0,948.615442,527.906451,805.927734,675.900024,1098.690186,672.215759,1091.125732,380.096893,799.164734,384.197205,56.6816,0
18,0,948.783871,525.62859,805.94281,674.003845,1098.732544,669.956299,1091.167358,377.728638,799.262207,381.711884,58.1593,0
19,0,948.987946,524.504095,805.866943,673.135376,1098.737915,668.760437,1091.198486,376.818329,799.417969,380.421143,57.2026,0
20,0,948.967492,524.218205,805.927917,673.037476,1098.779785,668.551697,1091.244873,376.191925,799.485413,380.20285,56.3331,0
21,0,949.025118,524.843863,805.905457,673.597412,1098.876587,669.608887,1091.30249,376.965759,799.632446,380.522064,56.5472,0
22,0,948.973156,526.664888,805.986206,675.57605,1098.908936,671.722229,1091.304443,378.436554,799.718628,382.266632,56.5073,0
23,0,948.99641,529.415182,806.038391,678.209595,1098.944458,674.538513,1091.366211,381.233002,799.781128,385.001038,55.9403,0
24,0,949.152956,533.039667,806.069031,682.053589,1098.941162,678.26178,1091.397217,384.900208,799.798706,388.238281,56.2557,0
25,0,948.988735,537.645546,806.131042,686.720215,1098.969971,682.982117,1091.403442,389.033142,799.771973,393.049774,56.7669,0
26,0,948.964963,542.832068,806.249756,691.900635,1099.007812,688.15741,1091.463013,393.990326,799.817627,398.374084,55.7711,0
27,0,949.295484,548.74349,806.349976,698.090515,1099.120728,694.110107,1091.489502,400.18161,799.913818,403.807251,55.8044,0
28,0,949.327012,555.139764,806.472168,704.349609,1099.158813,700.410461,1091.520996,406.620178,799.863647,410.226288,55.3835,0
29,0,949.489092,561.731704,806.640015,711.154846,1099.269775,706.807007,1091.547119,413.136017,799.865601,416.808655,55.6597,0
30,0,949.701771,568.50255,806.915405,718.088806,1099.467041,713.487671,1091.618774,419.827057,799.939209,423.52005,55.3271,0
31,0,949.666882,575.3018,807.106323,724.592041,1099.565308,720.389893,1091.784302,426.475616,799.987183,430.425415,55.1352,0
32,0,949.871225,581.903821,807.31366,731.2052,1099.942993,727.098877,1091.840698,433.218353,800.167786,437.065125,54.5854,0
33,0,950.065181,588.321399,807.602844,737.517639,1100.222534,733.378601,1092.054199,439.62085,800.299988,443.643036,54.8073,0
34,0,950.358164,594.044167,807.843872,743.200562,1100.612061,739.232605,1092.395874,445.386566,800.477112,449.216003,54.4094,0
35,0,950.619543,599.335951,808.013306,748.316284,1100.838013,744.307678,1092.821777,450.777679,800.710815,454.663147,54.5285,0
36,0,950.938261,604.138502,808.218567,752.909241,1101.018188,748.997314,1093.431763,455.603546,800.996887,459.413422,53.2604,0
37,0,951.041387,607.746217,808.314026,756.741394,1101.102661,752.403809,1093.782959,458.736206,801.240906,463.340027,54.0441,0
38,0,951.309645,610.555585,808.376038,759.140503,1101.281738,755.346497,1093.953613,462.271759,801.55658,465.976135,52.6077,0
39,0,951.510736,612.271933,808.442261,761.070312,1101.443115,756.912048,1094.003174,464.072662,801.854004,467.897736,53.0479,0
40,0,951.680239,612.944719,808.487,761.564941,1101.492798,757.504211,1094.179565,465.044708,802.081787,468.591827,53.0169,0
41,0,951.680466,612.707744,808.551208,761.153809,1101.54895,757.279663,1094.138306,464.958038,802.168335,468.479584,53.2083,0
42,0,951.614299,611.368584,808.490662,759.623047,1101.477905,755.752747,1094.135376,463.738281,802.181213,467.3992,52.9073,0
43,0,951.464076,609.181881,808.458008,757.247986,1101.455078,753.441223,1094.120361,461.477936,802.09845,465.524017,52.9595,0
44,0,951.482386,605.890796,808.34729,753.993835,1101.342041,750.084534,1094.013306,458.412903,801.875854,461.940613,53.4682,0
45,0,951.074062,602.121903,808.246948,749.954834,1101.006714,745.828186,1093.890503,454.300018,801.29303,458.560944,53.0463,0
46,0,951.024667,597.150691,808.140991,745.009644,1100.861694,740.6297,1093.528198,449.68512,800.968323,453.46167,53.4989,0
47,0,950.539734,591.600354,807.955688,739.119446,1100.561401,735.153259,1093.018677,444.190002,800.659485,448.18277,54.0604,0
48,0,950.335962,585.396831,807.696716,733.186401,1100.296509,728.728088,1092.413452,438.189301,800.444519,442.131622,54.6119,0
49,0,949.871297,578.885393,807.355957,726.589355,1099.956787,722.325073,1092.060913,431.519012,800.266052,435.904694,54.7442,0
50,0,949.594945,572.389831,807.155151,720.136292,1099.677734,715.924072,1091.814575,424.871735,800.122498,429.439301,55.2986,0
51,0,949.641658,565.776792,806.870239,713.511414,1099.38147,709.177979,1091.681396,418.799286,800.014404,422.483398,55.7038,0
