frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming,area_px2,quality_score,corner_sharpness
0,0,949.569014,567.21611,806.73291,715.643982,1099.416992,711.686035,1091.653564,419.569214,799.958313,422.974945,55.632,0,85460.9557,16263.2952,33.124
1,0,949.574086,566.681762,806.766968,715.153625,1099.432007,711.130493,1091.645142,418.975159,799.986389,422.4935,56.0665,0,85457.8617,16390.019,34.6446
2,0,949.530001,566.360365,806.776611,714.828918,1099.419922,710.917969,1091.642334,418.558533,800.032776,422.181488,54.7934,0,85475.3357,16019.489,34.7769
3,0,949.479233,566.17984,806.715576,714.563721,1099.439087,710.937988,1091.632812,418.430054,800.05603,421.939728,54.7953,0,85498.994,16022.2613,32.2149
4,0,949.523951,566.222283,806.781982,714.593567,1099.459106,710.920471,1091.680298,418.459717,800.025574,421.945618,55.4602,0,85500.4268,16216.8154,33.7066
5,0,949.652219,566.382095,806.840637,714.888794,1099.509155,711.022034,1091.740479,418.627563,800.130249,422.06546,55.5917,0,85509.0228,16256.0837,33.657
6,0,949.660773,566.924097,806.928589,715.336609,1099.53064,711.600952,1091.833984,419.092804,800.16626,422.609589,55.6016,0,85510.0207,16259.0735,33.657
7,0,949.770056,567.523321,807.000488,715.994873,1099.580322,712.246216,1091.865479,419.752838,800.204224,423.03656,54.78,0,85536.7453,16021.3235,33.2645
8,0,949.784604,568.082887,807.091614,716.670959,1099.61084,712.687012,1091.906494,420.089508,800.165283,423.678467,54.872,0,85561.9659,16050.5961,32.2438
9,0,949.837048,568.862283,807.137329,717.87085,1099.647461,713.128662,1091.963379,420.452454,800.21698,424.779205,55.6552,0,85592.7851,16282.6215,35.8388
10,0,949.829519,569.814054,807.136841,718.509644,1099.684082,714.319763,1092.03125,421.630066,800.243835,425.567627,55.0962,0,85580.7816,16117.9488,34.7314
11,0,949.878116,570.487773,807.153687,719.073914,1099.639893,715.182312,1092.028809,422.498932,800.264709,425.936584,55.0333,0,85593.0509,16100.7019,33.2562
12,0,949.916984,571.089942,807.204651,719.799072,1099.719482,715.770569,1091.936401,423.102844,800.286682,426.575623,56.1512,0,85591.7827,16427.6362,35.4876
13,0,949.92979,571.769789,807.24823,720.368408,1099.756104,716.422058,1091.96936,423.839783,800.239685,427.249023,55.7044,0,85574.4326,16295.2683,33.5868
14,0,949.950172,572.130881,807.268494,720.649048,1099.787842,716.796021,1092.002075,424.26825,800.239746,427.588593,55.8741,0,85563.6852,16343.8844,33.0579
15,0,949.912808,572.289625,807.251953,720.782166,1099.790894,716.999023,1091.960449,424.435364,800.256897,427.794739,55.0343,0,85552.4294,16097.1733,33.2893
16,0,949.910094,572.308176,807.188782,720.84314,1099.822266,717.011108,1091.939575,424.493225,800.265503,427.863525,54.606,0,85554.3124,15972.0741,33.5
17,0,949.87941,572.273182,807.190857,720.758118,1099.800659,716.978149,1091.923584,424.458801,800.225891,427.82663,54.9947,0,85547.3498,16085.113,34.5083
18,0,949.883442,572.111863,807.214722,720.535095,1099.756104,716.76239,1091.953125,424.311829,800.166504,427.611633,55.0086,0,85538.8673,16088.3809,32.9421
19,0,949.866826,571.685442,807.144165,720.197632,1099.673584,716.188782,1091.930786,423.858673,800.212463,427.329102,55.0903,0,85502.6845,16108.8676,34.9339
20,0,949.841109,571.000026,807.079285,719.618652,1099.655518,715.446045,1091.834961,423.180878,800.158508,426.681091,56.044,0,85504.8433,16387.9444,33.2066
21,0,949.764421,570.396759,807.010315,718.864075,1099.608765,714.978333,1091.846802,422.628052,800.127625,426.015442,55.5542,0,85512.1383,16245.4139,31.6612
22,0,949.76256,569.847968,806.974915,718.493103,1099.55957,714.151184,1091.769531,422.015533,800.153015,425.725342,54.165,0,85454.7274,15833.8598,33.1694
23,0,949.685293,569.180775,806.963135,718.059631,1099.538086,713.248291,1091.769775,420.967102,800.152588,425.42099,55.067,0,85460.1606,16098.0499,36.4587
24,0,949.566664,568.443654,806.932678,717.159119,1099.525146,712.722717,1091.727661,420.221344,800.102478,424.640167,55.2743,0,85477.1829,16160.2603,33.3471
25,0,949.550027,567.949395,806.835327,716.359436,1099.45459,712.561768,1091.731812,420.093536,800.078491,423.754761,54.8096,0,85487.5153,16025.3668,33.4463
26,0,949.5776,567.657052,806.782288,716.135803,1099.450195,712.27948,1091.672974,419.906097,800.075195,423.391846,54.5112,0,85492.5822,15938.5922,32.2562
27,0,949.614247,567.45733,806.844543,715.914673,1099.509888,712.0672,1091.640015,419.77356,800.039062,423.156616,54.8139,0,85483.0249,16026.2032,33.7934
28,0,949.594609,567.355198,806.842834,715.773865,1099.438477,711.983459,1091.626465,419.685028,800.043579,423.009583,55.6353,0,85471.2584,16265.2403,32.7438
29,0,949.611799,567.391834,806.869812,715.841492,1099.418579,711.946472,1091.682251,419.640564,800.010803,423.035767,54.3435,0,85485.1118,15888.864,33.0744
30,0,949.670037,567.48233,806.91394,715.953613,1099.496094,712.082703,1091.74353,419.720978,800.069275,423.099396,54.448,0,85505.4962,15921.3155,32.1157
31,0,949.674362,567.803439,807.008606,716.203247,1099.504883,712.452515,1091.77002,419.996643,800.095459,423.397278,54.568,0,85499.4134,15955.8375,32.4215
32,0,949.756738,568.183697,807.09137,716.843384,1099.567139,712.659851,1091.829712,420.141296,800.115356,423.870544,55.6061,0,85538.6789,16263.114,30.719
33,0,949.81541,568.624059,807.197205,717.454895,1099.672119,712.969849,1091.924316,420.324707,800.202393,424.513,56.2764,0,85556.4906,16460.8701,34.876
34,0,949.873258,569.297605,807.274048,718.219604,1099.72168,713.585815,1092.00769,420.860992,800.274048,425.249359,55.1639,0,85571.2107,16136.8514,35.8264
35,0,949.963982,569.918101,807.280212,718.49823,1099.862183,714.508911,1092.084473,421.92453,800.301208,425.554382,54.9747,0,85568.6939,16081.2691,34.8347
36,0,949.935778,570.370756,807.281494,718.805176,1099.790649,715.071655,1092.104248,422.441833,800.328247,425.908691,55.7091,0,85554.9352,16294.7865,32.1322
37,0,950.087412,570.720894,807.321167,719.319519,1099.849365,715.328247,1092.15979,422.844482,800.316528,426.104919,55.0561,0,85592.9917,16107.3668,33.3802
38,0,950.056393,571.02251,807.375854,719.627502,1099.920654,715.606262,1092.135742,423.043671,800.337158,426.578674,56.0827,0,85577.5423,16406.2309,31.2686
39,0,950.089924,571.32705,807.381226,719.924194,1099.889038,715.847839,1092.220093,423.332306,800.316162,426.830719,56.6627,0,85587.0969,16576.8273,34.2355
40,0,950.048371,571.551006,807.37677,720.054016,1099.851929,716.0896,1092.158325,423.632599,800.282776,427.049042,56.5448,0,85556.0662,16539.3362,34.3512
41,0,949.948827,571.562363,807.25592,720.107666,1099.770264,716.097412,1092.078735,423.603149,800.25946,427.154724,55.7014,0,85551.888,16292.2442,35.0413
42,0,949.87607,571.350132,807.15802,719.968872,1099.758667,715.908813,1091.969238,423.382111,800.252197,427.040985,54.8694,0,85551.2259,16048.8283,34.3554
43,0,949.767624,571.04126,807.110718,719.665039,1099.62854,715.553101,1091.840088,423.026367,800.134155,426.748749,56.349,0,85536.3489,16480.1655,32.5826
44,0,949.730808,570.630994,806.875916,719.281128,1099.502808,715.191467,1091.797363,422.801178,800.140869,426.246246,55.6257,0,85540.7516,16269.0435,31.8017
45,0,949.606765,570.213348,806.735291,718.842529,1099.418945,714.713379,1091.655762,422.439789,800.019226,425.929993,55.2506,0,85511.5977,16156.5827,31.0413
46,0,949.555493,569.725558,806.724976,718.516357,1099.361206,713.924805,1091.58667,421.767456,799.946594,425.715759,55.755,0,85475.3371,16300.6241,34.3636
47,0,949.466008,569.03915,806.782776,717.959045,1099.302368,713.042175,1091.585815,420.707306,799.913757,425.309174,55.2149,0,85470.5092,16142.2636,37.6612
48,0,949.408841,568.347137,806.724915,717.080017,1099.281006,712.58844,1091.550537,420.179474,799.886108,424.442139,54.7728,0,85480.9786,16013.9949,32.9959
49,0,949.363995,567.890508,806.712402,716.252319,1099.246216,712.427917,1091.561279,420.00119,799.810852,423.670441,54.3831,0,85480.1537,15899.9811,33.0826
50,0,949.446127,567.321015,806.669678,715.749023,1099.326172,711.821045,1091.508179,419.635681,799.838684,423.083801,55.0256,0,85462.8624,16086.2015,33.2231
51,0,949.405038,566.826198,806.644165,715.266968,1099.347778,711.332336,1091.50647,419.071106,799.870667,422.713623,54.746,0,85460.2364,16004.2173,33.8099
52,0,949.466078,566.498047,806.699036,714.991211,1099.393921,711.067261,1091.572632,418.691864,799.949036,422.324951,56.2236,0,85490.192,16439.053,35.2727
53,0,949.551579,566.236925,806.801819,714.537476,1099.463867,710.900818,1091.703613,418.557343,799.984314,421.905975,54.7262,0,85487.5736,16000.9876,32.6198
54,0,949.633647,566.091076,806.87384,714.37793,1099.530029,710.849915,1091.826294,418.393341,800.095276,421.677979,54.8288,0,85514.1625,16033.4789,32.6777
55,0,949.713582,566.068945,806.978699,714.366577,1099.543457,710.772461,1091.859375,418.383362,800.154968,421.627411,55.524,0,85492.9024,16234.7564,32.3099
56,0,949.827545,566.139561,807.105774,714.405579,1099.626587,710.888367,1091.968994,418.47641,800.242371,421.597412,55.7969,0,85502.4376,16315.4599,32.3843
57,0,949.912871,566.387171,807.192078,714.679016,1099.702026,711.079224,1092.118896,418.630188,800.301025,421.866394,56.0621,0,85520.9034,16394.7765,33.8182
