t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.020034548,-0.002225,-0.021981,0.002801,0.02560169,0.020913276,-0.010031042,0.999403105,0.005596188,-0.005493977,1.395881717
0.036701215,0.00574,-0.03306,0.098109,-0.037066695,-0.027839932,-0.010008774,0.998874778,0.005596188,-0.005493977,1.395881717
0.053367881,0.005036,-0.038836,-0.067725,-0.037739873,-0.028896963,-0.010031175,0.998819325,0.005596188,-0.005493977,1.395881717
0.070034548,0.002629,-0.042209,-0.065596,-0.020462933,-0.015823393,-0.010057979,0.999614789,0.005596188,-0.005493977,1.395881717
0.086701215,-0.003474,-0.039118,0.113011,0.040638205,0.032328595,-0.01009977,0.998599716,0.005596188,-0.005493977,1.395881717
0.103367881,-0.001846,-0.043141,0.004634,0.024566369,0.020239521,-0.010108305,0.999442183,0.005596188,-0.005493977,1.395881717
0.120034548,0.004128,-0.048101,-0.003515,-0.036403714,-0.029399313,-0.010048249,0.998854085,0.005596188,-0.005493977,1.395881717
0.136701215,0.001806,-0.043148,-0.036868,-0.036164743,-0.029852164,-0.010070759,0.998849107,0.005596188,-0.005493977,1.395881717
0.153367881,0.002746,-0.035923,0.040819,-0.028277636,-0.022566144,-0.010023449,0.999295089,0.005596188,-0.005493977,1.395881717
0.170034548,-0.002938,-0.025686,-0.065648,0.025347072,0.020068834,-0.010041864,0.9994268,0.005596188,-0.005493977,1.395881717
0.186701215,0.004003,-0.034504,-0.142637,-0.03803111,-0.029190286,-0.009992078,0.99880014,0.005596188,-0.005493977,1.395881717
0.203367881,0.005987,-0.036055,0.007155,-0.037102285,-0.028979147,-0.010095118,0.998840186,0.005596188,-0.005493977,1.395881717
0.220034548,0.006582,-0.031159,-0.031947,-0.036699673,-0.029288876,-0.010083835,0.99884614,0.005596188,-0.005493977,1.395881717
0.236701215,0.004762,-0.019923,-0.167627,-0.036712616,-0.029722821,-0.010007292,0.998833616,0.005596188,-0.005493977,1.395881717
0.253367881,0.00183,-0.008085,-0.026945,-0.020848359,-0.016614752,-0.010089608,0.999593665,0.005596188,-0.005493977,1.395881717
0.270034548,-0.005168,0.006239,-0.013317,0.04023273,0.032608392,-0.010090223,0.998607134,0.005596188,-0.005493977,1.395881717
0.286701215,-0.003303,0.003547,0.018496,0.025273974,0.021246431,-0.010070781,0.99940402,0.005596188,-0.005493977,1.395881717
0.303367881,0.005762,-0.010727,0.014365,-0.03739022,-0.028979753,-0.010115979,0.998829221,0.005596188,-0.005493977,1.395881717
0.320034548,0.005399,-0.011737,-0.172591,-0.022243429,-0.017182964,-0.010094598,0.999553938,0.005596188,-0.005493977,1.395881717
0.336701215,-0.000662,-0.001494,-0.209363,0.025805195,0.021917007,-0.010090707,0.999375762,0.005596188,-0.005493977,1.395881717
0.353367881,0.003142,0.003812,-0.153185,-0.0225897,-0.018665377,-0.010033011,0.999520209,0.005596188,-0.005493977,1.395881717
0.370034548,-0.00317,0.019444,-0.003962,0.025786236,0.021220174,-0.010083742,0.999391361,0.005596188,-0.005493977,1.395881717
0.386701215,0.002457,0.013476,-0.058307,-0.027452118,-0.022676855,-0.010107772,0.999314752,0.005596188,-0.005493977,1.395881717
0.403367881,-0.002462,0.016063,0.071052,0.024434589,0.018547514,-0.010205732,0.999477255,0.005596188,-0.005493977,1.395881717
0.420034548,-0.002364,0.008042,0.057483,0.041307681,0.031985229,-0.010131484,0.998582983,0.005596188,-0.005493977,1.395881717
0.436701215,8.8e-05,0.003224,0.046271,0.040366702,0.03318977,-0.01009883,0.998582486,0.005596188,-0.005493977,1.395881717
0.453367881,0.00805,-0.000244,-0.04619,-0.029393877,-0.024453088,-0.010084381,0.99921787,0.005596188,-0.005493977,1.395881717
0.470034548,0.006167,0.012079,0.033943,-0.034948451,-0.029142533,-0.010025192,0.998913817,0.005596188,-0.005493977,1.395881717
0.486701215,-0.004491,0.028075,0.041985,0.037780981,0.031432517,-0.010171603,0.998739772,0.005596188,-0.005493977,1.395881717
0.503367881,-0.005097,0.027262,0.054803,0.039658746,0.03273477,-0.010126837,0.998625588,0.005596188,-0.005493977,1.395881717
0.520034548,0.00254,0.009177,0.113301,-0.031822673,-0.024268229,-0.010046958,0.999148352,0.005596188,-0.005493977,1.395881717
0.536701215,0.005107,-0.000321,0.042834,-0.035856811,-0.026875205,-0.010093231,0.998944513,0.005596188,-0.005493977,1.395881717
0.553367881,-0.001973,0.010259,-0.113768,0.03885234,0.032335306,-0.010092593,0.998670648,0.005596188,-0.005493977,1.395881717
0.570034548,0.007764,0.004579,-0.10275,-0.035317109,-0.028539679,-0.010081296,0.998917692,0.005596188,-0.005493977,1.395881717
0.586701215,-0.00206,0.023431,-0.030904,0.037468584,0.030934588,-0.010113194,0.998767681,0.005596188,-0.005493977,1.395881717
0.603367881,-0.003889,0.025852,0.025065,0.04033522,0.033140896,-0.010094931,0.998585421,0.005596188,-0.005493977,1.395881717
0.620034548,-0.004693,0.017702,0.099334,0.040112817,0.031801406,-0.010058657,0.998638301,0.005596188,-0.005493977,1.395881717
0.636701215,-0.004444,0.004172,0.168867,0.040517718,0.031502442,-0.010138059,0.998630628,0.005596188,-0.005493977,1.395881717
0.653367881,0.004667,-0.015589,-0.006373,-0.035180867,-0.027937773,-0.010128677,0.998939036,0.005596188,-0.005493977,1.395881717
0.670034548,-0.002112,-0.003904,0.025646,0.038542122,0.030732424,-0.010069677,0.99873351,0.005596188,-0.005493977,1.395881717
0.686701215,-0.002962,0.002579,0.026958,0.040409337,0.03294707,-0.010093122,0.998588857,0.005596188,-0.005493977,1.395881717
0.703367881,-0.001852,0.006484,0.218709,0.03959293,0.032623442,-0.010076259,0.998632355,0.005596188,-0.005493977,1.395881717
0.720034548,-0.002422,0.004374,0.176949,0.040343254,0.031444986,-0.010120964,0.998639675,0.005596188,-0.005493977,1.395881717
0.736701215,-0.002712,-0.001722,0.013084,0.041368225,0.032553827,-0.010091539,0.998562506,0.005596188,-0.005493977,1.395881717
0.753367881,-0.002402,-0.011082,0.138036,0.041035191,0.031813329,-0.010074855,0.998600282,0.005596188,-0.005493977,1.395881717
0.770034548,0.004496,-0.025454,0.002106,-0.031928666,-0.025696208,-0.01003136,0.999109422,0.005596188,-0.005493977,1.395881717
0.786701215,-0.004494,-0.012602,-0.107331,0.040282873,0.033203095,-0.010074008,0.998585679,0.005596188,-0.005493977,1.395881717
0.803367881,-0.004313,-0.003064,-0.027904,0.040755889,0.033240572,-0.010093702,0.99856504,0.005596188,-0.005493977,1.395881717
0.820034548,0.006168,-0.012449,0.003707,-0.036636569,-0.028033712,-0.010099725,0.998884312,0.005596188,-0.005493977,1.395881717
0.836701215,0.007407,-0.015985,-0.003945,-0.037402326,-0.029960843,-0.010136934,0.998799608,0.005596188,-0.005493977,1.395881717
0.853367881,0.005739,-0.024917,-0.129572,-0.037436598,-0.029818901,-0.010081297,0.998803135,0.005596188,-0.005493977,1.395881717
0.870034548,-0.004894,-0.018291,-0.078898,0.040587257,0.033257392,-0.010061439,0.998571674,0.005596188,-0.005493977,1.395881717
0.886701215,-0.006492,-0.018099,-0.133132,0.040439229,0.033430969,-0.01012928,0.998571198,0.005596188,-0.005493977,1.395881717
0.903367881,0.002195,-0.024846,-0.152301,-0.035452236,-0.027743659,-0.010054001,0.998935606,0.005596188,-0.005493977,1.395881717
0.920034548,0.004986,-0.019705,0.137694,-0.036409641,-0.028513915,-0.01001716,0.998879848,0.005596188,-0.005493977,1.395881717
0.936701215,0.005421,-0.021267,-0.069577,-0.037088815,-0.028422867,-0.010044446,0.998857182,0.005596188,-0.005493977,1.395881717
0.953367881,0.007402,-0.029651,0.168328,-0.036075844,-0.028048534,-0.010095336,0.998904348,0.005596188,-0.005493977,1.395881717
0.970034548,0.006967,-0.035513,-0.209105,-0.038034415,-0.02966288,-0.010093727,0.998785069,0.005596188,-0.005493977,1.395881717
0.986701215,0.006214,-0.037821,-0.057954,-0.03737651,-0.027923361,-0.010070279,0.998860286,0.005596188,-0.005493977,1.395881717
1.003367881,0.003905,-0.032489,-0.168638,-0.03732528,-0.02921066,-0.010051823,0.998825571,0.005596188,-0.005493977,1.395881717
1.020034548,0.001526,-0.023959,-0.277166,-0.037016685,-0.030320206,-0.010064834,0.998803859,0.005596188,-0.005493977,1.395881717
1.036701215,0.002121,-0.020871,-0.142385,-0.037175297,-0.029324138,-0.010079996,0.998827556,0.005596188,-0.005493977,1.395881717
1.053367881,-0.006137,-0.008208,-0.239538,0.040420626,0.033509285,-0.010052502,0.998570102,0.005596188,-0.005493977,1.395881717
1.070034548,0.006549,-0.021668,-0.013547,-0.035959933,-0.027473632,-0.010030024,0.998925163,0.005596188,-0.005493977,1.395881717
1.086701215,0.007705,-0.023131,0.001114,-0.036759569,-0.028644693,-0.010065395,0.998862805,0.005596188,-0.005493977,1.395881717
1.103367881,0.006338,-0.019317,-0.198602,-0.036764638,-0.029297623,-0.010081255,0.998843521,0.005596188,-0.005493977,1.395881717
1.120034548,0.003566,-0.006931,-0.186076,-0.036387529,-0.030452364,-0.010018785,0.99882342,0.005596188,-0.005493977,1.395881717
1.136701215,-0.006973,0.015104,-0.292557,0.037051262,0.031255809,-0.010018183,0.998774206,0.005596188,-0.005493977,1.395881717
1.153367881,-0.007309,0.020327,-0.075412,0.040689471,0.033034937,-0.010027566,0.998575239,0.005596188,-0.005493977,1.395881717
1.170034548,0.004155,0.010693,-0.051171,-0.0338726,-0.027654117,-0.010040029,0.99899304,0.005596188,-0.005493977,1.395881717
1.186701215,-0.000732,0.018701,-0.035151,0.037924195,0.031241575,-0.010149842,0.998740557,0.005596188,-0.005493977,1.395881717
1.203367881,0.000183,0.018396,0.10218,0.040013567,0.032648211,-0.010072551,0.998614817,0.005596188,-0.005493977,1.395881717
1.220034548,0.00024,0.022334,0.015195,0.039759347,0.033066638,-0.010026384,0.998611668,0.005596188,-0.005493977,1.395881717
