Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W,Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1730274591.2910805,0,-1.904526925029801e-07,-1.288903977128858e-05,1.1992864752077016e-05,8.550412487893793e-05,0.0007042564478187802,9.821518756840113e-06,0.9999997483076873,0,2.562433864317828e-05,5.016596195968069e-05,0.00027287306409420117,0.00010305933396773048,-0.002216433251163829,0.00035811709144059476,0.9999974742740931,0,2.513993789537004e-06,-7.06615350861736e-06,-2.129682588914695e-05,0.00013104457163403256,0.00016587399513937547,-4.3483986267926544e-05,0.9999999767111402
1730274591.3051682,0,4.53840988342027e-07,-7.1925817484837336e-06,-1.4200912692763781e-05,0.0001454293081300258,0.001088627114813304,6.906867009367437e-05,0.9999993944852368,0,2.530474119793137e-05,5.252842889959618e-05,0.0002896842387380387,0.00033350376518259743,-0.0020035277467577695,0.00036614584165158416,0.9999978702922467,0,3.626770602055654e-08,2.965662369054494e-06,1.835809687099525e-05,4.149162436511429e-06,-8.680026741439982e-05,6.702900053655879e-06,0.9999999962017846
1730274591.3205552,0,2.5304656991155494e-07,-2.3352034602326887e-07,-4.1864259082720675e-05,0.00017780607392933794,0.0012007045336270216,8.095148962975622e-05,0.999999260069966,0,2.1879626534890343e-05,3.174478957798073e-05,0.00019568320277857476,0.0006814583616355537,-0.002330093671859032,0.0004242694443029095,0.999996963132099,0,1.541030527028029e-06,-5.371560822911433e-06,-7.041522408137335e-06,-3.683465493952728e-05,-0.00014452113543447702,1.0653061512456097e-05,0.9999999888216808
1730274591.3383286,0,-1.0841764887573315e-06,-1.1083710245100002e-05,-1.5701587480125097e-06,0.0001991031319124015,0.0008381479431565695,-7.945655260466427e-07,0.9999996289325996,0,2.4535650782260957e-05,4.808613857798824e-05,0.00025451378044578254,0.0005165668425360557,-0.0019992590239756493,0.00038877956822269097,0.9999977924838133,0,1.3157938841224295e-06,-1.828319540912379e-05,-5.0549761641435366e-05,-5.099539179072269e-05,-3.812755061031967e-05,2.8553794345724044e-05,0.9999999975652204
1730274591.3546503,0,8.105776995212666e-07,-2.1480455165607053e-05,3.273440299945729e-05,0.00015040632556603142,0.0009419844126008227,8.572651578569168e-05,0.9999995413470288,0,2.340267588751778e-05,4.1442815020177765e-05,0.00022126597229992298,0.0006099104550992913,-0.002438462569308677,0.00038507952321369056,0.9999967668064211,0,7.59064323431489e-07,-3.653600304878161e-07,1.1047604025660945e-06,3.8072417495776385e-05,4.383116643147536e-05,-4.888186028358947e-05,0.9999999971199418
1730274591.3704922,0,8.440277106628431e-07,-2.9683156090660813e-05,6.313011712597652e-05,0.0002067495012369395,0.000899260467254368,6.497920132518499e-05,0.999999572181388,0,2.93679745237977e-05,7.290643410347793e-05,0.00034919146874164993,0.000248787609032409,-0.0016700758272391281,0.00037889236136472035,0.9999985026948968,0,3.725676065106334e-06,-4.655290557037233e-06,-1.8185595571473892e-05,0.00010880109867354395,0.00017829413078085152,-5.416712205597217e-05,0.9999999767197231
1730274591.3871655,0,6.186888457592435e-07,-5.817166941193716e-06,-7.950186826197032e-06,0.0001443773917077462,0.0009271904688697134,6.336509159148844e-05,0.9999995577288364,0,2.4800344546008843e-05,4.26008122473315e-05,0.00023353754636759217,0.0005685750047811749,-0.002359345452299145,0.00042525985677423347,0.9999969646781708,0,2.005402859809216e-06,-7.46299421581452e-06,-2.6442722744252408e-05,4.1917168438950205e-05,0.0001452419029768325,1.4331424155490899e-05,0.9999999884711754
1730274591.4031472,0,9.83911232292957e-07,-2.3136494973526504e-06,-2.456957698037971e-05,7.590599150575102e-05,0.0010305732253765361,8.754617723165945e-05,0.9999994622462426,0,2.9176257266925997e-05,6.395486967073082e-05,0.000331539919692834,0.0004793689978653371,-0.0013993403707306387,0.0003888458635334111,0.9999988304247086,0,1.0313925096889358e-06,-6.6210999452107724e-06,-1.6599692615539068e-05,4.289930574593403e-05,6.352099612603928e-05,-1.3244454181417518e-06,0.9999999970614892
1730274591.4201915,0,1.2706751874781525e-06,-1.5184768185072787e-05,1.2570583926225171e-05,7.799290003126388e-05,0.0009371371008237442,8.759535955220721e-05,0.9999995540090079,0,2.6942912769148395e-05,4.869926201708987e-05,0.00027611877396282135,0.0006733974597897536,-0.0017128587649544926,0.00040800478573978086,0.999998223089825,0,2.777884432426683e-06,-1.4219704181923273e-05,-4.5830274317968026e-05,5.3011156401819784e-05,5.025924481840784e-05,-1.827576346752874e-05,0.9999999971649111
1730274591.436564,0,-1.0058404975213221e-06,-1.9400213456961187e-05,2.3599936970105912e-05,0.00015626859938933625,0.0007162125673723009,-2.900455761514076e-05,0.9999997308891733,0,2.7322925458745008e-05,5.1080663024738396e-05,0.00027840784025533785,0.0006317493611963691,-0.0016784800329882736,0.0004521556731801585,0.9999982895749226,0,1.0219130847723866e-06,-1.7816006982573021e-06,1.3570687832511606e-06,-5.3117011975590814e-05,4.7377946781398416e-05,-7.898166794903804e-06,0.9999999974357662
1730274591.4547975,0,1.1419736711879144e-06,3.854007791871499e-06,-4.360898852841895e-05,7.86459765182855e-05,0.0010265871360510496,9.626756521764793e-05,0.9999994653329661,0,2.3292959390445234e-05,3.0179822130107634e-05,0.00018440452379484476,0.0008236310436653772,-0.002246631990321952,0.00047477471781051574,0.9999970244283586,0,4.82856460319716e-07,-1.7859467789891672e-06,3.2348376234300396e-06,-6.779163565106632e-05,-8.280118776744588e-06,-1.205210147999768e-05,0.9999999975952404
1730274591.4704602,0,-2.325373233666985e-07,1.7688372017655455e-05,-8.295238462053597e-05,2.0001904487250912e-05,0.0008776503888210219,4.9304947065507e-05,0.9999996134492958,0,2.548638993883353e-05,5.1172095747973295e-05,0.00027131915666474277,0.0007189759649847328,-0.0016057951687437266,0.0003655925359351933,0.9999983854174643,0,2.0889342790012764e-06,-1.9452077602063165e-05,-6.0866535810074176e-05,6.28606203151005e-05,-1.1943751647771074e-05,1.056958333017633e-05,0.9999999978970866
1730274591.4855886,0,-1.1190095916603333e-07,1.701035671324353e-06,-2.889863750251053e-05,-3.5753268603917837e-05,0.0004659433695552199,1.419478798871487e-05,0.999999890708488,0,2.5437015127423207e-05,5.4214127566553444e-05,0.00028469637480859386,0.0004980659266157403,-0.0017855041420733312,0.0004093792582130963,0.9999981981553339,0,3.52932388212709e-07,-2.320638619352856e-05,-7.548421672548429e-05,0.0001490988781660099,5.515660792536728e-05,-1.509039103637358e-05,0.9999999872497766
1730274591.5035806,0,-1.1254695854336175e-06,-6.5744387527711135e-06,-1.0009870333272701e-05,0.0001920348040967301,0.0006307758931840342,-4.933761366282844e-05,0.9999997814050794,0,2.3453176226535433e-05,3.65411371470709e-05,0.00022338865081223918,0.0005890256809023777,-0.002018416075483256,0.0004212641515304052,0.9999977007882609,0,7.324549606175835e-07,1.0049091579116562e-06,4.102113507177644e-06,2.6491876179903578e-05,7.857706613683653e-05,-4.2463934238130795e-05,0.9999999956603197
1730274591.5227036,0,-1.2835627523424242e-07,1.95796688746809e-05,-9.064463153658996e-05,3.0038387035810898e-05,0.0009379789417085316,5.18460314457294e-05,0.9999995583024971,0,2.5744260319587558e-05,5.228455116079155e-05,0.0002864908217539757,0.00036722713754469815,-0.0017530742533035234,0.0003970008026045465,0.9999983171312112,0,1.9564987433670037e-06,-2.5903743358390118e-05,-8.490805780076475e-05,0.00012096613825757614,5.2172149657332094e-05,6.898465838283206e-06,0.9999999912988355
1730274591.5358841,0,-3.7276753032775425e-08,1.4978674261686716e-07,-3.267146932556092e-05,6.363551690843874e-05,0.0007912580178980844,3.2174696101000776e-05,0.9999996844129798,0,2.5907241266693955e-05,4.9838122734985416e-05,0.00027422111415132023,0.0005154100169621131,-0.0014889343518125619,0.0003846133619683053,0.9999986847489212,0,-1.8557960273199016e-07,6.28324690116276e-07,2.6668907766654234e-06,6.670423150373338e-07,-9.677784962970123e-06,8.902531878607382e-06,0.9999999999133202
