-1.29E-05,5.02E-05,-7.07E-06
-7.19E-06,5.25E-05,2.97E-06
-2.34E-07,3.17E-05,-5.37E-06
-1.11E-05,4.81E-05,-1.83E-05
-2.15E-05,4.14E-05,-3.65E-07
-2.97E-05,7.29E-05,-4.66E-06
-5.82E-06,4.26E-05,-7.46E-06
-2.31E-06,6.40E-05,-6.62E-06
-1.52E-05,4.87E-05,-1.42E-05
-1.94E-05,5.11E-05,-1.78E-06
3.85E-06,3.02E-05,-1.79E-06
1.77E-05,5.12E-05,-1.95E-05
1.70E-06,5.42E-05,-2.32E-05
-6.57E-06,3.65E-05,1.00E-06
1.96E-05,5.23E-05,-2.59E-05
1.50E-07,4.98E-05,6.28E-07
-2.10E-05,5.84E-05,-3.02E-06
-4.54E-06,3.13E-05,-2.10E-06
-4.37E-05,7.13E-05,-7.98E-06
-1.22E-05,4.92E-05,-9.40E-06
-2.07E-06,3.38E-05,1.30E-05
-1.30E-05,6.19E-05,-6.95E-06
-1.39E-05,5.04E-05,3.39E-06
1.55E-05,6.24E-05,-5.41E-06
-1.05E-05,6.42E-05,-6.87E-06
3.79E-06,6.35E-05,5.51E-06
-1.46E-05,6.44E-05,5.37E-06
-1.55E-05,5.19E-05,-1.66E-05
-2.34E-06,5.86E-05,-2.60E-06
-1.67E-05,9.38E-05,-8.19E-06
-8.61E-06,6.38E-05,-1.87E-05
4.08E-06,6.14E-05,-1.19E-06
7.30E-06,6.13E-05,-1.31E-05
6.09E-06,6.02E-05,-2.91E-06
1.30E-05,4.57E-05,-3.32E-06
1.25E-05,5.49E-05,-1.50E-05
9.12E-06,7.34E-05,1.07E-05
7.24E-06,6.38E-05,-1.11E-06
-1.07E-06,7.69E-05,6.24E-06
9.79E-06,4.68E-05,1.15E-05
-6.03E-06,7.02E-05,-2.26E-06
-1.66E-05,6.42E-05,5.34E-06
-3.77E-05,4.70E-05,1.03E-05
-7.01E-06,3.99E-05,-4.00E-06
2.48E-05,5.12E-05,2.18E-05
1.69E-05,4.84E-05,4.80E-06
-2.12E-05,5.40E-05,-2.18E-07
-4.29E-06,6.72E-05,1.41E-05
-3.02E-06,3.63E-05,-5.48E-06
-9.56E-06,5.64E-05,-8.35E-07
-4.98E-06,3.95E-05,1.19E-05
2.02E-05,5.66E-05,-1.60E-05
-1.41E-06,4.79E-05,-5.54E-06
-1.13E-05,5.70E-05,-1.19E-05
-4.54E-06,6.11E-05,-2.73E-06
1.06E-05,6.94E-05,-1.04E-05
2.82E-06,6.36E-05,-1.13E-05
2.25E-06,6.31E-05,3.49E-06
-1.59E-05,6.28E-05,-3.16E-06
2.72E-05,6.76E-05,1.23E-06
-2.51E-06,5.94E-05,-7.66E-06
1.29E-05,6.32E-05,-1.44E-05
3.17E-06,4.18E-05,-1.81E-05
2.29E-06,4.37E-05,6.88E-06
-1.51E-05,4.29E-05,1.75E-06
9.08E-06,3.69E-05,4.08E-06
-1.50E-05,4.87E-05,2.36E-05
8.44E-06,4.07E-05,-2.29E-05
6.41E-06,7.17E-05,-1.65E-05
-1.12E-06,6.39E-05,9.21E-06
-2.99E-06,7.33E-05,-1.48E-05
1.27E-05,6.40E-05,1.62E-06
-1.50E-05,5.76E-05,2.47E-06
-1.54E-05,4.12E-05,-1.04E-05
-1.60E-05,6.27E-05,-2.27E-06
-2.91E-05,5.09E-05,1.46E-05
-8.65E-06,6.28E-05,-2.71E-06
-1.35E-05,7.01E-05,7.44E-07
-1.75E-05,5.15E-05,-1.80E-05
-2.08E-07,9.47E-05,-1.22E-05
-1.96E-05,6.96E-05,-1.83E-05
1.48E-05,6.66E-05,-6.52E-06
-1.37E-05,5.51E-05,-1.04E-05
3.91E-06,6.26E-05,-1.49E-05
3.87E-06,9.33E-05,-9.47E-06
-3.59E-05,7.05E-05,-5.22E-06
9.56E-06,6.31E-05,-1.02E-05
-4.76E-06,7.13E-05,-1.06E-05
-1.90E-05,6.67E-05,-1.24E-05
-3.61E-05,7.24E-05,-8.12E-06
-2.21E-05,8.09E-05,-1.78E-05
2.03E-05,6.43E-05,-1.18E-05
3.42E-05,6.93E-05,3.69E-07
2.04E-05,7.00E-05,-1.25E-05
6.11E-06,7.07E-05,5.35E-06
-1.12E-05,5.26E-05,-2.92E-06
-4.58E-06,5.54E-05,-1.08E-05
-2.15E-05,2.53E-05,-1.02E-06
-1.72E-05,3.46E-05,4.15E-06
8.67E-06,4.22E-05,-6.37E-06
-1.10E-05,6.22E-05,1.88E-06
-3.52E-05,5.58E-05,2.20E-06
-2.95E-06,4.90E-05,-2.54E-06
3.68E-06,5.33E-05,1.41E-06
4.73E-06,6.67E-05,4.08E-06
-1.63E-05,6.74E-05,-1.91E-05
7.37E-07,5.68E-05,-2.02E-05
-9.37E-06,5.38E-05,-7.29E-06
-9.80E-06,5.75E-05,-1.03E-05
1.28E-05,5.87E-05,-1.68E-05
6.85E-06,7.89E-05,-7.53E-06
-5.35E-06,7.35E-05,-1.01E-05
1.12E-05,8.41E-05,3.41E-06
-3.08E-05,8.03E-05,-1.45E-07
-1.96E-06,5.04E-05,-1.48E-05
-1.16E-05,6.18E-05,-5.43E-06
