t_s,x_w,y_w,z_w,qx,qy,qz,qw
1.029813878,-0.000880575,0.001010664,1.78387859,-0.06754273,0.006138715,0.008086846,0.997664723
1.046480544,-0.000850896,0.000438547,1.78398318,-0.083918831,0.004055758,0.005904139,0.996446848
1.063147211,-0.000807437,-0.000453437,1.783748676,-0.093436207,0.003185176,0.002459038,0.995617137
1.079813878,-0.000766053,-0.001585095,1.783690991,-0.100287518,0.003015933,-0.002062006,0.994951791
1.096480544,-0.000733411,-0.002860132,1.783478225,-0.102256224,0.003100645,-0.0071609,0.994727486
1.113147211,-0.000716759,-0.004116859,1.783367075,-0.10005358,0.002818168,-0.0120843,0.994904673
1.129813878,-0.000715593,-0.00526859,1.783590633,-0.093924023,0.003912195,-0.016923267,0.995427836
1.146480544,-0.000722167,-0.006189232,1.783344117,-0.084442958,0.002919575,-0.020883729,0.996205166
1.163147211,-0.000732197,-0.006775691,1.783099997,-0.070332193,0.003262544,-0.023623601,0.997238519
1.179813878,-0.000737607,-0.006977382,1.78317666,-0.049402436,0.006092744,-0.024794953,0.998452547
1.196480544,-0.000734643,-0.006775161,1.781983923,-0.018752084,0.018598246,-0.024346303,0.999354653
1.213147211,-0.000724698,-0.006139535,1.775925451,-0.006912214,0.044553687,-0.021933236,0.998742271
1.229813878,-0.000718215,-0.005190835,1.769752114,-0.004893487,0.062109138,-0.018354647,0.997888579
1.246480544,-0.000719745,-0.004008833,1.765683778,-0.00610216,0.0711543,-0.013639319,0.997353397
1.263147211,-0.000734607,-0.002694362,1.764056753,-0.004779805,0.074767156,-0.008042033,0.997157135
1.279813878,-0.000762546,-0.001473293,1.765709655,-0.004532771,0.071638745,-0.002943857,0.997416
1.296480544,-0.000807193,-0.000299173,1.769568735,-0.00836726,0.063461487,0.001841156,0.997947513
1.313147211,-0.000849166,0.000586102,1.776463738,-0.009571698,0.043813412,0.005686631,0.998977692
1.329813878,-0.000877428,0.001086715,1.781781255,-0.030229791,0.019421925,0.008045023,0.999321883
1.346480544,-0.000884675,0.001172323,1.783323538,-0.056907513,0.006314311,0.008701003,0.99832157
1.363147211,-0.000870283,0.000838661,1.783944424,-0.074502476,0.002870208,0.007470626,0.997188715
1.379813878,-0.000839154,0.000140366,1.783928861,-0.08840243,0.001534015,0.004896742,0.996071623
1.396480544,-0.000799298,-0.000879738,1.783550558,-0.096967871,0.002096101,0.000856461,0.995284937
1.413147211,-0.000760371,-0.002086114,1.783480228,-0.101443395,0.00313202,-0.004029615,0.994828221
1.429813878,-0.000732396,-0.003381075,1.783532585,-0.101369127,0.002478753,-0.009123178,0.994803962
1.446480544,-0.000716952,-0.004632452,1.783307452,-0.098770512,0.00232086,-0.013903837,0.995010393
1.463147211,-0.00071794,-0.005708235,1.783426047,-0.09139343,0.003860859,-0.018452312,0.995636403
1.479813878,-0.000725306,-0.006502628,1.783459761,-0.080096349,0.004861197,-0.021996607,0.996532535
1.496480544,-0.000733734,-0.006985812,1.783303747,-0.063487429,0.006157771,-0.024331352,0.997666985
1.513147211,-0.000735488,-0.007046267,1.783199495,-0.037884248,0.009922668,-0.024809138,0.998924838
1.529813878,-0.000733477,-0.006734393,1.780302303,-0.01909847,0.026564978,-0.023802302,0.999181165
1.546480544,-0.000725219,-0.006021008,1.774057824,-0.008730169,0.050360828,-0.021235942,0.998467128
1.563147211,-0.000717782,-0.004876259,1.767976038,-0.00568608,0.066141108,-0.016706307,0.997654209
1.579813878,-0.000725892,-0.003608046,1.764789799,-0.006188203,0.07270786,-0.011390645,0.997269034
1.596480544,-0.000748927,-0.002295966,1.764540705,-0.008568051,0.073292865,-0.006067795,0.997255196
1.613147211,-0.000785896,-0.001072673,1.767636163,-0.009846649,0.066827637,-0.000813026,0.997715616
1.629813878,-0.000834382,-5.3042e-05,1.772935905,-0.009558339,0.054204083,0.003757748,0.998477058
1.646480544,-0.000875372,0.000669485,1.780081664,-0.013169844,0.029085185,0.007022834,0.999465501
1.663147211,-0.000894166,0.000987625,1.783117907,-0.037881929,0.010573558,0.008523504,0.999189927
1.679813878,-0.000894428,0.000905541,1.783643003,-0.064176813,0.004794582,0.008468258,0.997891095
1.696480544,-0.000871397,0.000428261,1.783908027,-0.080784976,0.002403207,0.006789508,0.996705531
1.713147211,-0.000827009,-0.000426227,1.783810335,-0.09200602,0.002382825,0.003272947,0.995750221
1.729813878,-0.000784936,-0.00152239,1.783723376,-0.09973433,0.003005679,-0.001113703,0.995008939
1.746480544,-0.000749183,-0.002789157,1.783538666,-0.102198438,0.002505576,-0.006183382,0.994741658
1.763147211,-0.000722813,-0.004070029,1.783322368,-0.100363607,0.002894349,-0.011381431,0.994881517
1.779813878,-0.000714748,-0.005225037,1.78332972,-0.095276589,0.004275236,-0.016237264,0.995309221
1.796480544,-0.000719647,-0.006199479,1.78338274,-0.085877283,0.004204774,-0.020461581,0.996086711
1.813147211,-0.000725904,-0.006854933,1.783273275,-0.072222515,0.003671551,-0.023500962,0.997104876
