t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.014853,-0.000146,-0.003544,0.000075,-0.003575
0.031519,0.002901,-0.006887,0.002954,-0.006902
0.048186,0.005968,-0.009220,0.005442,-0.008394
0.064853,-0.001268,0.004204,-0.001397,0.004125
0.081519,-0.010450,0.015165,-0.009831,0.014256
0.098186,-0.006790,0.007190,-0.006771,0.007300
0.114853,-0.001026,-0.001002,-0.001003,-0.000800
0.131519,0.005340,-0.005640,0.005204,-0.005630
0.148186,0.007752,-0.008458,0.007502,-0.008168
0.164853,0.003786,-0.004294,0.003569,-0.004250
0.181519,-0.004733,0.001402,-0.004502,0.001233
0.198186,-0.008066,0.003508,-0.007617,0.003249
0.214853,-0.001671,-0.000036,-0.001789,0.000020
0.231519,0.003308,-0.002917,0.003251,-0.002878
0.248186,0.006282,-0.004420,0.006075,-0.004152
0.264853,0.003714,-0.000165,0.003525,-0.000240
0.281519,-0.003464,0.003257,-0.003383,0.003109
0.298186,-0.008742,0.003546,-0.008721,0.003981
0.314853,-0.011604,0.010097,-0.011128,0.009396
0.331519,-0.003862,0.002640,-0.003771,0.002448
0.348186,0.005978,-0.008336,0.005576,-0.007715
0.364853,0.007190,-0.006676,0.006936,-0.006433
0.381519,0.001910,0.000954,0.001921,0.000823
0.398186,-0.003946,0.006306,-0.003749,0.005907
0.414853,-0.005497,0.003315,-0.005339,0.003325
0.431519,-0.002870,-0.000630,-0.002823,-0.000463
0.448186,0.001412,-0.001929,0.001291,-0.001898
0.464853,0.003316,-0.002322,0.003319,-0.002535
0.481519,0.004323,-0.005608,0.004179,-0.005483
0.498186,0.001818,-0.005492,0.001727,-0.004996
0.514853,-0.002510,0.003941,-0.002350,0.003629
0.531519,-0.003348,0.007010,-0.003171,0.006502
0.548186,-0.000169,-0.000304,-0.000214,-0.000023
0.564853,0.002530,-0.003247,0.002402,-0.002996
0.581519,0.002549,-0.001403,0.002618,-0.001673
0.598186,0.003086,-0.003662,0.002921,-0.003573
0.614853,0.000194,-0.003600,0.000228,-0.003431
0.631519,-0.001998,-0.000108,-0.001895,-0.000070
0.648186,-0.001778,0.003680,-0.001719,0.003472
0.664853,0.000052,0.002806,0.000082,0.002445
0.681519,0.002460,-0.004936,0.002371,-0.004566
0.698186,0.002732,-0.005456,0.002650,-0.005126
0.714853,0.000918,0.000737,0.000823,0.000505
0.731519,-0.002706,0.002870,-0.002518,0.002601
0.748186,-0.002471,-0.000194,-0.002418,-0.000149
