t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.010681323,0.073765,3.096212,0.271008,-0.054605406,0.00301534,-0.007888169,0.9984723,-0.000722068,-0.002682701,1.783292144
0.02734799,0.069053,2.999474,0.096938,-0.058876603,0.004342418,-0.007975774,0.998223961,-0.000722068,-0.002682701,1.783292144
0.044014656,0.065121,2.803291,-0.166544,-0.064009334,0.005255038,-0.007800718,0.997904975,-0.000722068,-0.002682701,1.783292144
0.060681323,0.058454,2.530631,-0.059245,-0.067248852,0.005724346,-0.007740536,0.997689785,-0.000722068,-0.002682701,1.783292144
0.07734799,0.049783,2.203082,-0.178098,-0.069345087,0.005279856,-0.007789036,0.997548351,-0.000722068,-0.002682701,1.783292144
0.094014656,0.038975,1.83679,0.071176,-0.070410485,0.006337122,-0.007859986,0.997467005,-0.000722068,-0.002682701,1.783292144
0.110681323,0.025939,1.426752,0.107213,-0.072615491,0.00644036,-0.007900275,0.997307925,-0.000722068,-0.002682701,1.783292144
0.12734799,0.013016,0.971091,-0.098127,-0.074239154,0.006219039,-0.007922059,0.997189607,-0.000722068,-0.002682701,1.783292144
0.144014656,0.003606,0.49605,-0.036717,-0.074464555,0.005836148,-0.00804959,0.997174094,-0.000722068,-0.002682701,1.783292144
0.160681323,-0.002872,-0.000424,0.009549,-0.074909459,0.004746611,-0.008033586,0.997146681,-0.000722068,-0.002682701,1.783292144
0.17734799,-0.009977,-0.501567,-0.0582,-0.074849021,0.005078874,-0.008112342,0.997148945,-0.000722068,-0.002682701,1.783292144
0.194014656,-0.014148,-0.964404,0.040672,-0.073339067,0.006246885,-0.00829217,0.997253026,-0.000722068,-0.002682701,1.783292144
0.210681323,-0.016335,-1.402178,0.329905,-0.070051016,0.005228579,-0.008255835,0.997495543,-0.000722068,-0.002682701,1.783292144
0.22734799,-0.022905,-1.797355,0.138938,-0.069426686,0.005733548,-0.008314027,0.997535934,-0.000722068,-0.002682701,1.783292144
0.244014656,-0.028177,-2.140792,-0.014306,-0.068203359,0.0071249,-0.008304226,0.997611436,-0.000722068,-0.002682701,1.783292144
0.260681323,-0.030923,-2.449547,0.07978,-0.065575669,0.006252912,-0.008238998,0.997793993,-0.000722068,-0.002682701,1.783292144
0.27734799,-0.033018,-2.708477,-0.031414,-0.062730308,0.006916143,-0.008293536,0.99797209,-0.000722068,-0.002682701,1.783292144
0.294014656,-0.032481,-2.892274,0.007525,-0.058002562,0.006479414,-0.008249251,0.998261323,-0.000722068,-0.002682701,1.783292144
0.310681323,-0.030392,-2.996074,0.02881,-0.053598325,0.006512378,-0.008188777,0.998507763,-0.000722068,-0.002682701,1.783292144
0.32734799,-0.028676,-3.0307,-0.0858,-0.050105373,0.007868234,-0.008222774,0.998679092,-0.000722068,-0.002682701,1.783292144
0.344014656,-0.028926,-2.997848,0.10072,-0.045801362,0.007316614,-0.008138067,0.998890622,-0.000722068,-0.002682701,1.783292144
0.360681323,-0.030217,-2.90508,0.325847,-0.041700076,0.007452073,-0.008081654,0.999069696,-0.000722068,-0.002682701,1.783292144
0.37734799,-0.030501,-2.751899,0.06713,-0.038460948,0.008154467,-0.007966748,0.999195072,-0.000722068,-0.002682701,1.783292144
0.394014656,-0.03138,-2.537501,0.148011,-0.033972283,0.007399191,-0.00793971,0.999363846,-0.000722068,-0.002682701,1.783292144
0.410681323,-0.031747,-2.267772,-0.087331,-0.028695801,0.012761944,-0.008045392,0.99947434,-0.000722068,-0.002682701,1.783292144
0.42734799,-0.029569,-1.943309,-0.421191,-0.025648223,0.016969248,-0.008062496,0.999494477,-0.000722068,-0.002682701,1.783292144
0.444014656,-0.02695,-1.580363,-1.109258,-0.021702377,0.021661685,-0.008160888,0.999496462,-0.000722068,-0.002682701,1.783292144
0.460681323,-0.021526,-1.183024,-1.089869,-0.017750179,0.019664726,-0.008128256,0.999616007,-0.000722068,-0.002682701,1.783292144
0.47734799,-0.017187,-0.761235,-0.835831,-0.016702543,0.018124317,-0.008205815,0.999662542,-0.000722068,-0.002682701,1.783292144
0.494014656,-0.013235,-0.327196,-1.434937,-0.019504794,0.022535468,-0.008345196,0.999520922,-0.000722068,-0.002682701,1.783292144
0.510681323,-0.007252,0.113793,-2.049193,-0.018894728,0.025506165,-0.008396869,0.999460813,-0.000722068,-0.002682701,1.783292144
0.52734799,0.002665,0.556986,-1.663384,-0.017681765,0.024006779,-0.008379407,0.999520293,-0.000722068,-0.002682701,1.783292144
0.544014656,0.015143,1.003352,-1.319007,-0.019210687,0.02162961,-0.008381485,0.999546327,-0.000722068,-0.002682701,1.783292144
0.560681323,0.025863,1.426033,-0.786746,-0.018393631,0.016667272,-0.00832496,0.999657227,-0.000722068,-0.002682701,1.783292144
0.57734799,0.035695,1.811784,-0.437307,-0.020223943,0.015462082,-0.008422571,0.999640424,-0.000722068,-0.002682701,1.783292144
0.594014656,0.04437,2.123061,-0.443802,-0.026762688,0.015559573,-0.008340359,0.999485916,-0.000722068,-0.002682701,1.783292144
