t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.008786946,-0.005168,-0.164451,0.031219,0.04087037,0.03208289,-0.01017476,0.998597404,0.005602668,-0.005498459,1.395947971
0.025453613,-0.006006,-0.177531,0.093504,0.040032282,0.031822453,-0.010186943,0.998639562,0.005602668,-0.005498459,1.395947971
0.042120279,-0.007218,-0.177889,-0.073477,0.040300727,0.033241412,-0.010047341,0.998583953,0.005602668,-0.005498459,1.395947971
0.058786946,-0.007158,-0.168241,-0.124586,0.039495575,0.032986539,-0.010056821,0.998624478,0.005602668,-0.005498459,1.395947971
0.075453613,-0.000985,-0.152116,-0.424239,-0.034931132,-0.030268938,-0.009920916,0.998881966,0.005602668,-0.005498459,1.395947971
0.092120279,0.000353,-0.114227,-0.143941,-0.032347317,-0.028586997,-0.010030356,0.999017431,0.005602668,-0.005498459,1.395947971
0.108786946,-0.006548,-0.059638,-0.213418,0.036778654,0.033231548,-0.009948092,0.998721197,0.005602668,-0.005498459,1.395947971
0.125453613,0.003205,-0.020239,-0.315438,-0.032898547,-0.030378044,-0.009910627,0.998947766,0.005602668,-0.005498459,1.395947971
0.142120279,-0.005351,0.046536,-0.294313,0.037343647,0.034339997,-0.009917395,0.998663037,0.005602668,-0.005498459,1.395947971
0.158786946,-0.002964,0.10122,-0.376842,0.036957442,0.034514652,-0.009943608,0.998671122,0.005602668,-0.005498459,1.395947971
0.175453613,-0.002979,0.154406,-0.400244,0.037970207,0.035060469,-0.009999619,0.998613556,0.005602668,-0.005498459,1.395947971
0.192120279,3.4e-05,0.193417,-0.212213,0.038665716,0.033290362,-0.009956505,0.998647877,0.005602668,-0.005498459,1.395947971
0.208786946,0.002133,0.229396,-0.212729,0.037960976,0.033055402,-0.009940801,0.998682875,0.005602668,-0.005498459,1.395947971
0.225453613,0.003821,0.251601,-0.106328,0.039766976,0.032874662,-0.009888687,0.998619076,0.005602668,-0.005498459,1.395947971
0.242120279,0.006173,0.26182,0.057264,0.03951013,0.031839641,-0.009951643,0.998662181,0.005602668,-0.005498459,1.395947971
0.258786946,0.004478,0.264652,-0.18253,0.041209739,0.033025997,-0.010002033,0.998554455,0.005602668,-0.005498459,1.395947971
0.275453613,0.005429,0.255118,0.05419,0.040507133,0.03230409,-0.010009524,0.998606743,0.005602668,-0.005498459,1.395947971
0.292120279,0.005273,0.234002,0.24785,0.041512793,0.030946707,-0.010116342,0.998607355,0.005602668,-0.005498459,1.395947971
0.308786946,0.005242,0.195869,0.516738,0.042287995,0.030359144,-0.010108687,0.998592941,0.005602668,-0.005498459,1.395947971
0.325453613,0.004743,0.154482,0.562003,0.042712325,0.029485023,-0.010155817,0.998600596,0.005602668,-0.005498459,1.395947971
0.342120279,0.012122,0.09438,0.27171,-0.037397356,-0.026622137,-0.010051585,0.998895222,0.005602668,-0.005498459,1.395947971
0.358786946,0.001061,0.056376,0.26932,0.042802018,0.030234095,-0.01015688,0.998574346,0.005602668,-0.005498459,1.395947971
0.375453613,0.008146,-0.003269,0.25719,-0.037453851,-0.025188808,-0.010125477,0.998929531,0.005602668,-0.005498459,1.395947971
0.392120279,0.007817,-0.044,0.111171,-0.039475864,-0.027400013,-0.010118637,0.998793527,0.005602668,-0.005498459,1.395947971
0.408786946,0.007095,-0.081095,0.356872,-0.037985706,-0.02641026,-0.01006698,0.998878491,0.005602668,-0.005498459,1.395947971
0.425453613,0.005482,-0.108361,0.349948,-0.036690442,-0.026440352,-0.010186599,0.998924898,0.005602668,-0.005498459,1.395947971
0.442120279,0.005382,-0.122939,0.334301,-0.035629242,-0.026959934,-0.010202118,0.998949266,0.005602668,-0.005498459,1.395947971
0.458786946,0.004184,-0.126924,0.126897,-0.03588842,-0.028123305,-0.010147916,0.998908465,0.005602668,-0.005498459,1.395947971
0.475453613,0.002842,-0.120931,-0.081938,-0.036606184,-0.028468352,-0.010104194,0.998873088,0.005602668,-0.005498459,1.395947971
0.492120279,0.002154,-0.101508,-0.306102,-0.033876006,-0.029363337,-0.010089981,0.998943644,0.005602668,-0.005498459,1.395947971
