t_s,bending_avg_y_mm,torsion_diff_y_mm
0.004372342,2.133075,-2.922724
0.021039009,2.229019,-3.128742
0.037705675,2.137686,-2.98662
0.054372342,1.865774,-2.534208
0.071039009,1.470423,-1.892004
0.087705675,0.924127,-0.94874
0.104372342,0.355718,0.019359
0.121039009,-0.258473,1.014244
0.137705675,-0.800716,1.927791
0.154372342,-1.236156,2.649372
0.171039009,-1.540654,3.123494
0.187705675,-1.685278,3.298174
0.204372342,-1.652155,3.134512
0.221039009,-1.447876,2.647077
0.237705675,-1.110153,1.908352
0.254372342,-0.671246,0.97679
0.271039009,-0.176326,-0.062042
0.287705675,0.305162,-1.085742
0.304372342,0.714147,-1.931666
0.321039009,1.065753,-2.630182
0.337705675,1.260525,-3.061994
0.354372342,1.293022,-3.169517
0.371039009,1.172922,-2.954251
0.387705675,0.923955,-2.460226
0.404372342,0.530014,-1.665869
0.421039009,0.106556,-0.788339
0.437705675,-0.349898,0.217625
0.454372342,-0.781227,1.149456
0.471039009,-1.157346,2.035551
0.487705675,-1.394895,2.655296
0.504372342,-1.496794,3.019479
0.521039009,-1.428362,3.065466
0.537705675,-1.200728,2.782646
0.554372342,-0.820145,2.181322
0.571039009,-0.334935,1.351232
0.587705675,0.200426,0.400082
0.604372342,0.734628,-0.563868
0.621039009,1.21712,-1.487824
0.637705675,1.640315,-2.292386
0.654372342,1.899353,-2.812062
0.671039009,1.992241,-3.083094
0.687705675,1.911786,-2.989173
0.704372342,1.65878,-2.625055
0.721039009,1.278397,-1.979488
0.737705675,0.782643,-1.153328
0.754372342,0.208124,-0.17534
0.771039009,-0.36995,0.864704
0.787705675,-0.890404,1.767821
0.804372342,-1.313933,2.494008
0.821039009,-1.599645,2.983183
0.837705675,-1.735335,3.202857
0.854372342,-1.699967,3.101246
0.871039009,-1.47535,2.639415
0.887705675,-1.155808,1.994728
0.904372342,-0.675246,1.046332
0.921039009,-0.147744,0.021607
0.937705675,0.358757,-0.99004
0.954372342,0.802758,-1.880654
0.971039009,1.146952,-2.570738
0.987705675,1.354659,-3.021926
1.004372342,1.42891,-3.172883
1.021039009,1.332649,-2.981868
1.037705675,1.074196,-2.486213
1.054372342,0.695141,-1.752362
1.071039009,0.243847,-0.891855
1.087705675,-0.258521,0.120423
1.104372342,-0.643962,0.960835
1.121039009,-1.05479,1.852388
1.137705675,-1.398035,2.62369
1.154372342,-1.544173,3.012092
1.171039009,-1.524676,3.09012
1.187705675,-1.33625,2.837029
1.204372342,-0.999762,2.277329
1.221039009,-0.634091,1.6585
1.237705675,-0.113167,0.71889
1.254372342,0.468463,-0.367518
1.271039009,0.980096,-1.334611
1.287705675,1.423527,-2.158832
1.304372342,1.728576,-2.733102
1.321039009,1.87082,-3.044017
1.337705675,1.874476,-3.093799
1.354372342,1.676765,-2.790248
1.371039009,1.340089,-2.20541
1.387705675,0.897532,-1.412727
1.404372342,0.350759,-0.429618
1.421039009,-0.200909,0.595454
1.437705675,-0.705619,1.537052
1.454372342,-1.145749,2.357378
1.471039009,-1.457023,2.920548
1.487705675,-1.618721,3.198826
