t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.005331897,0.00560314,-0.00555639,1.39591028,-0.03654003,-0.02764608,-0.01010221,0.998898626
0.021998564,0.005601491,-0.005552845,1.395837077,-0.036713914,-0.027998379,-0.010070842,0.998882755
0.03866523,0.00560157,-0.005547526,1.395934563,-0.036242326,-0.028045743,-0.010093475,0.998898419
0.055331897,0.005602141,-0.005541362,1.395890174,-0.035978676,-0.02753242,-0.010104555,0.998922118
0.071998564,0.005600894,-0.005536537,1.395750338,-0.037372496,-0.02937556,-0.010005489,0.998819435
0.08866523,0.005600604,-0.005534119,1.395809294,-0.037167842,-0.028450781,-0.01007995,0.998853092
0.105331897,0.005602753,-0.005524608,1.395647574,-0.036964277,-0.029809211,-0.010045915,0.998821372
0.121998564,0.005601868,-0.005509251,1.395649614,-0.036013555,-0.029737067,-0.010162586,0.998857073
0.13866523,0.005600902,-0.005495144,1.39547694,-0.036466804,-0.030314738,-0.01009936,0.998823904
0.155331897,0.005601902,-0.005486512,1.395779688,-0.037871341,-0.028930147,-0.010020057,0.998813499
0.171998564,0.005595193,-0.005469938,1.395814306,0.038214642,0.031537033,-0.010068646,0.998721022
0.18866523,0.005595116,-0.005468902,1.396133227,0.038930199,0.032056099,-0.010008151,0.998677467
0.205331897,0.005594624,-0.005459736,1.395828059,0.040008488,0.032450561,-0.010121345,0.998620969
0.221998564,0.005595786,-0.005449746,1.395725691,0.040700088,0.033844961,-0.009982327,0.998548133
0.23866523,0.005595968,-0.005442002,1.395759949,0.040408205,0.034597358,-0.010036283,0.998533661
0.255331897,0.005594999,-0.005437411,1.395707939,0.040143884,0.033667548,-0.01010035,0.998575459
0.271998564,0.005596458,-0.005431696,1.395691708,0.04103657,0.033320504,-0.010128128,0.998550532
0.28866523,0.005596984,-0.00543291,1.396000151,0.040400122,0.032709876,-0.0100345,0.998597618
0.305331897,0.00559501,-0.005436079,1.39593337,0.040892943,0.032460676,-0.010189064,0.998584125
0.321998564,0.005595299,-0.005437986,1.395762451,0.040754773,0.033736562,-0.010082501,0.998548565
0.33866523,0.005597364,-0.005436758,1.395801822,0.041286816,0.032916166,-0.010064185,0.998554273
0.355331897,0.00559745,-0.005433744,1.395919017,0.04054633,0.032521433,-0.010120195,0.998596982
0.371998564,0.005595592,-0.005431791,1.395901915,0.040815609,0.033513223,-0.01007234,0.998553703
0.38866523,0.005594984,-0.005435481,1.395698882,0.041227001,0.034150316,-0.010061363,0.998515328
0.405331897,0.005597683,-0.00544354,1.39612942,0.039982854,0.031586287,-0.010134406,0.998649574
0.421998564,0.005594049,-0.005448071,1.395871758,0.041075918,0.03274467,-0.010016728,0.998569087
0.43866523,0.00559365,-0.005449909,1.395694696,0.041806147,0.033204719,-0.010092666,0.998522824
0.455331897,0.005593741,-0.005451637,1.395730677,0.041404589,0.033224446,-0.01004304,0.9985394
0.471998564,0.005596478,-0.005453501,1.395919013,0.040453057,0.03249871,-0.010051181,0.998602202
0.48866523,0.005596111,-0.005456431,1.395906137,0.039882049,0.032500667,-0.010041835,0.9986252
0.505331897,0.005595143,-0.00546135,1.396013205,0.040199326,0.03193112,-0.010052276,0.998630747
0.521998564,0.005603973,-0.005481321,1.396011981,-0.034049791,-0.02606087,-0.010077492,0.999029473
0.53866523,0.005594983,-0.005480465,1.3960346,0.036895418,0.029352941,-0.010118844,0.998836694
0.555331897,0.005593558,-0.005486242,1.395946966,0.040432322,0.032711504,-0.009975089,0.998596857
0.571998564,0.005600608,-0.005499729,1.395843207,-0.033552726,-0.026941958,-0.009967693,0.999024019
0.58866523,0.00559485,-0.005492638,1.395818145,0.033774116,0.026654628,-0.010108403,0.999022853
0.605331897,0.005593434,-0.005497582,1.395861585,0.041231138,0.032229244,-0.010122033,0.998578396
0.621998564,0.0055925,-0.005505864,1.395811597,0.041033623,0.032784174,-0.010090243,0.998568789
0.63866523,0.005601492,-0.005526908,1.396113012,-0.033285335,-0.024867891,-0.010072649,0.99908569
0.655331897,0.005601407,-0.005534724,1.39591852,-0.037337084,-0.028145416,-0.010078593,0.998855445
0.671998564,0.005601397,-0.0055374,1.396011393,-0.03658771,-0.027864849,-0.010072833,0.998891099
0.68866523,0.005594457,-0.005529871,1.395843181,0.026889546,0.022464814,-0.010080278,0.999335115
0.705331897,0.00560102,-0.005536542,1.395715987,-0.033727057,-0.025546642,-0.010021972,0.99905426
0.721998564,0.005601731,-0.005538143,1.395848288,-0.036317481,-0.028725097,-0.010044874,0.998876874
0.73866523,0.005603363,-0.005539378,1.396024999,-0.035833137,-0.028201175,-0.010026734,0.998909478
0.755331897,0.005602023,-0.005539506,1.395968459,-0.036732028,-0.028099201,-0.010117903,0.998878782
0.771998564,0.005601725,-0.005540031,1.39580372,-0.037274397,-0.02853625,-0.010094075,0.99884654
0.78866523,0.00559181,-0.005527739,1.395862497,0.032046038,0.026423963,-0.010053192,0.999086462
0.805331897,0.005591873,-0.005523211,1.39594108,0.040422884,0.033259791,-0.010082051,0.998578054
0.821998564,0.00559991,-0.005526725,1.395802765,-0.027900922,-0.022632036,-0.010097588,0.999303442
0.83866523,0.005600734,-0.005521693,1.395789389,-0.037276746,-0.029284256,-0.010074195,0.998825003
0.855331897,0.005602417,-0.005518688,1.395798122,-0.036591953,-0.02899756,-0.010009304,0.998859342
0.871998564,0.005596766,-0.00550917,1.39617874,0.032644696,0.025932212,-0.010112942,0.999079363
0.88866523,0.005592885,-0.005503698,1.395755633,0.040727729,0.03388713,-0.010068734,0.998544709
0.905331897,0.005594471,-0.005500863,1.395911743,0.039924406,0.033025704,-0.010063052,0.998606068
0.921998564,0.005602766,-0.005501683,1.395831838,-0.031650591,-0.025736034,-0.010084698,0.999116708
0.93866523,0.005596267,-0.005488854,1.396165427,0.034177252,0.027184916,-0.010098702,0.998994951
0.955331897,0.005602555,-0.005494357,1.395979011,-0.028213969,-0.022654767,-0.010048231,0.999294635
0.971998564,0.005603133,-0.00549229,1.395833864,-0.036198784,-0.029083114,-0.010059415,0.998870677
0.98866523,0.005603715,-0.005486126,1.395776134,-0.036663844,-0.029848821,-0.010056947,0.998831151
1.005331897,0.005597241,-0.005470799,1.395947049,0.034242305,0.028067844,-0.010104619,0.998968246
1.021998564,0.005598102,-0.005468295,1.396246894,0.038846425,0.031737407,-0.010121318,0.998689767
1.03866523,0.005597919,-0.005465178,1.396070998,0.039617408,0.03215854,-0.010138777,0.99864583
1.055331897,0.005595693,-0.005457223,1.395820524,0.039967833,0.032778046,-0.010123448,0.99861188
1.071998564,0.005595626,-0.005452568,1.395957828,0.039365413,0.032662571,-0.010125314,0.998639574
1.08866523,0.005595049,-0.005448158,1.395882047,0.040171414,0.03274927,-0.010112454,0.998604767
1.105331897,0.005602946,-0.005454104,1.395787987,-0.024703861,-0.01923167,-0.010010592,0.999459679
1.121998564,0.005596647,-0.005445576,1.395764467,0.031814782,0.026201918,-0.010105151,0.999099177
1.13866523,0.005595944,-0.005443558,1.396026881,0.039013915,0.032336036,-0.01008275,0.998664425
1.155331897,0.005594963,-0.005444764,1.395994292,0.039728377,0.032666414,-0.010086785,0.998625464
1.171998564,0.005601785,-0.005453877,1.395990476,-0.02614046,-0.020550954,-0.010064367,0.999396339
1.18866523,0.00559425,-0.005447702,1.395724279,0.034533771,0.0286432,-0.010074507,0.998942186
1.205331897,0.005593833,-0.005449452,1.395834917,0.040812431,0.032680892,-0.010104532,0.998581095
1.221998564,0.005593187,-0.005449756,1.395712567,0.041353619,0.033723266,-0.01008619,0.998524355
1.23866523,0.005595277,-0.005457373,1.395910118,0.040509832,0.032374338,-0.010148528,0.998602956
