t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.011470,-0.610090,0.067643,-0.608402,0.065900
0.028137,-0.087592,0.049276,-0.089192,0.045829
0.044803,0.406507,-0.027191,0.410271,-0.017887
0.061470,0.958864,0.066985,0.956272,0.061886
0.078137,1.442870,0.069000,1.443049,0.067189
0.094803,1.896371,0.034431,1.895032,0.033287
0.111470,2.283846,-0.021462,2.287037,-0.013556
0.128137,2.679786,0.068574,2.675937,0.058792
0.144803,2.951044,-0.011137,2.954592,-0.002487
0.161470,3.221406,0.064092,3.219030,0.059825
0.178137,3.378055,0.059287,3.377851,0.058517
0.194803,3.455727,0.035026,3.456004,0.036152
0.211470,3.461718,0.025666,3.461918,0.026080
0.228137,3.395792,0.021319,3.394729,0.020138
0.244803,3.238547,-0.003254,3.238176,-0.004229
0.261470,3.009888,-0.035429,3.009541,-0.036453
0.278137,2.724303,-0.055470,2.722811,-0.057966
0.294803,2.372168,-0.077051,2.382842,-0.054639
0.311470,2.169301,0.328682,2.158968,0.308519
0.328137,1.732711,0.367498,1.733322,0.367647
0.344803,1.257132,0.378009,1.257872,0.381672
0.361470,0.757126,0.422493,0.757629,0.421224
0.378137,0.244997,0.424654,0.245321,0.422378
0.394803,-0.270103,0.374874,-0.271267,0.378927
0.411470,-0.802987,0.391784,-0.802495,0.391480
0.428137,-1.311275,0.398379,-1.310873,0.396869
0.444803,-1.783704,0.370086,-1.783769,0.370304
0.461470,-2.217600,0.336247,-2.217201,0.336384
0.478137,-2.595720,0.296457,-2.596115,0.297176
0.494803,-2.924056,0.261681,-2.923889,0.260587
0.511470,-3.185011,0.199866,-3.184432,0.199925
0.528137,-3.365079,0.133066,-3.365179,0.133620
0.544803,-3.472234,0.072284,-3.472114,0.072127
0.561470,-3.500335,0.006482,-3.500126,0.006361
0.578137,-3.446945,-0.062642,-3.446892,-0.062747
0.594803,-3.315356,-0.132713,-3.315114,-0.133119
0.611470,-3.104859,-0.206307,-3.104266,-0.205042
0.628137,-2.814353,-0.251314,-2.814720,-0.252373
0.644803,-2.468728,-0.307300,-2.468001,-0.307413
0.661470,-2.058250,-0.355275,-2.058723,-0.354382
0.678137,-1.614239,-0.375204,-1.615073,-0.375557
0.694803,-1.150462,-0.391493,-1.150654,-0.388175
0.711470,-0.661389,-0.344882,-0.658678,-0.350927
0.728137,-0.104528,-0.405167,-0.105083,-0.404180
