frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,0.002643288,-0.00072225,-0.00414463,1.78154029,-0.0075536,0.02420784,-0.01247297,0.99960059,0.159737
1,0.01797452,-0.00072672,-0.00358964,1.7792533,-0.01204333,0.03513711,-0.01040802,0.99925573,0.167049
2,0.033950093,-0.00073582,-0.00296251,1.77803207,-0.01119621,0.04012964,-0.0081038,0.99909889,0.166773
3,0.051306134,-0.00074742,-0.00233104,1.77855664,-0.00936887,0.03767141,-0.00578715,0.9992295,0.127033
4,0.067334739,-0.00075639,-0.00175893,1.77935881,-0.01804274,0.03434747,-0.00412036,0.99923858,0.152404
5,0.084294565,-0.00076631,-0.00129831,1.78138677,-0.02481985,0.02465804,-0.00244282,0.99938481,0.152282
6,0.100327812,-0.00077388,-0.00098222,1.78311257,-0.03161462,0.00947017,-0.00159357,0.999454,0.141447
7,0.117507411,-0.00077397,-0.0008512,1.78340572,-0.04623111,0.00591387,-0.00081745,0.99891293,0.177711
8,0.133708421,-0.00077056,-0.00090545,1.78352014,-0.05771959,0.00694684,-0.00107322,0.99830809,0.122629
9,0.151146113,-0.00076238,-0.00115047,1.78344318,-0.06494517,0.00581984,-0.00210155,0.99786965,0.124583
10,0.167695929,-0.00074587,-0.00154882,1.78334159,-0.07434081,0.00227039,-0.00387961,0.99722276,0.064714
11,0.185129479,-0.00073398,-0.00205611,1.78323982,-0.07758666,0.00174836,-0.00594964,0.99696633,0.09188
12,0.200583263,-0.00072215,-0.00261747,1.78342416,-0.07668156,0.00246613,-0.00838345,0.99701734,0.07902
13,0.217314247,-0.00071492,-0.00317476,1.78306977,-0.07698768,0.00304782,-0.01058939,0.99697115,0.037241
14,0.233978126,-0.00071009,-0.00366813,1.78304452,-0.0730688,0.00544286,-0.0126003,0.99723245,0.029328
15,0.250959734,-0.00070999,-0.00405705,1.7831295,-0.06656995,0.00766707,-0.01409867,0.99765269,0.125874
16,0.26732312,-0.00070865,-0.00429591,1.78319625,-0.05785031,0.00587133,-0.01488315,0.99819705,0.101341
17,0.284117284,-0.00070728,-0.00436074,1.78328879,-0.0488321,0.00835929,-0.01537117,0.99865373,0.142587
