t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.007804,1.302874,-0.934710,1.301854,-0.925309
0.024471,1.253499,-0.620998,1.254069,-0.619677
0.041137,1.217041,-0.250742,1.217303,-0.252362
0.057804,1.190159,0.097433,1.190177,0.095617
0.074471,1.169638,0.391553,1.169116,0.391754
0.091137,1.146482,0.649136,1.147048,0.648313
0.107804,1.140572,0.841639,1.140776,0.841526
0.124471,1.144206,0.975872,1.144731,0.976034
0.141137,1.158473,1.053022,1.158648,1.052913
0.157804,1.169182,1.066608,1.168963,1.065373
0.174471,1.159490,0.999518,1.159691,0.998323
0.191137,1.126715,0.864033,1.126320,0.863361
0.207804,1.050975,0.690266,1.050802,0.690719
0.224471,0.929074,0.524279,0.928579,0.524799
0.241137,0.751032,0.392029,0.750980,0.393213
0.257804,0.523867,0.323201,0.523317,0.324412
0.274471,0.240620,0.326725,0.241050,0.326636
0.291137,-0.076876,0.379186,-0.077851,0.379914
0.307804,-0.446071,0.488495,-0.446678,0.488799
0.324471,-0.848502,0.636983,-0.848200,0.635943
0.341137,-1.251496,0.788827,-1.252417,0.790416
0.357804,-1.657543,0.976798,-1.656371,0.976971
0.374471,-2.010522,1.158003,-2.010035,1.157777
0.391137,-2.307185,1.304004,-2.307259,1.304365
0.407804,-2.546890,1.403436,-2.545935,1.401741
0.424471,-2.704913,1.400952,-2.705474,1.401550
0.441137,-2.804851,1.324396,-2.804170,1.322562
0.457804,-2.823665,1.125754,-2.823431,1.124426
0.474471,-2.771204,0.820026,-2.770986,0.819804
0.491137,-2.652606,0.442619,-2.652401,0.442792
0.507804,-2.475676,0.022053,-2.475618,0.022052
0.524471,-2.251959,-0.422302,-2.252331,-0.421982
0.541137,-1.998072,-0.863356,-1.998035,-0.863383
0.557804,-1.714590,-1.287107,-1.714766,-1.287192
0.574471,-1.411192,-1.674421,-1.411878,-1.674945
0.591137,-1.100510,-2.011844,-1.100075,-2.011455
0.607804,-0.764396,-2.262511,-0.764307,-2.260685
0.624471,-0.410762,-2.386063,-0.410663,-2.385109
0.641137,-0.042485,-2.393055,-0.042270,-2.393138
0.657804,0.338261,-2.306184,0.337823,-2.305625
0.674471,0.716389,-2.125498,0.715621,-2.123830
0.691137,1.083426,-1.847366,1.085610,-1.850044
0.707804,1.487436,-1.566830,1.487253,-1.565690
0.724471,1.877772,-1.233307,1.876650,-1.231749
0.741137,2.228010,-0.859977,2.227802,-0.859624
0.757804,2.547183,-0.493851,2.547774,-0.496078
0.774471,2.843782,-0.204666,2.844672,-0.207055
0.791137,3.115532,-0.007577,3.114460,-0.006909
0.807804,3.318050,0.152042,3.318108,0.152335
0.824471,3.462805,0.272232,3.462844,0.273082
0.841137,3.542768,0.365309,3.542480,0.364863
0.857804,3.547603,0.408856,3.546986,0.407147
0.874471,3.469934,0.384685,3.469504,0.384736
0.891137,3.315849,0.334225,3.315754,0.335020
0.907804,3.097160,0.285557,3.097880,0.283528
0.924471,2.834158,0.207354,2.834420,0.207301
0.941137,2.522603,0.156442,2.521753,0.159259
0.957804,2.148042,0.200132,2.146107,0.202858
0.974471,1.700391,0.341128,1.703437,0.337340
0.991137,1.280916,0.457314,1.278592,0.460311
1.007804,0.808296,0.658669,0.807554,0.659204
1.024471,0.326624,0.888228,0.329386,0.885439
1.041137,-0.086191,1.069894,-0.087257,1.074887
1.057804,-0.486261,1.319952,-0.485859,1.317830
1.074471,-0.839241,1.486632,-0.839218,1.483535
1.091137,-1.145564,1.533919,-1.145126,1.533090
1.107804,-1.393434,1.498564,-1.392805,1.498002
1.124471,-1.578361,1.394542,-1.578850,1.396768
1.141137,-1.722459,1.282662,-1.721372,1.282139
1.157804,-1.802993,1.119794,-1.803119,1.120604
1.174471,-1.849605,0.930457,-1.849900,0.929816
1.191137,-1.873978,0.688534,-1.874544,0.687503
1.207804,-1.887001,0.390971,-1.887708,0.390305
1.224471,-1.892930,0.057109,-1.892337,0.054698
1.241137,-1.867395,-0.320862,-1.867498,-0.318881
1.257804,-1.821144,-0.636810,-1.821014,-0.635022
1.274471,-1.749762,-0.871883,-1.749267,-0.871261
1.291137,-1.648494,-1.035611,-1.648596,-1.035818
1.307804,-1.531049,-1.139790,-1.531536,-1.140096
1.324471,-1.407045,-1.185568,-1.407127,-1.185057
1.341137,-1.269783,-1.158910,-1.270239,-1.158118
1.357804,-1.124306,-1.057215,-1.123473,-1.058298
1.374471,-0.946198,-0.919210,-0.945896,-0.917395
1.391137,-0.746403,-0.703082,-0.746044,-0.702136
1.407804,-0.529004,-0.440825,-0.529258,-0.441282
1.424471,-0.312336,-0.180694,-0.312334,-0.180023
1.441137,-0.099282,0.070873,-0.099584,0.069650
1.457804,0.098823,0.256869,0.098427,0.254710
1.474471,0.276696,0.347506,0.276844,0.346355
1.491137,0.441527,0.361483,0.442288,0.361373
1.507804,0.600245,0.328136,0.600506,0.329699
1.524471,0.736492,0.289857,0.736424,0.289513
1.541137,0.834672,0.222303,0.833980,0.221860
1.557804,0.875031,0.132023,0.874576,0.131697
1.574471,0.857182,0.032303,0.856864,0.031287
1.591137,0.783420,-0.072198,0.783440,-0.072438
1.607804,0.662961,-0.147415,0.662652,-0.144962
1.624471,0.494930,-0.128854,0.495221,-0.127804
1.641137,0.295301,-0.036832,0.295637,-0.035264
1.657804,0.069881,0.128249,0.068978,0.128041
1.674471,-0.196384,0.316023,-0.197671,0.314595
1.691137,-0.498367,0.484829,-0.497706,0.485361
1.707804,-0.784674,0.652383,-0.784309,0.652502
1.724471,-1.043673,0.797526,-1.042942,0.795904
1.741137,-1.256235,0.880151,-1.255766,0.879388
1.757804,-1.419452,0.910504,-1.420039,0.913674
1.774471,-1.547614,0.952853,-1.547063,0.952114
1.791137,-1.617466,0.927318,-1.617228,0.925713
1.807804,-1.633244,0.808923,-1.633166,0.807491
1.824471,-1.598567,0.600232,-1.598466,0.599866
1.841137,-1.515772,0.331019,-1.515541,0.331075
1.857804,-1.387525,0.026914,-1.386748,0.026271
1.874471,-1.212138,-0.303606,-1.212397,-0.302457
1.891137,-1.018581,-0.608894,-1.018996,-0.608216
1.907804,-0.820126,-0.881919,-0.820417,-0.882026
1.924471,-0.622516,-1.126252,-0.622786,-1.125918
1.941137,-0.429873,-1.325461,-0.430156,-1.327113
1.957804,-0.243685,-1.503214,-0.243949,-1.503519
1.974471,-0.062365,-1.620816,-0.062101,-1.617652
1.991137,0.125598,-1.606288,0.126052,-1.605054
2.007804,0.324657,-1.495112,0.324492,-1.496422
2.024471,0.523050,-1.343096,0.523155,-1.343002
