t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.008953,-0.176684,0.072293,-0.168871,0.056736
0.025620,-0.128787,-0.076998,-0.129413,-0.075052
0.042287,-0.077203,-0.221006,-0.077180,-0.218686
0.058953,-0.018165,-0.329162,-0.019237,-0.329469
0.075620,0.017845,-0.423216,0.017707,-0.421816
0.092287,0.041617,-0.458617,0.041388,-0.458561
0.108953,0.049773,-0.452416,0.049699,-0.452015
0.125620,0.045757,-0.397476,0.045813,-0.396337
0.142287,0.033421,-0.286090,0.033440,-0.285772
0.158953,0.014495,-0.143391,0.013829,-0.144541
0.175620,-0.019749,-0.008947,-0.019206,-0.007592
0.192287,-0.043210,0.148182,-0.043382,0.147071
0.208953,-0.064047,0.271331,-0.063855,0.271130
0.225620,-0.072004,0.365739,-0.071860,0.366148
0.242287,-0.065433,0.433621,-0.065356,0.432572
0.258953,-0.044386,0.443906,-0.044097,0.443338
0.275620,-0.005789,0.404638,-0.005609,0.404590
0.292287,0.045714,0.329225,0.045822,0.329202
0.308953,0.104449,0.225186,0.104312,0.225080
0.325620,0.160801,0.099827,0.160865,0.099187
0.342287,0.213067,-0.045167,0.212948,-0.045331
0.358953,0.253040,-0.187430,0.253068,-0.187020
0.375620,0.278817,-0.302776,0.278726,-0.301501
0.392287,0.284478,-0.365525,0.284138,-0.365724
0.408953,0.263332,-0.396466,0.263095,-0.396783
0.425620,0.217497,-0.395325,0.217074,-0.394489
0.442287,0.146482,-0.341914,0.146957,-0.341008
0.458953,0.070693,-0.239722,0.070397,-0.239829
0.475620,-0.018462,-0.115981,-0.018790,-0.116532
0.492287,-0.115580,0.009828,-0.115300,0.010829
0.508953,-0.203077,0.153079,-0.203063,0.152480
0.525620,-0.278889,0.272806,-0.278822,0.272508
0.542287,-0.336268,0.363120,-0.335928,0.362789
0.558953,-0.366180,0.414930,-0.366045,0.414785
0.575620,-0.370004,0.426456,-0.369920,0.426067
0.592287,-0.348472,0.392116,-0.348106,0.391042
0.608953,-0.298596,0.303323,-0.298384,0.303546
0.625620,-0.227454,0.191058,-0.227435,0.191364
0.642287,-0.144876,0.067012,-0.144735,0.066306
0.658953,-0.056015,-0.075567,-0.056474,-0.075389
0.675620,0.021156,-0.209025,0.021567,-0.208582
0.692287,0.095586,-0.316512,0.095033,-0.316968
0.708953,0.144692,-0.403379,0.144622,-0.402101
0.725620,0.173471,-0.431112,0.173253,-0.431232
0.742287,0.177740,-0.421029,0.177620,-0.420585
0.758953,0.159781,-0.363820,0.159557,-0.363269
0.775620,0.119926,-0.262737,0.120007,-0.262408
0.792287,0.067163,-0.131020,0.066930,-0.130898
0.808953,0.000604,0.015072,0.000512,0.014885
0.825620,-0.071457,0.156662,-0.071404,0.156076
0.842287,-0.139915,0.274171,-0.139909,0.274880
0.858953,-0.199248,0.379654,-0.198826,0.378840
0.875620,-0.236826,0.436867,-0.236885,0.436309
0.892287,-0.257632,0.444516,-0.257489,0.444455
0.908953,-0.256142,0.410221,-0.255785,0.409317
0.925620,-0.228684,0.322754,-0.228390,0.322741
0.942287,-0.178941,0.205719,-0.178953,0.205857
0.958953,-0.117027,0.072336,-0.117089,0.071740
0.975620,-0.049404,-0.078054,-0.049423,-0.077904
0.992287,0.018946,-0.219106,0.019143,-0.218293
1.008953,0.086433,-0.326534,0.085830,-0.327257
1.025620,0.134221,-0.417158,0.134379,-0.416075
1.042287,0.172769,-0.451066,0.172565,-0.450868
1.058953,0.193871,-0.440352,0.193950,-0.439684
1.075620,0.201728,-0.378229,0.201512,-0.377711
1.092287,0.191386,-0.273898,0.190923,-0.274456
1.108953,0.160648,-0.155804,0.160796,-0.155460
1.125620,0.124330,-0.018459,0.124430,-0.018104
1.142287,0.086233,0.126495,0.086146,0.126514
1.158953,0.047590,0.259988,0.047606,0.259495
1.175620,0.014391,0.360653,0.014669,0.359780
1.192287,-0.005371,0.413057,-0.005223,0.413246
1.208953,-0.012226,0.431346,-0.012086,0.431503
1.225620,-0.006223,0.413121,-0.006208,0.411898
1.242287,0.009117,0.335566,0.009248,0.335061
1.258953,0.033586,0.218320,0.033648,0.218536
1.275620,0.062470,0.085287,0.062828,0.085494
1.292287,0.096390,-0.051186,0.096014,-0.051413
1.308953,0.117296,-0.186377,0.116995,-0.186541
1.325620,0.122649,-0.306976,0.122716,-0.306191
1.342287,0.116826,-0.385528,0.116739,-0.385015
1.358953,0.096284,-0.419526,0.096067,-0.419936
1.375620,0.059248,-0.421896,0.058952,-0.420829
1.392287,0.006206,-0.367372,0.006611,-0.366334
1.408953,-0.047174,-0.262203,-0.047785,-0.263664
1.425620,-0.114759,-0.159944,-0.114661,-0.159028
1.442287,-0.178429,-0.028439,-0.178468,-0.028235
1.458953,-0.234262,0.108752,-0.234146,0.108418
1.475620,-0.273318,0.230183,-0.272950,0.230319
1.492287,-0.286431,0.332520,-0.286338,0.331753
1.508953,-0.275845,0.390480,-0.275716,0.390221
1.525620,-0.240494,0.407554,-0.240069,0.407440
1.542287,-0.176659,0.384496,-0.176921,0.383976
1.558953,-0.099698,0.316073,-0.099457,0.315543
1.575620,-0.005067,0.208260,-0.004720,0.208025
1.592287,0.103121,0.076380,0.103160,0.076599
1.608953,0.211892,-0.059001,0.211587,-0.059180
1.625620,0.306914,-0.192517,0.307152,-0.191674
1.642287,0.390299,-0.294320,0.389681,-0.295455
1.658953,0.440891,-0.389285,0.440797,-0.387816
1.675620,0.464549,-0.422990,0.464332,-0.422516
1.692287,0.458009,-0.409690,0.457982,-0.409628
1.708953,0.425605,-0.358284,0.425317,-0.358028
1.725620,0.365105,-0.270741,0.365205,-0.270541
1.742287,0.287321,-0.155894,0.286911,-0.155603
1.758953,0.188782,-0.022094,0.188632,-0.022250
1.775620,0.081346,0.111196,0.081662,0.111269
