frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,7.4661e-05,-0.00077479,0.00187507,1.7384266,-0.05606008,-0.06434152,-0.0128085,0.99626973,0.188601
1,0.015752187,-0.00057403,0.00188321,1.73882197,-0.05441267,-0.0673156,-0.00993865,0.99619732,0.233466
2,0.03257864,-0.00038134,0.0018883,1.73551019,-0.06211339,-0.07224119,-0.00600169,0.99543313,0.248695
3,0.048712334,-0.00020068,0.00188649,1.73617049,-0.05850371,-0.0697014,-0.00441653,0.99584111,0.348374
4,0.066898954,-8.122e-05,0.00191755,1.73910566,0.04918634,0.06606764,-0.00292192,0.99659783,0.066515
5,0.082267161,2.983e-05,0.00194729,1.73768879,-0.05309705,-0.07152658,-9.255e-05,0.99602442,0.172727
6,0.098719602,4.707e-05,0.00198508,1.7394016,-0.0487073,-0.0698528,0.00040513,0.99636741,0.561622
7,0.115586704,-9.61e-06,0.00203502,1.7438891,0.03803212,0.05924167,-0.0011264,0.99751828,0.613768
8,0.13237086,-0.00011639,0.00204083,1.74214557,-0.04498588,-0.05204161,-0.00189998,0.99762936,0.841972
9,0.149364899,-0.00026085,0.00205081,1.74034798,-0.04780187,-0.06454609,-0.00429114,0.99675994,0.235406
10,0.165523432,-0.0004474,0.00209085,1.74311843,-0.03808813,-0.05589825,-0.00750934,0.99768146,0.44724
11,0.182209825,-0.00065633,0.0021062,1.74258718,-0.04042026,-0.05301536,-0.00978273,0.99772735,0.212265
12,0.199134457,-0.00084982,0.00212189,1.74253964,-0.03966928,-0.05303018,-0.01297422,0.99772031,0.255724
13,0.215749284,-0.00101293,0.00213675,1.74175712,-0.0424156,-0.05483979,-0.01537742,0.99747534,0.070706
14,0.232146659,-0.00113173,0.00214789,1.74143762,-0.04453984,-0.05763131,-0.01705095,0.99719812,0.029781
15,0.250921724,-0.00119049,0.00214781,1.73948193,-0.04920876,-0.06195247,-0.01828561,0.99669756,0.074441
16,0.268815084,-0.0011853,0.00213783,1.73964411,-0.0505649,-0.0622155,-0.01828873,0.99661324,0.107954
17,0.286105787,-0.00111187,0.00212426,1.73947813,-0.05210804,-0.06194616,-0.01739293,0.99656656,0.112276
18,0.299103741,-0.0009862,0.00210488,1.73946518,-0.051067,-0.06072611,-0.01603214,0.99671835,0.147969
19,0.316264825,-0.00081395,0.00207484,1.73881052,-0.05248789,-0.06388643,-0.01358976,0.99648325,0.106864
20,0.332752285,-0.00063173,0.00206753,1.7412455,0.04536687,0.05953053,-0.01128359,0.99713121,0.099549
21,0.348796237,-0.00042197,0.00202351,1.74044824,-0.0511126,-0.06168752,-0.00757597,0.99675712,0.467953
22,0.365658852,-0.00023155,0.00200848,1.73989352,-0.05291555,-0.06435516,-0.00576231,0.99650647,0.378422
23,0.382386637,-8.97e-05,0.0019486,1.73910017,-0.05360182,-0.06450444,-0.00252544,0.9964736,0.272862
24,0.398985177,-2.73e-06,0.00192233,1.74187617,0.04461472,0.06156682,-0.0013713,0.99710439,0.325647
25,0.417011678,4.349e-05,0.00190319,1.74529063,-0.03214838,-0.05699075,-0.00122446,0.99785622,0.538962
26,0.432941396,8.4e-06,0.00190629,1.74686848,0.02660303,0.05412744,-0.0015469,0.99817839,0.083448
27,0.449375923,-8.894e-05,0.00189417,1.74153941,-0.04468795,-0.05181196,-0.00224745,0.99765398,0.352918
28,0.467722745,-0.00023388,0.00189601,1.74069982,0.04917947,0.06200629,-0.00347799,0.99685731,0.220837
29,0.482840805,-0.00040981,0.00186698,1.74066145,-0.05220334,-0.05967512,-0.0059042,0.99683441,0.43864
30,0.499218699,-0.00061407,0.00186601,1.74298237,-0.04197227,-0.05543279,-0.00889751,0.99754016,0.357359
31,0.515961666,-0.00080913,0.00187584,1.74259954,-0.04308364,-0.05666359,-0.01186331,0.99739275,0.072413
32,0.532635544,-0.00098285,0.00189276,1.74160649,-0.04431839,-0.05472993,-0.0145096,0.99741164,0.186143
33,0.549129247,-0.0011139,0.00191315,1.74201599,-0.04318738,-0.0573098,-0.01702163,0.99727664,0.112812
34,0.566352429,-0.00118951,0.00192978,1.74093458,-0.04706632,-0.05836777,-0.01823693,0.99701824,0.07281
35,0.582468491,-0.00119547,0.00194688,1.73960963,-0.04971762,-0.06220155,-0.01842365,0.99665425,0.132417
36,0.600003988,-0.00115587,0.00197402,1.73880988,0.0527461,0.06213753,-0.01760951,0.99651728,0.143479
37,0.616101339,-0.00102893,0.00197492,1.73883477,-0.05303985,-0.06285039,-0.01644505,0.99647688,0.300193
38,0.632422023,-0.00086771,0.00198443,1.73913222,-0.05290638,-0.06471502,-0.01452211,0.9963945,0.180098
39,0.6490532,-0.00067525,0.00198584,1.73809313,-0.05587392,-0.06460253,-0.01143619,0.99628,0.179871
40,0.666229689,-0.00047019,0.00198349,1.73908671,-0.05293636,-0.06097475,-0.0087722,0.99669598,0.188639
41,0.683450791,-0.00029036,0.00201164,1.74062481,0.04736036,0.0617917,-0.00639778,0.99694426,0.097854
42,0.69930713,-0.00011918,0.002017,1.74027389,-0.04904386,-0.05926081,-0.00327871,0.99703165,0.383874
43,0.716096178,-1.418e-05,0.0020048,1.73907484,0.051215,0.06706407,-0.00090857,0.99643294,0.518412
44,0.733124101,4.849e-05,0.00198076,1.73897889,-0.05180815,-0.06891377,0.00025506,0.99627644,0.568718
45,0.749340613,3.995e-05,0.00197749,1.73958266,-0.05009913,-0.06986907,0.00045867,0.99629723,0.392707
46,0.766322414,-5.347e-05,0.00197977,1.73772902,0.05251462,0.06576194,-0.00099367,0.996452,0.664912
47,0.782680949,-0.00018217,0.00195871,1.74385337,-0.03432766,-0.05047768,-0.00403974,0.99812689,0.097117
48,0.79916626,-0.00036409,0.00196484,1.74503488,-0.03030207,-0.0422788,-0.00609572,0.99862762,0.11391
49,0.816035109,-0.00056253,0.00196784,1.74211094,-0.04330399,-0.05752238,-0.00852613,0.99736816,0.019095
50,0.832422176,-0.0007583,0.00197978,1.7422344,-0.04373811,-0.05852756,-0.01165685,0.99725905,0.368668
51,0.849000694,-0.00094482,0.00199039,1.74320356,-0.04140166,-0.05340292,-0.01412335,0.99761444,0.402939
52,0.865759254,-0.0010843,0.00199528,1.74108145,-0.04644202,-0.05920527,-0.01623003,0.99703283,0.238917
53,0.882477534,-0.00117747,0.00200814,1.74049341,-0.04725859,-0.05993689,-0.01776558,0.99692456,0.080457
54,0.899531851,-0.00120372,0.00202143,1.7401753,-0.04804509,-0.061592,-0.01858831,0.99677107,0.153996
55,0.916481942,-0.00116486,0.00203155,1.73939429,-0.05073894,-0.06246946,-0.01813863,0.99659125,0.0569
56,0.932621252,-0.00106091,0.0020344,1.73914364,-0.05178052,-0.06394209,-0.0168077,0.99646761,0.27279
57,0.949034737,-0.00090874,0.00204365,1.73829922,-0.05295213,-0.06659664,-0.01464384,0.99626629,0.11702
58,0.965693848,-0.00072715,0.00205286,1.73975213,-0.04954657,-0.06215821,-0.01271385,0.99675466,0.455923
59,0.982821223,-0.00051934,0.00205539,1.73928809,-0.0523703,-0.06389396,-0.01025544,0.99652885,0.272024
60,0.999404935,-0.00033671,0.00206378,1.7374903,0.05662037,0.06683197,-0.0061429,0.99613748,0.272397
61,1.016010508,-0.00016133,0.0020415,1.73846432,-0.05452341,-0.06069008,-0.00348556,0.9966603,0.178138
62,1.032609546,-3.598e-05,0.00205561,1.74181292,0.04404499,0.0615986,-0.00252411,0.99712551,0.501359
63,1.0491058,4.602e-05,0.002051,1.74435726,-0.03807658,-0.05595174,-0.00154385,0.99770597,0.615489
64,1.066423595,4.636e-05,0.00205049,1.74499947,-0.03571803,-0.05642208,-0.00117278,0.99776721,0.601923
65,1.083084488,-2.385e-05,0.00205385,1.745047,0.03430041,0.05380484,-0.00176951,0.99796062,0.809685
66,1.098976558,-0.00014524,0.00203651,1.74337077,-0.04099878,-0.05302694,-0.00234951,0.99774833,0.763921
67,1.115759666,-0.00031292,0.00202156,1.74378458,-0.04376731,-0.05225055,-0.00480549,0.99766287,0.178753
68,1.132539623,-0.000502,0.00199533,1.74322801,-0.04042486,-0.05371628,-0.00819988,0.99770394,0.156948
69,1.149053456,-0.00071171,0.00199476,1.74230298,-0.0434846,-0.05336148,-0.01093377,0.99756809,0.176308
70,1.165738633,-0.00090524,0.00198679,1.74335464,-0.04229223,-0.05298726,-0.01367577,0.99760548,0.230641
71,1.182412795,-0.00105392,0.00196971,1.74135168,-0.0468212,-0.05781839,-0.01604531,0.99709947,0.152183
72,1.200235228,-0.00115811,0.00196108,1.74079149,-0.04900736,-0.05826543,-0.01732797,0.99694692,0.114573
73,1.216089104,-0.00120337,0.00195025,1.73992575,-0.05066793,-0.06185445,-0.01845475,0.99662742,0.181857
74,1.232804245,-0.00118459,0.0019389,1.7401924,-0.05157396,-0.06110108,-0.01837681,0.99662886,0.092432
75,1.249466234,-0.00109607,0.00192376,1.74061773,-0.05022159,-0.06002819,-0.01736809,0.9967812,0.081399
76,1.265897793,-0.00095738,0.00190204,1.73858384,-0.05551835,-0.06342795,-0.01515379,0.99632574,0.086497
77,1.282876186,-0.00077856,0.00189106,1.73822921,-0.05641744,-0.06422741,-0.01272652,0.99625797,0.136025
78,1.299400517,-0.00057619,0.00188061,1.7395013,-0.0542127,-0.06595461,-0.01000696,0.99629857,0.186341
79,1.316138446,-0.00037955,0.0018699,1.73622326,-0.06169083,-0.07050861,-0.00623992,0.99558216,0.263065
80,1.332811766,-0.00019627,0.00187898,1.73624159,-0.06165042,-0.06867394,-0.00423174,0.99572346,0.3716
81,1.349479042,-7.628e-05,0.00189772,1.74099645,0.04919899,0.06252603,-0.00321603,0.99682476,0.049721
82,1.365844086,1.225e-05,0.00190182,1.74464297,0.0359928,0.05636787,-0.00183238,0.9977594,0.119184
83,1.38240825,4.283e-05,0.00190055,1.74596259,-0.03028345,-0.05523789,-0.00139691,0.99801289,0.537217
84,1.399426698,-8.79e-06,0.00190807,1.74550738,0.03136477,0.05503436,-0.00168347,0.9979903,0.542876
85,1.416680941,-0.00011847,0.00190071,1.7424066,-0.03909473,-0.05151584,-0.00212282,0.99790441,0.864126
86,1.432418863,-0.00026665,0.00195791,1.74393056,-0.0301677,-0.05651027,-0.00551165,0.99793092,0.027194
87,1.450343943,-0.00044907,0.00198324,1.74325474,-0.0395369,-0.05529559,-0.00759785,0.99765801,0.42355
88,1.465790237,-0.00065979,0.00202115,1.74346061,-0.03502484,-0.04981367,-0.0103784,0.99809025,0.174061
89,1.482392145,-0.00085262,0.00205289,1.74194305,-0.04148382,-0.05552289,-0.01287541,0.99751217,0.180434
90,1.499207113,-0.00101663,0.00208556,1.74109144,-0.04316618,-0.05694913,-0.01542466,0.9973242,0.121462
91,1.515823763,-0.00113621,0.00211773,1.74076149,-0.04513587,-0.05909685,-0.01712377,0.9970843,0.092109
92,1.532368577,-0.00119752,0.00214076,1.74025431,-0.046613,-0.06088203,-0.01842735,0.99688567,0.134654
93,1.549219929,-0.00119235,0.00215307,1.73984402,-0.04837756,-0.0620712,-0.01861072,0.99672485,0.133728
94,1.566391638,-0.00111734,0.00216711,1.74028437,-0.04774739,-0.06027532,-0.01777251,0.99688074,0.068778
95,1.58241843,-0.00099023,0.00216718,1.73892863,-0.05266802,-0.06179656,-0.01597549,0.99657014,0.173601
96,1.598979726,-0.00081777,0.00216494,1.73857488,-0.05412346,-0.0647083,-0.01351459,0.99634374,0.105276
97,1.615882963,-0.00061584,0.00215665,1.73878991,-0.05226158,-0.06518657,-0.01077596,0.99644534,0.161448
98,1.632394779,-0.00041519,0.0021472,1.74018921,-0.04863203,-0.06198838,-0.00758111,0.99686252,0.503114
99,1.649966305,-0.00022737,0.00213575,1.74110838,-0.044996,-0.06177272,-0.00631527,0.99705547,0.44534
100,1.665908036,-8.295e-05,0.00208825,1.73854053,-0.05261472,-0.06697737,-0.00280743,0.9963623,0.184144
101,1.682389017,4.2e-06,0.00207133,1.74205575,0.04533041,0.06063621,-0.00156958,0.99712885,0.136297
102,1.699240174,5.063e-05,0.00205144,1.74480973,-0.03696487,-0.05650153,-0.00099213,0.99771749,0.711861
103,1.716147026,2.351e-05,0.00204003,1.74554355,-0.03422661,-0.05749708,-0.000993,0.99775831,0.077822
104,1.732388325,-8.225e-05,0.00200683,1.74028925,-0.05057344,-0.05725187,-0.0020728,0.99707585,0.213729
105,1.749043549,-0.00022264,0.00195853,1.74440608,-0.03251498,-0.05376838,-0.00492243,0.99801178,0.201968
106,1.76577511,-0.00041112,0.00194716,1.74322963,-0.03924173,-0.0543831,-0.00682477,0.99772541,0.426622
107,1.782493681,-0.00060987,0.00193607,1.74313024,-0.04301499,-0.05614616,-0.00894591,0.99745541,0.382548
108,1.798996064,-0.00080923,0.00192594,1.74274143,-0.04255324,-0.05633962,-0.01200595,0.99743217,0.102266
109,1.816941356,-0.00098555,0.00192741,1.7421709,-0.04398796,-0.05364664,-0.01479069,0.99748099,0.139516
110,1.832689088,-0.00111771,0.00193177,1.74176644,-0.045126,-0.0573034,-0.01685055,0.99719408,0.032277
111,1.849343784,-0.0011963,0.00193384,1.74062602,-0.04915209,-0.05964573,-0.01802498,0.99684581,0.171094
112,1.865710139,-0.00120588,0.00193307,1.74024314,-0.04985169,-0.06190899,-0.01855745,0.99666329,0.221403
113,1.882404653,-0.00115119,0.00193707,1.74009666,-0.05059601,-0.06052982,-0.0180322,0.99672013,0.114893
114,1.899054064,-0.00103235,0.00194187,1.73952511,-0.05155027,-0.06254654,-0.01668902,0.99657011,0.28433
115,1.915735256,-0.00087267,0.00194299,1.73920383,-0.05277449,-0.06487713,-0.0145137,0.99639107,0.161996
116,1.932445513,-0.00067808,0.00194326,1.73769494,-0.05691584,-0.06614259,-0.01111851,0.99612355,0.0928
117,1.948968596,-0.00046769,0.00194476,1.73866082,-0.05445912,-0.06175412,-0.00852872,0.99656806,0.186139
118,1.965535612,-0.00029276,0.00193925,1.74020548,0.04831499,0.06302832,-0.00618324,0.99682238,0.095248
119,1.98216833,-0.00012523,0.00191327,1.73945494,-0.04779289,-0.06088041,-0.00294576,0.99699586,0.421779
120,1.998995479,-1.863e-05,0.00193155,1.74044559,0.04699328,0.06375168,-0.00133,0.99685786,0.606786
121,2.015748622,4.909e-05,0.00193178,1.74014167,-0.04859777,-0.0665743,-0.00014405,0.99659726,0.603163
122,2.03222786,3.972e-05,0.0019323,1.74187156,-0.044608,-0.065519,3.554e-05,0.99685374,0.38978
123,2.048840901,-4.68e-05,0.00192444,1.74130241,0.04527381,0.05758675,-0.00160381,0.99731213,0.710916
124,2.066535042,-0.0001789,0.00190898,1.74122269,-0.04168135,-0.0579079,-0.00325646,0.99744611,0.040947
125,2.082284479,-0.0003642,0.00194005,1.74340632,-0.03621082,-0.04765588,-0.00565249,0.99819124,0.103682
126,2.098882263,-0.00056179,0.00194858,1.74173896,-0.04496746,-0.0589939,-0.00854708,0.9972084,0.039714
127,2.115479124,-0.00075835,0.00196152,1.74186054,-0.04440739,-0.05892725,-0.01145131,0.99720832,0.368256
128,2.132377748,-0.00094861,0.00197733,1.7434947,-0.03848852,-0.05317747,-0.01411001,0.9977433,0.322309
129,2.149004424,-0.00109186,0.00198398,1.74171117,-0.04515,-0.05838096,-0.01620691,0.99714115,0.17699
130,2.165631964,-0.0011781,0.00199076,1.74003838,-0.04878616,-0.0614424,-0.01765176,0.99676133,0.033347
131,2.182237024,-0.00120151,0.00199113,1.73906094,-0.05173329,-0.06418145,-0.01829407,0.99642849,0.140266
132,2.199184632,-0.0011673,0.00200219,1.73913156,-0.0512648,-0.06402541,-0.01814614,0.99646545,0.017562
133,2.215788677,-0.00106441,0.00201301,1.73883773,-0.05276057,-0.0644559,-0.0166595,0.99638558,0.244164
134,2.232172912,-0.00091058,0.00201815,1.73916309,-0.05273858,-0.06419535,-0.01472777,0.99643399,0.169519
135,2.248995435,-0.00072691,0.00202588,1.73992771,-0.04919987,-0.06229775,-0.01262062,0.99676431,0.397323
136,2.265739243,-0.00052356,0.00203314,1.73915926,-0.05167225,-0.06428492,-0.01031354,0.99653954,0.286433
137,2.282249097,-0.00033987,0.00205273,1.73724053,0.05770737,0.06706417,-0.00593344,0.99606077,0.175735
138,2.29901314,-0.00015921,0.00203502,1.73853664,-0.05476003,-0.06071853,-0.00354561,0.99664539,0.225907
139,2.315754527,-3.345e-05,0.00205421,1.74200074,0.04333614,0.0609364,-0.00254141,0.99719721,0.520546
140,2.333118078,4.919e-05,0.00205379,1.74354469,-0.04033482,-0.05761027,-0.00142553,0.997523,0.682151
141,2.348958962,4.859e-05,0.00205868,1.74409789,-0.03895418,-0.05843244,-0.00098815,0.99753057,0.65924
142,2.365543473,-2.232e-05,0.00206628,1.74414852,0.03714106,0.05640593,-0.00137933,0.9977159,0.784054
143,2.382372748,-0.00014018,0.00205184,1.74263083,-0.04247678,-0.05448873,-0.00218371,0.99760811,0.81626
144,2.398882235,-0.00030924,0.0020669,1.74202737,-0.04146979,-0.05785323,-0.00465653,0.99745254,0.23345
145,2.415748271,-0.00050524,0.00207757,1.74341404,-0.03990475,-0.05304745,-0.00828847,0.99775993,0.332655
146,2.432184036,-0.00070818,0.00206583,1.74342074,-0.03886765,-0.050391,-0.01123503,0.99790973,0.129759
147,2.449183175,-0.00089876,0.0020569,1.7418144,-0.04297397,-0.05703291,-0.01356738,0.99735471,0.212996
148,2.465849279,-0.00105136,0.00205077,1.74091127,-0.04743959,-0.06025269,-0.01602409,0.99692644,0.252557
149,2.482461906,-0.00115649,0.00204423,1.74117075,-0.0464008,-0.0578937,-0.01754943,0.99708942,0.198067
150,2.498837945,-0.0012012,0.0020281,1.74013778,-0.04972383,-0.06221583,-0.01849303,0.99665176,0.14374
151,2.51578956,-0.00118126,0.00199937,1.7392066,-0.05342455,-0.06423414,-0.01819525,0.99633766,0.053091
152,2.532255824,-0.00109558,0.00197453,1.73935957,-0.05370873,-0.06261215,-0.01693521,0.99644784,0.112172
153,2.549109272,-0.00095712,0.00195043,1.73948711,-0.05325485,-0.06062614,-0.01545528,0.99661905,0.146792
154,2.566556874,-0.00077161,0.00191252,1.73877789,-0.05587346,-0.06494117,-0.01264918,0.99624334,0.194598
155,2.582232231,-0.00057307,0.00188439,1.73963145,-0.05494675,-0.065971,-0.00989576,0.99625838,0.228998
156,2.599208015,-0.00037912,0.00186458,1.73768521,-0.05915587,-0.06802314,-0.00653972,0.99590696,0.22369
157,2.615548088,-0.00020058,0.00185839,1.73952805,-0.05562138,-0.06201931,-0.00493615,0.99651167,0.324505
158,2.632265517,-7.913e-05,0.00184029,1.73780542,0.05835129,0.06931059,-0.00235464,0.99588434,0.110728
159,2.649191385,2.85e-05,0.00179993,1.73929465,-0.05486141,-0.06800652,-0.00016899,0.99617534,0.054781
160,2.666544711,4.23e-05,0.00178359,1.7417094,-0.04699115,-0.06574764,0.00015857,0.99672918,0.441941
161,2.682202843,-1.333e-05,0.00178729,1.74195703,0.04490635,0.06350927,-0.00057591,0.99697024,0.667687
162,2.69893196,-0.00012041,0.00177959,1.74200275,-0.04031613,-0.05309741,-0.00200878,0.99777314,0.874781
163,2.715486355,-0.00027202,0.00181146,1.74492844,-0.03180004,-0.05393675,-0.00552241,0.99802259,0.023838
164,2.732314829,-0.00045418,0.00182582,1.74344038,-0.0402496,-0.05540944,-0.00745765,0.99762425,0.365022
165,2.748894526,-0.00066405,0.0018406,1.74132795,-0.04582302,-0.05544432,-0.00959576,0.99736357,0.126807
166,2.76554339,-0.00085681,0.00187978,1.74121525,-0.04706392,-0.05704647,-0.01272457,0.99718041,0.215437
