t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.005528397,0.004999135,-0.004975873,1.397011091,0.045431692,0.027210587,-0.008840196,0.998557658
0.022195064,0.004997926,-0.005141905,1.397406007,0.047497187,0.024842599,-0.008921498,0.998522543
0.03886173,0.004992859,-0.005326596,1.397215607,0.050694941,0.025566617,-0.008883664,0.99834736
0.055528397,0.004990592,-0.005538356,1.39719272,0.0123711,0.007508081,-0.008929929,0.99985541
0.072195064,0.004989443,-0.005759826,1.397155097,-0.006611243,-0.000800456,-0.009164345,0.999935831
0.08886173,0.00498677,-0.00596055,1.397150621,0.011542283,0.007497649,-0.009476391,0.99986037
0.105528397,0.004985779,-0.00613875,1.397252501,-0.008122755,-0.001805139,-0.009817356,0.999917187
0.122195064,0.004978113,-0.006269286,1.396960149,0.045814834,0.027248979,-0.010205128,0.998526089
0.13886173,0.004976643,-0.006366688,1.396756067,0.043156584,0.028908509,-0.010529494,0.998594481
0.155528397,0.004975549,-0.006425848,1.396443691,0.040944589,0.030330979,-0.01060226,0.998644664
0.172195064,0.004973143,-0.006450228,1.396103374,0.040541645,0.032068934,-0.010530628,0.998607563
0.18886173,0.004974326,-0.006448699,1.395878038,0.008302122,0.005294161,-0.010505746,0.999896333
0.205528397,0.004975121,-0.006413387,1.39555804,-0.004790561,-0.004251,-0.010358658,0.999925836
0.222195064,0.00496899,-0.00634192,1.395515723,0.037249453,0.035583607,-0.010185681,0.998620317
0.23886173,0.004966648,-0.006253616,1.395353926,0.036786456,0.03630338,-0.009912774,0.998614319
0.255528397,0.004971407,-0.006163477,1.39533969,0.009234933,0.009348463,-0.00960193,0.999867554
0.272195064,0.004975119,-0.006081229,1.39562495,-0.00480222,-0.005755464,-0.009352546,0.999928169
0.28886173,0.004968644,-0.006009504,1.395648299,0.038587614,0.035267341,-0.00906336,0.998591541
0.305528397,0.004969259,-0.005967234,1.395629653,0.040507321,0.035544815,-0.00880496,0.998507985
0.322195064,0.004972601,-0.005951881,1.395858807,0.042055071,0.033900851,-0.008674644,0.998502305
0.33886173,0.004971982,-0.005961247,1.396064648,0.042685408,0.03285542,-0.008686001,0.998510406
0.355528397,0.004974259,-0.005999081,1.396419829,0.009707073,0.008641787,-0.008900656,0.999875928
0.372195064,0.004981249,-0.006046462,1.396781202,-0.037747815,-0.024647735,-0.009170252,0.998941189
0.38886173,0.004983248,-0.006079412,1.396880686,-0.036154896,-0.024008689,-0.009393815,0.999013595
0.405528397,0.00498042,-0.006088635,1.39654175,-0.005291449,-0.002276638,-0.009620045,0.999937134
0.422195064,0.00497924,-0.006080412,1.396251644,0.010429961,0.007171995,-0.009848554,0.999871384
0.43886173,0.004981916,-0.006054813,1.396032415,-0.009944985,-0.007667676,-0.009970341,0.99987144
0.455528397,0.004974947,-0.005992861,1.395663989,0.037045144,0.035291334,-0.010042788,0.998639736
0.472195064,0.004980656,-0.005895052,1.395381927,0.010429417,0.010459664,-0.010171261,0.999839171
