t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.003189,0.770850,-0.711603,0.770838,-0.706306
0.019856,0.794407,-0.714848,0.793002,-0.713766
0.036523,0.764746,-0.647088,0.764049,-0.647405
0.053189,0.689492,-0.530562,0.689128,-0.529253
0.069856,0.577139,-0.344582,0.576967,-0.344197
0.086523,0.438103,-0.117742,0.438774,-0.119996
0.103189,0.296186,0.088957,0.294908,0.092243
0.119856,0.126126,0.358727,0.127240,0.357326
0.136523,-0.019430,0.588864,-0.019930,0.589930
0.153189,-0.160229,0.802916,-0.159177,0.799771
0.169856,-0.261887,0.908561,-0.262350,0.910532
0.186523,-0.347228,0.986517,-0.347056,0.984465
0.203189,-0.402268,0.961307,-0.401859,0.960391
0.219856,-0.422150,0.857200,-0.421654,0.857242
0.236523,-0.407812,0.702340,-0.407560,0.702157
0.253189,-0.369967,0.508854,-0.369889,0.508658
0.269856,-0.320657,0.293839,-0.320961,0.294652
0.286523,-0.276348,0.091920,-0.276271,0.091581
0.303189,-0.239446,-0.102759,-0.239464,-0.102148
0.319856,-0.219519,-0.261360,-0.220332,-0.261013
0.336523,-0.235564,-0.379672,-0.236236,-0.379769
0.353189,-0.285096,-0.458941,-0.285119,-0.459009
0.369856,-0.351662,-0.493904,-0.351812,-0.493011
0.386523,-0.430069,-0.465140,-0.429505,-0.464934
0.403189,-0.500412,-0.386465,-0.500382,-0.386152
0.419856,-0.566946,-0.261073,-0.566747,-0.261522
0.436523,-0.622973,-0.111766,-0.623439,-0.109043
0.453189,-0.677292,0.102326,-0.676761,0.102001
0.469856,-0.708831,0.304641,-0.709380,0.302946
0.486523,-0.733811,0.448028,-0.732941,0.447398
0.503189,-0.724363,0.534574,-0.725224,0.534844
0.519856,-0.708974,0.570402,-0.708657,0.569953
0.536523,-0.664726,0.538078,-0.663797,0.536402
0.553189,-0.580797,0.417026,-0.581005,0.417196
0.569856,-0.480253,0.248199,-0.480415,0.248115
0.586523,-0.367426,0.041049,-0.366695,0.039717
0.603189,-0.232756,-0.208944,-0.233301,-0.207550
0.619856,-0.106159,-0.433768,-0.105925,-0.434275
0.636523,0.019244,-0.648944,0.018641,-0.647965
0.653189,0.123058,-0.812454,0.123036,-0.812845
0.669856,0.212624,-0.936855,0.212343,-0.935738
0.686523,0.282799,-0.987210,0.282580,-0.987168
0.703189,0.336336,-0.979532,0.336435,-0.978741
0.719856,0.381548,-0.902740,0.381875,-0.902289
0.736523,0.425271,-0.769516,0.424770,-0.770523
0.753189,0.455415,-0.615546,0.455608,-0.613577
0.769856,0.486989,-0.400605,0.487376,-0.401141
0.786523,0.526530,-0.183567,0.525339,-0.185679
0.803189,0.548634,-0.006363,0.550779,-0.003366
0.819856,0.613787,0.208642,0.612810,0.207358
0.836523,0.664794,0.371321,0.664949,0.370431
0.853189,0.718754,0.476310,0.718853,0.476002
0.869856,0.771061,0.527656,0.771241,0.526208
