frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,0.008953407,-0.00061753,0.00189139,1.74092367,-0.05104161,-0.06014781,-0.00982468,0.99683523,0.14061
1,0.025757604,-0.00057702,0.00186442,1.74002928,-0.05307726,-0.06379501,-0.00915792,0.99650847,0.21563
2,0.042287432,-0.00053992,0.00184422,1.73863303,-0.05561159,-0.06526227,-0.00869487,0.99627937,0.057005
3,0.059218943,-0.00051551,0.00184926,1.73954278,0.05224604,0.05957848,-0.00830048,0.99682088,0.120744
4,0.075876685,-0.00047288,0.00183799,1.74012269,-0.05126053,-0.05928766,-0.0079953,0.99689187,0.079142
5,0.092159697,-0.00046034,0.00184415,1.74066979,-0.05016595,-0.05935287,-0.00758727,0.99694686,0.218588
6,0.109380458,-0.00045817,0.00185578,1.73955647,-0.05301625,-0.06242519,-0.00726473,0.99661407,0.212781
7,0.126323805,-0.0004654,0.00187995,1.73811881,-0.05583921,-0.06437209,-0.0072159,0.99633636,0.115403
8,0.142032972,-0.00049333,0.0019215,1.73887287,-0.05262486,-0.06157056,-0.00798694,0.99668245,0.176764
9,0.158699469,-0.00054239,0.00197423,1.7399514,0.04747916,0.06144849,-0.00876935,0.99694178,0.143478
10,0.175334561,-0.00056941,0.00200676,1.74123409,-0.04264086,-0.06241863,-0.0097552,0.99709102,0.12762
11,0.192189219,-0.00060817,0.00206257,1.74319082,-0.03632062,-0.05609131,-0.01022979,0.99771235,0.209044
12,0.209785978,-0.00064562,0.00210558,1.7402678,-0.04611264,-0.05972737,-0.01018215,0.99709708,0.041035
13,0.225963579,-0.00067088,0.0021436,1.73934762,-0.04859868,-0.05978872,-0.01040321,0.99697304,0.145429
14,0.241778297,-0.00068991,0.0021825,1.74004649,-0.04645779,-0.05841266,-0.01124149,0.99714756,0.154109
15,0.258608053,-0.0007003,0.0022091,1.7395806,-0.04734176,-0.06041533,-0.01131605,0.9969858,0.236838
16,0.275467012,-0.0006986,0.00222833,1.73908761,-0.04925284,-0.06091839,-0.01116555,0.9968643,0.220233
17,0.292488834,-0.00067438,0.00224242,1.73874502,-0.05197916,-0.06045267,-0.01051322,0.99676131,0.020609
18,0.308652519,-0.00064549,0.00224908,1.73914656,-0.05073315,-0.0614279,-0.01005624,0.9967706,0.025325
19,0.325379125,-0.00061013,0.00224293,1.74019251,-0.04837628,-0.06241665,-0.00973532,0.99682953,0.093394
20,0.341944011,-0.00057277,0.00222305,1.74004311,-0.05035307,-0.06419077,-0.00951586,0.99662107,0.178143
21,0.358583674,-0.00053331,0.00219196,1.73863102,-0.05376922,-0.06451592,-0.00899763,0.99642642,0.049008
22,0.375519939,-0.00049594,0.00215951,1.73834606,-0.05501845,-0.06189732,-0.00811246,0.99653193,0.136893
23,0.392437885,-0.00047444,0.00213341,1.74051041,-0.04988949,-0.05774567,-0.00822684,0.99705005,0.09003
24,0.408911289,-0.0004663,0.00209714,1.74153496,-0.04823707,-0.05534009,-0.0082466,0.99726759,0.147698
25,0.425568375,-0.00046427,0.0020519,1.74142477,-0.04942872,-0.05663785,-0.00801529,0.99713826,0.180693
26,0.442227116,-0.00047367,0.00200754,1.74153813,-0.04945492,-0.05541372,-0.00823427,0.99720395,0.052987
27,0.458714249,-0.0005118,0.00198315,1.74086171,0.04886464,0.05630484,-0.00846196,0.99718123,0.098241
28,0.475544582,-0.0005533,0.00195563,1.74025259,0.05030689,0.06129787,-0.00879822,0.99681211,0.153593
29,0.49257468,-0.00057478,0.00192067,1.740704,-0.05152286,-0.06219205,-0.00917214,0.99669123,0.120468
30,0.509069967,-0.00061083,0.00190528,1.74190323,-0.04726961,-0.05943933,-0.00951494,0.99706671,0.172885
31,0.525923692,-0.00064937,0.00188915,1.74146564,-0.04782156,-0.05623606,-0.01015193,0.99721991,0.060112
32,0.542833634,-0.00068132,0.00187682,1.74084342,-0.04979477,-0.05551124,-0.01051803,0.99716014,0.141967
33,0.558934448,-0.00069882,0.00187321,1.74003282,-0.05189769,-0.05950151,-0.01107225,0.99681674,0.21312
34,0.575578878,-0.00070211,0.00187514,1.7403438,-0.05170431,-0.05896154,-0.01116009,0.99685789,0.24408
35,0.592126378,-0.00070038,0.00187946,1.74003628,-0.05198646,-0.05914654,-0.01110167,0.99683291,0.242273
36,0.609126768,-0.00068335,0.00188505,1.74004927,-0.05132821,-0.05745825,-0.01077314,0.99696936,0.12512
37,0.625618808,-0.00065116,0.0019,1.74066928,-0.04885938,-0.05735103,-0.01026279,0.99710496,0.084276
38,0.642369904,-0.00061156,0.00192066,1.74025772,-0.04991909,-0.06220064,-0.00970886,0.99676723,0.088488
39,0.65882943,-0.00057597,0.00193805,1.73947636,-0.05195323,-0.0649645,-0.00916233,0.99649211,0.123473
40,0.675651872,-0.00053966,0.00194859,1.73933555,-0.05185577,-0.06382701,-0.00894895,0.99657263,0.061183
41,0.692385878,-0.00051467,0.00196938,1.73959942,0.04917298,0.05922793,-0.00853624,0.99699609,0.101569
42,0.709075243,-0.00047449,0.00197497,1.74023988,-0.04891962,-0.05847977,-0.0082648,0.997055,0.138853
43,0.725628543,-0.00046465,0.00198985,1.74128239,-0.04696453,-0.0571027,-0.00810874,0.9972301,0.197197
44,0.741970608,-0.00046289,0.00199895,1.7408549,-0.04762018,-0.05833019,-0.00807397,0.99712824,0.186085
45,0.758956713,-0.00047493,0.0020098,1.7411705,-0.04617607,-0.056246,-0.0083922,0.99731326,0.069945
46,0.775878686,-0.00049705,0.00202065,1.74102883,-0.04605993,-0.05618095,-0.00889401,0.99731794,0.168023
47,0.793859856,-0.00053481,0.00203482,1.74173018,-0.04329039,-0.05705928,-0.00943664,0.99738715,0.115265
48,0.808780764,-0.00057647,0.00204008,1.74255838,-0.0411238,-0.05898251,-0.00995342,0.99736193,0.128103
49,0.82553615,-0.00061554,0.00203885,1.7436263,-0.03821412,-0.05435215,-0.01023389,0.99773784,0.163994
50,0.84228202,-0.00064764,0.0020291,1.74320372,-0.03912486,-0.05285701,-0.01065937,0.99777841,0.061042
