frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
53,0.89600739,-0.00044516,0.00553093,1.73962662,-0.04682508,-0.05994339,-0.00933903,0.99705917,0.148828
54,0.911696822,-0.00044074,0.00557119,1.74133703,-0.04988867,-0.05642689,-0.00929473,0.99711621,0.191245
55,0.930091384,-0.00043836,0.00552347,1.74150264,-0.05309488,-0.05627548,-0.00906306,0.99696132,0.218667
56,0.945254735,-0.00044153,0.00540309,1.74465198,-0.04830292,-0.04738542,-0.00967094,0.99766123,0.295182
57,0.961718,-0.00045088,0.00519529,1.74328906,-0.05403146,-0.04992764,-0.00913571,0.9972484,0.187227
58,0.978497484,-0.00046056,0.00491775,1.74416321,-0.05826508,-0.04691861,-0.00918162,0.99715572,0.153676
59,0.995175178,-0.00046964,0.00457361,1.74454382,-0.05946238,-0.0437365,-0.00937847,0.99722785,0.086339
60,1.011658952,-0.0004974,0.00418723,1.74457168,0.06351428,0.04353002,-0.00942136,0.99698662,0.129508
61,1.028431873,-0.00050256,0.00372478,1.7437122,-0.06880094,-0.04684622,-0.00926768,0.99648681,0.069937
62,1.045131636,-0.00052347,0.00325259,1.74631429,-0.06731497,-0.04295157,-0.00964783,0.99676014,0.048666
63,1.062808543,-0.00055641,0.0027469,1.74720939,0.06454035,0.04229023,-0.00998751,0.99696857,0.221031
64,1.078648323,-0.00056464,0.0021994,1.7464227,-0.0657961,-0.04752805,-0.00945128,0.99665572,0.113803
65,1.095285748,-0.00058344,0.00166396,1.74902046,-0.06425396,-0.0390804,-0.00974501,0.99712045,0.182327
66,1.111805897,-0.00059588,0.00113257,1.74721875,-0.0636992,-0.04552468,-0.00915126,0.99688824,0.189645
67,1.128596979,-0.00060829,0.0006284,1.74715722,-0.06192309,-0.04534625,-0.00925988,0.99700727,0.207393
68,1.145192267,-0.00061558,0.00015266,1.74819503,-0.05815983,-0.04126787,-0.00948412,0.99740887,0.270219
69,1.161900497,-0.00062557,-0.00029023,1.74690257,-0.05856256,-0.04421766,-0.00935636,0.99726009,0.296974
70,1.178748426,-0.00063169,-0.0006713,1.74619377,-0.05661509,-0.04647817,-0.00930921,0.9972702,0.196012
71,1.195107319,-0.00063867,-0.00099762,1.74566906,-0.05483529,-0.04654487,-0.00942644,0.99736543,0.223684
72,1.212967286,-0.00064058,-0.00123894,1.74396549,-0.05034273,-0.05130275,-0.00930974,0.99737002,0.19187
73,1.228823421,-0.00064257,-0.00141826,1.74244285,-0.05005539,-0.05454539,-0.0092557,0.99721291,0.186463
74,1.245303785,-0.00064407,-0.00152369,1.74133647,-0.04939372,-0.05719193,-0.00920697,0.99709808,0.180036
