frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming,area_px2,quality_score,corner_sharpness
0,0,948.788034,501.776411,806.677795,648.227417,1095.520508,643.521729,1090.929688,355.29303,802.466125,360.427704,34.7011,0,83157.8593,10006.7925,41.2025
1,0,948.821519,501.790113,806.656677,648.301147,1095.629761,643.610291,1090.903442,355.364532,802.516968,360.456512,34.4773,0,83174.5075,9943.2502,41.1736
2,0,948.779804,501.857699,806.633667,648.333923,1095.673828,643.740356,1090.899292,355.408936,802.546753,360.613464,33.3064,0,83173.7438,9605.5186,43.3636
3,0,948.805797,501.851628,806.651367,648.358582,1095.657593,643.684814,1090.887451,355.419678,802.536743,360.581268,32.9335,0,83167.3719,9497.611,43.2066
4,0,948.828817,501.783197,806.666077,648.27533,1095.661255,643.647217,1090.892334,355.393311,802.553955,360.457886,33.9644,0,83167.8507,9794.9379,41.5826
5,0,948.797654,501.726585,806.699829,648.156372,1095.635254,643.553467,1090.895996,355.296265,802.50238,360.423523,33.9887,0,83155.6848,9801.2288,42.1694
6,0,948.849957,501.699567,806.719238,648.15863,1095.702759,643.486694,1090.953247,355.268768,802.46875,360.367767,35.2777,0,83178.648,10174.3387,41.7975
7,0,948.828075,501.723657,806.670654,648.281494,1095.722046,643.599976,1090.847778,355.3078,802.539673,360.43222,33.5144,0,83182.2607,9666.0004,44.2851
8,0,948.801041,501.851445,806.675964,648.301147,1095.678467,643.718079,1090.882324,355.446869,802.540161,360.580322,33.7711,0,83158.1791,9738.6261,42.7934
9,0,948.826902,501.943829,806.657593,648.474304,1095.653442,643.764832,1090.909302,355.50293,802.523926,360.62854,34.2805,0,83180.266,9886.8353,45.2934
10,0,948.810464,501.931286,806.653564,648.393188,1095.603394,643.712585,1090.953613,355.483551,802.492371,360.608612,34.0132,0,83170.7584,9809.1827,43.5744
11,0,948.823644,501.780586,806.659851,648.261414,1095.610107,643.537903,1090.897827,355.39209,802.502258,360.472412,34.2051,0,83150.1299,9863.302,39.4876
12,0,948.780715,501.652839,806.657532,648.087646,1095.664673,643.543152,1090.868042,355.254974,802.541748,360.38559,33.1389,0,83156.1622,9556.2017,41.5496
