t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.011891,-0.202468,0.094144,-0.193041,0.084704
0.028557,0.558274,-0.660718,0.557515,-0.660548
0.045224,1.249590,-1.352238,1.247657,-1.349427
0.061891,1.792916,-1.873448,1.791037,-1.871449
0.078557,2.138766,-2.188184,2.136419,-2.185730
0.095224,2.249283,-2.261761,2.247646,-2.259520
0.111891,2.130062,-2.095514,2.127734,-2.094767
0.128557,1.783117,-1.733136,1.782335,-1.732553
0.145224,1.268824,-1.209976,1.267811,-1.207497
0.161891,0.630394,-0.538074,0.629487,-0.537782
0.178557,-0.072358,0.185670,-0.072332,0.185488
0.195224,-0.761512,0.890248,-0.758057,0.886994
0.211891,-1.317213,1.460983,-1.320671,1.464556
0.228557,-1.810004,1.965926,-1.806440,1.962153
0.245224,-2.071160,2.229466,-2.068382,2.226583
0.261891,-2.087799,2.239962,-2.085851,2.238076
0.278557,-1.871496,2.012151,-1.869574,2.010080
0.295224,-1.444395,1.565531,-1.442993,1.563873
0.311891,-0.856433,0.949401,-0.856399,0.950392
0.328557,-0.186328,0.266190,-0.185081,0.263837
0.345224,0.525504,-0.481722,0.523956,-0.479193
0.361891,1.166280,-1.143970,1.165335,-1.144564
0.378557,1.689542,-1.716764,1.688634,-1.715180
0.395224,2.051390,-2.112636,2.047638,-2.108443
0.411891,2.173113,-2.254015,2.174218,-2.254569
0.428557,2.130051,-2.214143,2.127504,-2.212100
0.445224,1.861722,-1.954018,1.859792,-1.951819
0.461891,1.395065,-1.489169,1.399110,-1.494344
0.478557,0.866501,-0.980825,0.854454,-0.968380
0.495224,0.039723,-0.163004,0.044685,-0.167416
0.511891,-0.711782,0.595702,-0.709689,0.593702
0.528557,-1.364598,1.263692,-1.364152,1.263262
0.545224,-1.885802,1.804595,-1.883879,1.802416
0.561891,-2.205745,2.141688,-2.204288,2.140229
0.578557,-2.305788,2.258989,-2.303735,2.257399
0.595224,-2.166970,2.144063,-2.164989,2.141361
0.611891,-1.802616,1.787772,-1.801037,1.786341
0.628557,-1.251188,1.243838,-1.250532,1.243054
0.645224,-0.577554,0.573540,-0.575462,0.571198
0.661891,0.182566,-0.188012,0.181095,-0.185326
0.678557,0.897954,-0.883842,0.897268,-0.883401
0.695224,1.517370,-1.491279,1.515848,-1.490574
0.711891,1.971306,-1.952978,1.969245,-1.951413
0.728557,2.211482,-2.213804,2.210080,-2.211681
0.745224,2.229074,-2.240282,2.227171,-2.237894
0.761891,2.014676,-2.025030,2.012037,-2.023409
0.778557,1.574842,-1.600352,1.574717,-1.599590
0.795224,0.992688,-1.018844,0.990698,-1.016824
0.811891,0.287717,-0.310143,0.288191,-0.310461
0.828557,-0.434620,0.422056,-0.434371,0.421758
0.845224,-1.113936,1.112380,-1.113696,1.111807
