t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
1.688862,-1.083518,0.269758,-1.082885,0.271364
1.705528,-1.168991,0.167402,-1.168853,0.167550
1.722195,-1.210510,0.071945,-1.210755,0.072237
1.738862,-1.215980,-0.018927,-1.215376,-0.019703
1.755528,-1.172480,-0.129314,-1.173104,-0.130097
1.772195,-1.103845,-0.259702,-1.104094,-0.260358
1.788862,-1.004535,-0.402638,-1.003774,-0.401694
1.805528,-0.857491,-0.521928,-0.857736,-0.521673
1.822195,-0.683314,-0.623576,-0.682441,-0.623779
1.838862,-0.467503,-0.712202,-0.468037,-0.711759
1.855528,-0.243044,-0.774891,-0.242416,-0.774843
1.872195,0.001451,-0.818933,0.001005,-0.818758
1.888862,0.237381,-0.842916,0.236999,-0.843965
1.905528,0.457978,-0.867956,0.457945,-0.867889
1.922195,0.663818,-0.871172,0.663622,-0.870293
1.938862,0.848720,-0.834134,0.848471,-0.835052
1.955528,1.009599,-0.786010,1.010348,-0.784819
1.972195,1.161714,-0.688884,1.161550,-0.688633
1.988862,1.284863,-0.563236,1.284824,-0.562630
2.005528,1.377017,-0.409193,1.376252,-0.411362
2.022195,1.422633,-0.282856,1.422911,-0.280870
2.038862,1.440263,-0.115201,1.440027,-0.116110
2.055528,1.422135,0.038010,1.422425,0.037569
2.072195,1.379703,0.181146,1.379125,0.182272
2.088862,1.299924,0.337949,1.300418,0.337218
2.105528,1.204826,0.471285,1.204588,0.471071
2.122195,1.084273,0.585766,1.084358,0.587002
2.138862,0.946910,0.701867,0.946851,0.700931
2.155528,0.792941,0.775236,0.793027,0.774800
2.172195,0.628402,0.810354,0.627733,0.810634
2.188862,0.444384,0.818751,0.444853,0.817715
2.205528,0.266876,0.779975,0.266743,0.779631
2.222195,0.090790,0.712507,0.091193,0.713783
2.238862,-0.070148,0.652236,-0.069863,0.651697
2.255528,-0.215668,0.572366,-0.216246,0.572568
2.272195,-0.359486,0.489741,-0.359237,0.489981
2.288862,-0.485260,0.407674,-0.484901,0.407462
2.305528,-0.589368,0.320910,-0.590050,0.320433
2.322195,-0.688368,0.227435,-0.688271,0.228748
2.338862,-0.765419,0.162112,-0.765359,0.160402
2.355528,-0.817936,0.073927,-0.817260,0.075316
2.372195,-0.833081,0.020772,-0.833323,0.020439
2.388862,-0.827756,-0.027043,-0.827451,-0.026286
2.405528,-0.794678,-0.052494,-0.794583,-0.051966
2.422195,-0.741161,-0.066322,-0.741451,-0.066791
2.438862,-0.677637,-0.095180,-0.677784,-0.095345
2.455528,-0.603928,-0.140662,-0.604232,-0.142549
2.472195,-0.522781,-0.233769,-0.523135,-0.234009
2.488862,-0.433715,-0.336591,-0.432280,-0.336923
2.505528,-0.305023,-0.436160,-0.305069,-0.435131
2.522195,-0.167352,-0.494598,-0.167194,-0.492655
2.538862,-0.025000,-0.490014,-0.025107,-0.489904
2.555528,0.108767,-0.458482,0.107756,-0.459419
2.572195,0.211830,-0.426664,0.212072,-0.426220
2.588862,0.303430,-0.378672,0.303702,-0.377941
2.605528,0.383456,-0.316210,0.382249,-0.319302
2.622195,0.426731,-0.309297,0.427511,-0.308825
2.638862,0.471009,-0.288652,0.471225,-0.288593
2.655528,0.507550,-0.252503,0.508121,-0.250127
2.672195,0.541375,-0.155218,0.540719,-0.155260
2.688862,0.547640,-0.045257,0.547636,-0.044844
2.705528,0.535918,0.073762,0.535646,0.072663
2.722195,0.501373,0.163040,0.501339,0.162368
2.738862,0.450488,0.224330,0.449961,0.223134
