frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,0.013147211,-0.00036446,0.00185873,1.73694252,-0.06217047,-0.07163471,-0.00719315,0.9954655,0.103798
1,0.029528925,-3.042e-05,0.00176408,1.73961772,0.05495119,0.06635446,-0.00296661,0.9962774,0.065447
2,0.046177404,0.00025096,0.00166477,1.7403095,-0.05437392,-0.07049144,0.00212724,0.99602706,0.518211
3,0.064483951,0.00042302,0.00157958,1.7405172,0.05310433,0.07472992,0.00453663,0.99577848,0.085482
4,0.079447942,0.0005669,0.001477,1.74114991,-0.05429901,-0.05331515,0.00676172,0.99707742,0.694966
5,0.096326648,0.00051565,0.00142492,1.74171492,0.04811007,0.05183262,0.00685966,0.99747268,0.200148
6,0.11314992,0.0003943,0.00137528,1.74480544,-0.03677033,-0.04996073,0.00516534,0.99806071,1.023861
7,0.129539224,0.00015134,0.00135835,1.73955615,-0.05038439,-0.04544276,0.00293936,0.9976912,0.150044
8,0.146515309,-0.00015488,0.00138881,1.744256,-0.02595282,-0.05704772,-0.00201288,0.99803204,0.734862
9,0.163137164,-0.00051197,0.00141097,1.74320138,-0.03531081,-0.05561382,-0.00710304,0.99780248,0.188109
10,0.179837057,-0.00087095,0.00149353,1.74327489,-0.03138848,-0.0534981,-0.01233559,0.99799827,0.215675
11,0.196542977,-0.0012093,0.00160397,1.74269355,-0.03308549,-0.05477136,-0.01752791,0.99779668,0.171839
12,0.213092043,-0.00147595,0.00171755,1.74191701,-0.03715279,-0.0557262,-0.02122508,0.99752883,0.140776
13,0.229747115,-0.00164793,0.00183691,1.74032906,-0.04232086,-0.06030341,-0.02446582,0.99698238,0.020842
14,0.246528642,-0.00171691,0.00195346,1.73891816,-0.04626451,-0.06464199,-0.02558512,0.9965071,0.134173
15,0.26311775,-0.00166941,0.00204934,1.73843942,-0.0488726,-0.06603014,-0.02557944,0.99629171,0.157099
16,0.279897001,-0.00150338,0.00211169,1.738202,-0.05218311,-0.06649143,-0.02356435,0.99614283,0.196101
17,0.296714336,-0.00125063,0.00213917,1.73723442,-0.05539392,-0.06862522,-0.01991869,0.99590428,0.188139
18,0.313289278,-0.00094932,0.00215557,1.73775963,0.05476146,0.06674906,-0.01556249,0.99614434,0.176837
19,0.330043767,-0.00056626,0.00212356,1.73679147,-0.05975469,-0.07159762,-0.01027513,0.99558906,0.252648
20,0.346509149,-0.00021321,0.00206431,1.73817212,-0.05916017,-0.06672385,-0.00547834,0.996001,0.538969
21,0.363084592,9.182e-05,0.00203705,1.74031364,-0.05442561,-0.05534757,-0.00104905,0.99698215,0.842722
22,0.37971642,0.00034548,0.001981,1.73698966,-0.0613673,-0.05125915,0.00359977,0.99679165,0.077116
23,0.396345927,0.00049325,0.00194503,1.73935453,0.05670613,0.05286047,0.00570059,0.99697427,0.597337
24,0.412971569,0.0005672,0.00188794,1.74164741,-0.04962757,-0.05295657,0.0066309,0.99734083,0.661136
25,0.429816868,0.00045985,0.00187121,1.74413832,0.03962479,0.05314479,0.0058256,0.99778333,0.899152
26,0.446421823,0.0002857,0.00185162,1.74164778,0.04667299,0.04466491,0.00343153,0.99790526,0.377977
27,0.462938241,2.675e-05,0.00185707,1.74553871,-0.02907118,-0.06446326,0.00112349,0.99749591,0.138879
28,0.480326057,-0.00030716,0.00184237,1.74735282,-0.02498949,-0.04276627,-0.00502235,0.9987599,0.337768
29,0.496579701,-0.00065705,0.00183322,1.74382527,-0.03805171,-0.05299335,-0.00889545,0.99782997,0.405319
30,0.51286978,-0.00101053,0.00185587,1.74449485,-0.03495669,-0.05204864,-0.01453424,0.99792671,0.119077
31,0.530240128,-0.001319,0.00188335,1.7443795,-0.03427253,-0.05087025,-0.01921479,0.99793206,0.098305
32,0.546640796,-0.00155318,0.00190277,1.74219054,-0.04209975,-0.0557202,-0.02275446,0.9972989,0.299026
33,0.563010791,-0.00169035,0.00191911,1.74104356,-0.04618488,-0.05919239,-0.0251982,0.9968592,0.116244
34,0.580471301,-0.00170642,0.00191961,1.74006162,-0.04930098,-0.06194005,-0.02580804,0.99652737,0.135292
35,0.596416811,-0.00161274,0.00189709,1.73959661,-0.05372519,-0.06215623,-0.0245422,0.99631716,0.146831
36,0.612808879,-0.00141537,0.00184168,1.73984814,-0.05433491,-0.06327975,-0.02217255,0.99626892,0.131268
37,0.62962421,-0.00113171,0.00176211,1.73841501,-0.0600171,-0.06640126,-0.01837159,0.9958169,0.208575
